scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,lp_ibd,lp_snp,chi2_ibd,chi2_snp
growth,0,0,true,poisson_shared,g03_o1,3,False,True,-997.1020540711204,-130.7052364477081,5202235.943060828,354.2927712853666
growth,0,0,true,poisson_shared,g13_o1,13,False,True,-709.9189010317352,29.745910521319324,404141.8273368487,33.390477347266845
growth,0,0,true,poisson_shared,g07_o1,7,False,True,-690.7397567795783,-82.96306567816666,26179.43551220974,258.80842974614745
growth,0,0,true,poisson_shared,g17_o1,17,False,True,-289.14116141822035,-47.978369349850304,577.5310465371678,188.83903708955773
growth,0,0,true,poisson_shared,g06_o1,6,False,True,-696.6589673896109,-85.5590588189844,18866.61324112881,264.0004160278979
growth,0,0,true,poisson_shared,g22_o1,22,False,True,-193.46266382664726,44.15532906682189,111.6039090005558,4.571640256271316
growth,0,0,true,poisson_shared,g16_o1,16,False,False,-300.54992397677415,-104.82269572853889,354.8872015207316,302.52768984672144
growth,0,0,true,poisson_shared,g02_o1,2,False,True,-1012.1713697401217,-158.1901029491827,1481642.1672845646,409.26250428835266
growth,0,0,true,poisson_shared,g12_o1,12,False,True,-942.1377431597703,-87.5316801739612,40097317.043216094,267.9456587376335
growth,0,0,true,poisson_shared,g15_o2,15,False,False,-204.19544216422656,42.71337416684606,144.28131008134304,7.455550056232704
growth,0,0,true,poisson_shared,g21_o2,21,False,True,-620.4067395921933,-74.23749301519837,4467.34756526327,241.35728442031456
growth,0,0,true,poisson_shared,g09_o1,9,False,True,-228.95647747672518,-18.658896392974697,225.5802821299833,130.2000911755449
growth,0,0,true,poisson_shared,g19_o1,19,False,True,-299.64756757430274,-112.88132135341584,315.78587722863733,318.6449410970496
growth,0,0,true,poisson_shared,g08_o1,8,False,True,-965.4521878935336,-140.76364137774834,2252152.0987686557,374.40958114548016
growth,0,0,true,poisson_shared,g18_o1,18,False,True,-574.0097492993905,-68.81071450188944,1273.1588842397557,230.50372739357258
growth,0,0,true,poisson_shared,g16_o2,16,False,True,-294.43672381346994,-113.21291482188629,330.5027586451822,319.30812803342315
growth,0,0,true,poisson_shared,g22_o2,22,False,False,-206.13161995392778,43.106266542619075,157.02158313718647,6.669765304673973
growth,0,0,true,poisson_shared,g12_o2,12,False,False,-1021.7576302204458,-142.35594614556146,6024883.513568503,377.5941906802503
growth,0,0,true,poisson_shared,g05_o1,5,False,True,-284.0714529306693,-51.98090377099123,514.8270293173857,196.8441059318235
growth,0,0,true,poisson_shared,g21_o1,21,False,False,-715.1374939342547,-67.41397635254037,23563.58343599544,227.71025109474994
growth,0,0,true,poisson_shared,g09_o2,9,False,False,-287.6586906321347,-47.82843854274755,554.1935041062573,188.53917547559183
growth,0,0,true,poisson_shared,g15_o1,15,False,True,-197.515138298182,45.001365666872054,114.84029112032746,2.8795670561843267
growth,0,0,true,poisson_shared,g01_o1,1,False,True,-311.2139234582242,-102.11780433831677,460.2256294656533,297.1179070664775
growth,0,0,true,poisson_shared,g11_o1,11,False,True,-215.62312849592828,44.68630331536242,208.25535579522486,3.509691759148187
growth,0,0,true,poisson_shared,g10_o1,10,False,True,-211.87668059300904,44.19533597463741,193.52095740180783,4.491626440636587
growth,0,0,true,poisson_shared,g04_o1,4,False,True,-281.38070800868354,-46.9079682671964,503.8245719517191,186.69823492432195
growth,0,0,true,poisson_shared,g20_o1,20,False,True,-718.2533217814098,-92.82709824452654,53068.034859297695,278.5364948790076
growth,0,0,true,poisson_shared,g08_o2,8,False,False,-993.2161831619959,-124.46311651061698,1955440.3386001897,341.8085314113282
growth,0,0,true,poisson_shared,g14_o1,14,False,True,-697.1811839791235,25.124257424615703,268734.48357461963,42.633783540677534
growth,0,0,true,poisson_separate,g03_o1,3,False,True,-540.4820222530567,19.901242364994694,943.643726981652,53.07981365996443
growth,0,0,true,poisson_separate,g13_o1,13,False,True,-541.4353756964609,20.8614581503726,956.4382943199413,51.159382089194196
growth,0,0,true,poisson_separate,g07_o1,7,False,True,-522.8350144820794,18.838352950096816,906.3529869971896,55.205592489706106
growth,0,0,true,poisson_separate,g17_o1,17,False,True,-209.48448698373804,19.647818184154374,142.7383075933333,53.58666202160387
growth,0,0,true,poisson_separate,g06_o1,6,False,True,-522.2120035121102,20.84322491616496,907.4154784055521,51.195848557574934
growth,0,0,true,poisson_separate,g22_o1,22,False,False,-191.19410707038116,44.2922131870242,110.2692722190884,4.2978720158350265
growth,0,0,true,poisson_separate,g16_o1,16,False,True,-215.02507474350625,20.358482582473385,148.1896879732823,52.16533322495238
growth,0,0,true,poisson_separate,g02_o1,2,False,True,-540.2955925966386,19.44859411784962,975.0191385270708,53.98511015420765
growth,0,0,true,poisson_separate,g12_o1,12,False,False,-541.9178013796331,19.65045857259757,960.2920688826887,53.58138124478326
growth,0,0,true,poisson_separate,g15_o2,15,False,True,-201.34311434506523,44.07840817678446,131.2926680850098,4.725482036276063
growth,0,0,true,poisson_separate,g21_o2,21,False,True,-543.1818000887121,20.282590405724783,1075.2465071869,52.31711757846203
growth,0,0,true,poisson_separate,g09_o1,9,False,False,-209.6211773287867,20.800403948706542,143.16656275940545,51.28149049247076
growth,0,0,true,poisson_separate,g19_o1,19,False,True,-215.1813857016647,19.776202498990543,152.91300001857283,53.32989339201708
growth,0,0,true,poisson_separate,g08_o1,8,False,True,-519.7049850014685,22.90584251227163,871.1640535113899,47.07061336543467
growth,0,0,true,poisson_separate,g18_o1,18,False,True,-522.0952323555547,18.18735463759542,913.7146721526756,56.507589114736625
growth,0,0,true,poisson_separate,g16_o2,16,False,False,-214.49506142816017,20.588218407417973,150.59069920211817,51.70586157506298
growth,0,0,true,poisson_separate,g22_o2,22,False,True,-202.621561663087,46.312617202210106,140.63518729710654,0.2570639854740457
growth,0,0,true,poisson_separate,g12_o2,12,False,True,-545.1841891673321,21.017660037089893,923.023971701782,50.8469783158197
growth,0,0,true,poisson_separate,g05_o1,5,False,True,-210.5116084582051,19.565749208705302,142.38964813167425,53.75079997248881
growth,0,0,true,poisson_separate,g21_o1,21,False,False,-520.2142494410605,21.208138385749955,884.5863621100698,50.46602161839342
growth,0,0,true,poisson_separate,g09_o2,9,False,True,-210.64672388249826,18.914935270145477,151.1856045657417,55.052427849617395
growth,0,0,true,poisson_separate,g15_o1,15,False,False,-194.3676285524084,44.35469774921948,116.97776890348021,4.172902891486971
growth,0,0,true,poisson_separate,g01_o1,1,False,True,-217.20767263989592,19.99964626742293,158.5716278395084,52.88300585505744
growth,0,0,true,poisson_separate,g11_o1,11,False,True,-208.14942047337036,45.02064917125129,141.9662756020804,2.8410000473930355
growth,0,0,true,poisson_separate,g10_o1,10,False,True,-209.32518012030172,43.73799444527255,139.3465575708808,5.406309499393821
growth,0,0,true,poisson_separate,g04_o1,4,False,True,-211.6028145836296,19.179682065590946,153.2121631805717,54.52293425862726
growth,0,0,true,poisson_separate,g20_o1,20,False,True,-542.3465390262157,19.933545880672064,1104.7864530415557,53.01520662851636
growth,0,0,true,poisson_separate,g08_o2,8,False,False,-545.7125981538287,20.680954916852322,1003.6446340546315,51.520388556204054
growth,0,0,true,poisson_separate,g14_o1,14,False,True,-540.8547595121566,18.701738533655284,966.8441810611182,55.478821322646525
growth,0,0,hapibd,poisson_shared,g03_o1,3,False,True,-996.9356342016738,-126.99762233161661,6614192.569672283,346.87754305327246
growth,0,0,hapibd,poisson_shared,g13_o1,13,False,True,-690.6225796128458,23.644436453214333,328101.7406418126,45.59342548347359
growth,0,0,hapibd,poisson_shared,g07_o1,7,False,True,-694.4309175369638,-71.74577190739338,25885.45655855006,236.37384220462857
growth,0,0,hapibd,poisson_shared,g17_o1,17,False,True,-285.97823435578056,-47.864257478413535,558.3641765675872,188.61081334675436
growth,0,0,hapibd,poisson_shared,g06_o1,6,False,True,-689.3250102609735,-84.02880928992163,21170.25515040177,260.939916970026
growth,0,0,hapibd,poisson_shared,g22_o1,22,False,True,-193.4804687178549,44.9245042506402,113.30915766237104,3.033289888578688
growth,0,0,hapibd,poisson_shared,g16_o1,16,False,False,-299.64378678344553,-105.22492289158373,345.80292217462227,303.33214417306846
growth,0,0,hapibd,poisson_shared,g02_o1,2,False,True,-1008.0190176606809,-161.83603419995535,1860611.4816654408,416.55436678982335
growth,0,0,hapibd,poisson_shared,g12_o1,12,False,True,-943.8718333119093,-84.99198545584376,50356783.62857323,262.8662693015817
growth,0,0,hapibd,poisson_shared,g15_o2,15,False,False,-207.31309415537717,43.65703518799525,153.53542253582185,5.568228013921106
growth,0,0,hapibd,poisson_shared,g21_o2,21,False,True,-716.8896420083905,-80.80763451510776,61514.430118023236,254.49756742020588
growth,0,0,hapibd,poisson_shared,g09_o1,9,False,True,-224.8871852945773,-23.420675022646034,207.58263530683854,139.72364843526668
growth,0,0,hapibd,poisson_shared,g19_o1,19,False,True,-294.3483637101273,-105.59741782188928,384.2863622486016,304.0771340333526
growth,0,0,hapibd,poisson_shared,g08_o1,8,False,True,-959.8207770553768,-136.2306230009106,2538236.1560524455,365.3435443918958
growth,0,0,hapibd,poisson_shared,g18_o1,18,False,True,-614.684356260735,-89.65117969631417,1652.8469028414756,272.1846577822333
growth,0,0,hapibd,poisson_shared,g16_o2,16,False,True,-294.0069983785363,-112.83671257732894,339.9261697942676,318.55572354438686
growth,0,0,hapibd,poisson_shared,g22_o2,22,False,False,-207.12209252937055,45.226372206837404,150.00017646681505,2.4295539761891014
growth,0,0,hapibd,poisson_shared,g12_o2,12,False,False,-1007.9501226293497,-124.18039543797902,4857533.918196869,341.2430892660122
growth,0,0,hapibd,poisson_shared,g05_o1,5,False,True,-279.7495057616168,-53.82792931763036,504.9092325696982,200.53815702519572
growth,0,0,hapibd,poisson_shared,g21_o1,21,False,False,-695.8907209226988,-74.03319506289888,29780.182008013868,240.94868851542483
growth,0,0,hapibd,poisson_shared,g09_o2,9,False,False,-280.4725866580561,-54.214557639486486,531.8077189499976,201.31141366892516
growth,0,0,hapibd,poisson_shared,g15_o1,15,False,True,-192.8680825852719,45.21270510390001,114.61289043285274,2.456888182124211
