scenario,pool,replicate,source,variant,candidate,graph,status,reliable,ess,pareto_k,seconds
growth,0,0,true,poisson_shared,g03_o1,3,ok,False,55.30113963983261,0.9733890061050007,15.551828790456057
growth,0,0,true,poisson_shared,g13_o1,13,ok,False,7.501282622372161,1.8932399976278742,32.96833487506956
growth,0,0,true,poisson_shared,g07_o1,7,ok,False,19.492286750327587,1.4933498272310877,43.37969145923853
growth,0,0,true,poisson_shared,g17_o1,17,ok,False,17.895942940500483,1.4338729228428297,28.86277854256332
growth,0,0,true,poisson_shared,g06_o1,6,ok,False,2.3948356105361723,1.6019670675644664,26.945208999328315
growth,0,0,true,poisson_shared,g22_o1,22,ok,False,24.31882952348632,1.3601334157860616,18.42336929216981
growth,0,0,true,poisson_shared,g16_o1,16,ok,False,14.621567801343401,1.8418517732700896,32.145601625554264
growth,0,0,true,poisson_shared,g02_o1,2,ok,False,25.24910539591373,1.3790489784873603,14.117088750004768
growth,0,0,true,poisson_shared,g12_o1,12,ok,False,4.746360412956024,3.44534337424205,43.945882958360016
growth,0,0,true,poisson_shared,g15_o2,15,ok,False,4.838217601521918,1.6817474217902042,22.191424500197172
growth,0,0,true,poisson_shared,g21_o2,21,ok,False,10.623768201682596,3.4827048504521807,35.6081669582054
growth,0,0,true,poisson_shared,g09_o1,9,ok,False,2.9222271446678687,1.6680214186684064,35.852741417475045
growth,0,0,true,poisson_shared,g19_o1,19,ok,False,6.3588952113460095,1.7128392525879166,25.58815904147923
growth,0,0,true,poisson_shared,g08_o1,8,ok,False,1.1918857063563428,1.5668550177549534,32.03618666622788
growth,0,0,true,poisson_shared,g18_o1,18,ok,False,8.96200803864712,4.5805571845790025,36.787753999233246
growth,0,0,true,poisson_shared,g16_o2,16,ok,False,11.388756992684218,1.6383417909782894,28.315739000216126
growth,0,0,true,poisson_shared,g22_o2,22,ok,False,9.101327615749828,1.99023589547562,27.982128417119384
growth,0,0,true,poisson_shared,g12_o2,12,ok,False,1.6434719175490273,2.8526246590207065,37.4948764173314
growth,0,0,true,poisson_shared,g05_o1,5,ok,False,8.458390601669631,2.5573016240453894,30.11080391705036
growth,0,0,true,poisson_shared,g21_o1,21,ok,False,1.8474237349086293,1.6422791349628734,27.492387207224965
growth,0,0,true,poisson_shared,g09_o2,9,ok,False,5.8756257367649,1.5392033569473014,31.559419292025268
growth,0,0,true,poisson_shared,g15_o1,15,ok,False,2.0816629692280144,1.636824520504521,23.807957083918154
growth,0,0,true,poisson_shared,g01_o1,1,ok,False,31.052776566385507,1.148494147375423,10.956460459157825
growth,0,0,true,poisson_shared,g11_o1,11,ok,False,2.4604231477421026,1.7452769700713147,36.35009358264506
growth,0,0,true,poisson_shared,g10_o1,10,ok,False,9.97241737742024,1.4426439868448235,33.74666466657072
growth,0,0,true,poisson_shared,g04_o1,4,ok,False,17.17029307738503,1.9593731980016094,29.124895124696195
growth,0,0,true,poisson_shared,g20_o1,20,ok,False,4.4204650043821125,1.753550095345296,26.410951416008174
growth,0,0,true,poisson_shared,g08_o2,8,ok,False,1.493572797279609,1.8717632453818416,34.16056991647929
growth,0,0,true,poisson_shared,g14_o1,14,ok,False,1.3399412331784462,1.8689167535513147,35.85215258318931
growth,0,0,true,poisson_separate,g03_o1,3,ok,False,4.669251267423013,1.700389432075488,16.12682683300227
growth,0,0,true,poisson_separate,g13_o1,13,ok,False,4.472247825234391,2.691370896634035,32.17238612566143
growth,0,0,true,poisson_separate,g07_o1,7,ok,False,1.8682533819202738,2.3802105630900474,35.23014320805669
growth,0,0,true,poisson_separate,g17_o1,17,ok,False,1.8017189841288042,2.182960574357635,35.022929708473384
growth,0,0,true,poisson_separate,g06_o1,6,ok,False,1.4332098084093359,2.4464686692577837,35.95616820733994
growth,0,0,true,poisson_separate,g22_o1,22,ok,False,8.257068399768057,2.2576263478056973,38.84917658288032
growth,0,0,true,poisson_separate,g16_o1,16,ok,False,6.612567330475814,2.11972055399132,33.184892166405916
growth,0,0,true,poisson_separate,g02_o1,2,ok,False,5.5651124220524055,1.980561275443444,17.890690707601607
growth,0,0,true,poisson_separate,g12_o1,12,ok,False,2.605132973021476,2.008599453542857,35.990446999669075
growth,0,0,true,poisson_separate,g15_o2,15,ok,False,3.423797391634226,1.7984803731005694,27.817911334335804
growth,0,0,true,poisson_separate,g21_o2,21,ok,False,2.1974056283327412,2.141514034266097,43.3718521669507
growth,0,0,true,poisson_separate,g09_o1,9,ok,False,6.5913976187714525,2.11238406702176,34.009476417675614
growth,0,0,true,poisson_separate,g19_o1,19,ok,False,1.1249699623653449,2.005336654355228,33.74557579215616
growth,0,0,true,poisson_separate,g08_o1,8,ok,False,1.538752311058063,1.8114375718910092,26.452805667184293
growth,0,0,true,poisson_separate,g18_o1,18,ok,False,5.499102202355315,2.4408659376385935,40.80758004169911
growth,0,0,true,poisson_separate,g16_o2,16,ok,False,2.7896614048258406,1.6967346389698874,35.01817604061216
growth,0,0,true,poisson_separate,g22_o2,22,ok,False,1.2288924452595136,2.24750235707036,40.9901107493788
growth,0,0,true,poisson_separate,g12_o2,12,ok,False,1.0840935746610045,2.294042000800711,42.256026833318174
growth,0,0,true,poisson_separate,g05_o1,5,ok,False,1.065551737914129,2.7558139534232797,33.104328707791865
growth,0,0,true,poisson_separate,g21_o1,21,ok,False,3.2534522348492665,2.2171617993833643,38.09847983252257
growth,0,0,true,poisson_separate,g09_o2,9,ok,False,2.3741810840747632,3.029233916634118,33.19888737425208
growth,0,0,true,poisson_separate,g15_o1,15,ok,False,8.39859591649441,2.1529915198158163,26.716942542232573
growth,0,0,true,poisson_separate,g01_o1,1,ok,False,2.1344347715104917,1.5772141760815732,15.63625058438629
growth,0,0,true,poisson_separate,g11_o1,11,ok,False,5.01793079364389,1.9649972978357155,31.157905832864344
growth,0,0,true,poisson_separate,g10_o1,10,ok,False,3.1252569838441646,2.1515434930480133,28.62785912491381
growth,0,0,true,poisson_separate,g04_o1,4,ok,False,1.1440593778869712,1.8832591761585673,31.495384292677045
growth,0,0,true,poisson_separate,g20_o1,20,ok,False,2.8379778302217478,1.9695977082636837,33.12558954209089
growth,0,0,true,poisson_separate,g08_o2,8,ok,False,11.57727144420939,2.1336137301921623,34.31138229276985
growth,0,0,true,poisson_separate,g14_o1,14,ok,False,2.724830444346974,1.7743671877870748,34.15342079102993
growth,0,0,hapibd,poisson_shared,g03_o1,3,ok,False,12.012972272227694,1.019483576977139,13.747089875862002
growth,0,0,hapibd,poisson_shared,g13_o1,13,ok,False,2.6125932838719224,2.3364420546585536,32.15462562534958
growth,0,0,hapibd,poisson_shared,g07_o1,7,ok,False,5.06286601419733,1.3645445519298067,32.81497308332473
growth,0,0,hapibd,poisson_shared,g17_o1,17,ok,False,3.5151509804613124,1.5295678846543737,28.16266658436507
growth,0,0,hapibd,poisson_shared,g06_o1,6,ok,False,1.4345397281255954,1.5904119219180737,34.105433125048876
growth,0,0,hapibd,poisson_shared,g22_o1,22,ok,False,4.429145727624594,1.8916570086139453,19.7918083332479
growth,0,0,hapibd,poisson_shared,g16_o1,16,ok,False,1.5597677431817853,1.6570922159944,27.964009541086853
growth,0,0,hapibd,poisson_shared,g02_o1,2,ok,False,13.579943824590858,0.9086750110520758,13.785671666264534
growth,0,0,hapibd,poisson_shared,g12_o1,12,ok,False,6.911853199968537,2.11918893648414,44.15418437495828
growth,0,0,hapibd,poisson_shared,g15_o2,15,ok,False,12.48656704976842,1.486576282802116,22.203567625023425
growth,0,0,hapibd,poisson_shared,g21_o2,21,ok,False,4.890493380066328,1.6122806511903471,34.00002183299512
growth,0,0,hapibd,poisson_shared,g09_o1,9,ok,False,8.39085977436563,1.8916483887466362,31.933191500604153
growth,0,0,hapibd,poisson_shared,g19_o1,19,ok,False,10.202115739476945,1.4595227757311438,20.264466790482402
growth,0,0,hapibd,poisson_shared,g08_o1,8,ok,False,3.7892942477916534,1.713869725152656,30.717528291977942
growth,0,0,hapibd,poisson_shared,g18_o1,18,ok,False,1.0328706007146176,3.7714823398135007,34.33272225037217
growth,0,0,hapibd,poisson_shared,g16_o2,16,ok,False,7.233270335892905,1.5415439882884494,25.78843745868653
growth,0,0,hapibd,poisson_shared,g22_o2,22,ok,False,1.7121114917403644,1.8469127472138005,24.158548207953572
growth,0,0,hapibd,poisson_shared,g12_o2,12,ok,False,2.0949327270339726,2.070797460798993,32.31579087488353
growth,0,0,hapibd,poisson_shared,g05_o1,5,ok,False,6.72095073809469,1.4834553627851104,24.963326167315245
growth,0,0,hapibd,poisson_shared,g21_o1,21,ok,False,1.1453533535380989,1.8071350146307568,27.905505041591823
growth,0,0,hapibd,poisson_shared,g09_o2,9,ok,False,2.203415397601709,1.5282643588281033,30.457438999786973
growth,0,0,hapibd,poisson_shared,g15_o1,15,ok,False,11.650271129702197,1.5334148545079895,22.333666624501348
growth,0,0,hapibd,poisson_shared,g01_o1,1,ok,False,6.8145854792302245,1.1620779616850119,14.672079333104193
growth,0,0,hapibd,poisson_shared,g11_o1,11,ok,False,1.9310534085586646,3.2639147798795247,35.02257249969989
growth,0,0,hapibd,poisson_shared,g10_o1,10,ok,False,1.4324838523787584,1.7843964902583231,31.523260000161827
growth,0,0,hapibd,poisson_shared,g04_o1,4,ok,False,1.090973584406855,1.7767007871147278,28.718250250443816
growth,0,0,hapibd,poisson_shared,g20_o1,20,ok,False,1.3089912036779883,1.975807658464288,26.366718250326812
growth,0,0,hapibd,poisson_shared,g08_o2,8,ok,False,1.0093149570734836,2.2434157894388593,31.22912483289838
growth,0,0,hapibd,poisson_shared,g14_o1,14,ok,False,6.435723061673655,1.993934141844132,35.528117957524955
growth,0,0,hapibd,poisson_separate,g03_o1,3,ok,False,7.758304567522746,1.4663625598871217,15.8917753752321
growth,0,0,hapibd,poisson_separate,g13_o1,13,ok,False,1.0011654094484177,2.1644415044003433,34.81167166586965
growth,0,0,hapibd,poisson_separate,g07_o1,7,ok,False,1.4913521941482157,2.129902759345491,34.92028229217976
growth,0,0,hapibd,poisson_separate,g17_o1,17,ok,False,1.0453630265897373,2.6794331465373564,33.828006917610765
growth,0,0,hapibd,poisson_separate,g06_o1,6,ok,False,1.0322967461431718,2.3568705224286086,34.97354291751981
growth,0,0,hapibd,poisson_separate,g22_o1,22,ok,False,1.487797857073075,2.2045644071015813,39.78227345831692
growth,0,0,hapibd,poisson_separate,g16_o1,16,ok,False,3.7247738667894965,2.560608773443184,30.59306645952165
growth,0,0,hapibd,poisson_separate,g02_o1,2,ok,False,7.3697912150459555,1.8757222628168297,18.056121957488358
growth,0,0,hapibd,poisson_separate,g12_o1,12,ok,False,3.8009774928208238,2.715617594422306,34.39312999974936
growth,0,0,hapibd,poisson_separate,g15_o2,15,ok,False,4.211131355034426,2.1104485414708702,27.059522540308535
growth,0,0,hapibd,poisson_separate,g21_o2,21,ok,False,6.843772883789124,2.0723407752902214,39.29630187433213
growth,0,0,hapibd,poisson_separate,g09_o1,9,ok,False,3.1054191137484666,1.8393303626661899,35.217797624878585
growth,0,0,hapibd,poisson_separate,g19_o1,19,ok,False,2.023078728539087,2.6191375330383004,35.83434454165399
growth,0,0,hapibd,poisson_separate,g08_o1,8,ok,False,1.223936046062911,2.4660045400265354,28.639979125000536
growth,0,0,hapibd,poisson_separate,g18_o1,18,ok,False,2.026774720359601,2.3625020609178464,40.35015416704118
growth,0,0,hapibd,poisson_separate,g16_o2,16,ok,False,3.48614097799591,1.9128090381112979,33.35547300055623
growth,0,0,hapibd,poisson_separate,g22_o2,22,ok,False,5.930171288918937,2.3326069701699024,40.1772366669029
growth,0,0,hapibd,poisson_separate,g12_o2,12,ok,False,13.854903742493871,2.290503889017921,43.044069834053516
growth,0,0,hapibd,poisson_separate,g05_o1,5,ok,False,4.518033819275503,3.436940433201969,31.797297124750912
growth,0,0,hapibd,poisson_separate,g21_o1,21,ok,False,7.3282665739263715,2.5476999178157973,36.48790437541902
growth,0,0,hapibd,poisson_separate,g09_o2,9,ok,False,5.032478410231148,2.275063395266733,32.808760000392795
growth,0,0,hapibd,poisson_separate,g15_o1,15,ok,False,4.775961575449282,1.7928217215721178,25.660028499551117
growth,0,0,hapibd,poisson_separate,g01_o1,1,ok,False,6.028117149569847,1.763807412371855,15.511592417024076
growth,0,0,hapibd,poisson_separate,g11_o1,11,ok,False,3.118690596077497,2.009847283036365,31.754068999551237
growth,0,0,hapibd,poisson_separate,g10_o1,10,ok,False,1.0430270865789801,2.229667137284856,29.166066957637668
growth,0,0,hapibd,poisson_separate,g04_o1,4,ok,False,2.551871308082736,1.9400509215994066,29.692951125092804
growth,0,0,hapibd,poisson_separate,g20_o1,20,ok,False,1.2784375173813232,2.235172597837937,32.798396749421954
growth,0,0,hapibd,poisson_separate,g08_o2,8,ok,False,1.3004974468274018,1.9864315368290977,34.27592945750803
growth,0,0,hapibd,poisson_separate,g14_o1,14,ok,False,7.603253003439757,2.0636292826654463,30.503059291280806
growth,0,1,true,poisson_shared,g03_o1,3,ok,False,2.4666636891809683,1.1459635239093366,15.127162083983421
growth,0,1,true,poisson_shared,g13_o1,13,ok,False,5.944320698292435,1.513651874634561,37.178324334323406
growth,0,1,true,poisson_shared,g07_o1,7,ok,False,2.8177735026264012,1.6348517778845688,44.0065200002864
growth,0,1,true,poisson_shared,g17_o1,17,ok,False,6.670080004321968,1.4022735381007105,32.41629100032151
growth,0,1,true,poisson_shared,g06_o1,6,ok,False,1.0715493752120968,1.8857775897278126,35.52703558374196
growth,0,1,true,poisson_shared,g22_o1,22,ok,False,4.877707919573677,1.6658298302642396,19.443656750023365
growth,0,1,true,poisson_shared,g16_o1,16,ok,False,3.1174313865814316,1.8746325645442075,31.513220749795437
growth,0,1,true,poisson_shared,g02_o1,2,ok,False,5.956480522984407,1.1461013582175448,14.390225292183459
growth,0,1,true,poisson_shared,g12_o1,12,ok,False,13.515219696579718,1.487119426409105,40.77148550003767
growth,0,1,true,poisson_shared,g15_o2,15,ok,False,1.0311723184619472,1.7217565252946543,22.543665500357747
growth,0,1,true,poisson_shared,g21_o2,21,ok,False,1.4723065546364855,1.9810765665605596,35.8574093747884
growth,0,1,true,poisson_shared,g09_o1,9,ok,False,7.8088123560480165,1.6913598256299107,36.76210970804095
growth,0,1,true,poisson_shared,g19_o1,19,ok,False,1.235964174808129,1.3659419967044353,26.324788250029087
growth,0,1,true,poisson_shared,g08_o1,8,ok,False,2.686062850211652,1.94135680794661,38.47351458389312
growth,0,1,true,poisson_shared,g18_o1,18,ok,False,8.778675968931932,2.6434955952905543,30.741254624910653
growth,0,1,true,poisson_shared,g16_o2,16,ok,False,1.544643837722921,2.232043098709582,25.788725916296244
growth,0,1,true,poisson_shared,g22_o2,22,ok,False,3.694672978292465,1.5358628136295809,20.79932991694659
growth,0,1,true,poisson_shared,g12_o2,12,ok,False,15.348504792070793,1.7614119982168877,34.30491500068456
growth,0,1,true,poisson_shared,g05_o1,5,ok,False,15.992202423329596,1.514677838518917,30.928131917491555
growth,0,1,true,poisson_shared,g21_o1,21,ok,False,1.009841121162905,1.9182200322840106,29.329890250228345
growth,0,1,true,poisson_shared,g09_o2,9,ok,False,1.3972803552989965,1.7595120484876694,33.25200937502086
growth,0,1,true,poisson_shared,g15_o1,15,ok,False,1.5991875237921709,1.6148009437243869,24.576096541248262
growth,0,1,true,poisson_shared,g01_o1,1,ok,False,4.112052363374546,1.09067175755844,11.547017959877849
