scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,node,branch,component,mean,lower,upper,t0,t1,young,old,harmonic,arithmetic
growth,0,0,true,poisson_shared,g03_o1,3,False,True,a,,shared,26216.961093162805,24387.67120809287,27899.62395436271,,,,,,
growth,0,0,true,poisson_shared,g03_o1,3,False,True,b,,shared,56049.91664733367,51079.97113472646,60881.542822757125,,,,,,
growth,0,0,true,poisson_shared,g03_o1,3,False,True,c,,shared,7133.071940321731,6895.039225794437,7353.535713683569,,,,,,
growth,0,0,true,poisson_shared,g03_o1,3,False,True,n1,,shared,719.2102614343962,590.8561763251106,893.3448853981232,,,,,,
growth,0,0,true,poisson_shared,g03_o1,3,False,True,root,,shared,668.5254914716171,550.2294969734689,817.8749560621948,,,,,,
growth,0,0,true,poisson_shared,g13_o1,13,False,True,a,,shared,30493.955362470442,28192.423992594664,34063.81157309803,,,,,,
growth,0,0,true,poisson_shared,g13_o1,13,False,True,b,,shared,20827.874790753525,19085.07630859677,22630.557818215748,,,,,,
growth,0,0,true,poisson_shared,g13_o1,13,False,True,c,,shared,19041.17267048738,16591.925570116393,21242.91004991733,,,,,,
growth,0,0,true,poisson_shared,g13_o1,13,False,True,b.1,,shared,432811.0285807742,251191.2726203101,638042.4477595357,,,,,,
growth,0,0,true,poisson_shared,g13_o1,13,False,True,b.2,,shared,21847.596085631718,13080.503204913213,31352.400595627656,,,,,,
growth,0,0,true,poisson_shared,g13_o1,13,False,True,n1,,shared,586.4476923464315,455.5269986829012,716.4092965072181,,,,,,
growth,0,0,true,poisson_shared,g13_o1,13,False,True,n2,,shared,1877.0692771496613,1703.0282619871612,2085.0529648833262,,,,,,
growth,0,0,true,poisson_shared,g13_o1,13,False,True,root,,shared,1663.8256607314856,1515.44075164113,1858.7959407645835,,,,,,
growth,0,0,true,poisson_shared,g07_o1,7,False,True,a,,shared,48976.627466072154,41751.18097531232,56585.93722224343,,,,,,
growth,0,0,true,poisson_shared,g07_o1,7,False,True,b,,shared,45338.40958399813,41850.66221488247,49605.12175281427,,,,,,
growth,0,0,true,poisson_shared,g07_o1,7,False,True,c,,shared,20319.97364800991,17949.409366922482,23549.827963836597,,,,,,
growth,0,0,true,poisson_shared,g07_o1,7,False,True,a.1,,shared,9438.837235790086,8611.399072873803,10038.157003763361,,,,,,
growth,0,0,true,poisson_shared,g07_o1,7,False,True,a.2,,shared,661.0803321492032,491.9958261109795,825.6002357144312,,,,,,
growth,0,0,true,poisson_shared,g07_o1,7,False,True,n1,,shared,567.0598362463438,531.9776629688342,611.8569311002359,,,,,,
growth,0,0,true,poisson_shared,g07_o1,7,False,True,n2,,shared,4189.638253828761,3800.617239952552,4459.494892295345,,,,,,
growth,0,0,true,poisson_shared,g07_o1,7,False,True,root,,shared,4586.7002301075,4349.183299574423,4779.958469417263,,,,,,
growth,0,0,true,poisson_shared,g17_o1,17,False,True,a,,shared,65594.81499615365,44394.903345850296,98290.40799175287,,,,,,
growth,0,0,true,poisson_shared,g17_o1,17,False,True,b,,shared,45306.877185918325,41098.927266286715,50672.57635463798,,,,,,
growth,0,0,true,poisson_shared,g17_o1,17,False,True,c,,shared,13948.684609771486,12117.213293694309,15729.16662657036,,,,,,
growth,0,0,true,poisson_shared,g17_o1,17,False,True,c.1,,shared,14959.833845845578,13990.532148789824,16144.334862019216,,,,,,
growth,0,0,true,poisson_shared,g17_o1,17,False,True,c.2,,shared,2383.148774503767,1696.9715853250734,3442.8163674631164,,,,,,
growth,0,0,true,poisson_shared,g17_o1,17,False,True,n1,,shared,2074.4367775387313,1903.734290441965,2243.9053571736968,,,,,,
growth,0,0,true,poisson_shared,g17_o1,17,False,True,n2,,shared,6445.314788925114,6160.780846025335,6683.542481314661,,,,,,
growth,0,0,true,poisson_shared,g17_o1,17,False,True,root,,shared,8134.388206853186,7776.670129185158,8458.495411710863,,,,,,
growth,0,0,true,poisson_shared,g06_o1,6,False,True,a,,shared,49603.261122606316,40410.52578930267,56083.903348510794,,,,,,
growth,0,0,true,poisson_shared,g06_o1,6,False,True,b,,shared,45919.92602895023,43692.43990419196,47387.439795926955,,,,,,
growth,0,0,true,poisson_shared,g06_o1,6,False,True,c,,shared,21502.97493230272,19123.691473178762,22322.759862079998,,,,,,
growth,0,0,true,poisson_shared,g06_o1,6,False,True,a.1,,shared,7763.031883090583,7371.596727321153,8287.073135397419,,,,,,
growth,0,0,true,poisson_shared,g06_o1,6,False,True,a.2,,shared,553.9223758022548,533.0100210753361,558.9772009430999,,,,,,
growth,0,0,true,poisson_shared,g06_o1,6,False,True,n1,,shared,545.8068319513009,534.7830776032695,570.1567839144728,,,,,,
growth,0,0,true,poisson_shared,g06_o1,6,False,True,n2,,shared,5804.257059490113,5773.283156887097,6069.683381561112,,,,,,
growth,0,0,true,poisson_shared,g06_o1,6,False,True,root,,shared,4934.182617159601,4878.329657928473,5166.392403014374,,,,,,
growth,0,0,true,poisson_shared,g22_o1,22,False,True,a,a,shared,43453.88887016654,38132.25806754104,52576.84917619402,0,50,150000.0,15000.000000000004,38376.41397765426,58629.761532959434
growth,0,0,true,poisson_shared,g22_o1,22,False,True,b,b,shared,15297.601190142292,13144.870189377827,17597.92079543486,0,10,60000.0,15000.0,27725.886112315693,32460.63971965263
growth,0,0,true,poisson_shared,g22_o1,22,False,True,c,c,shared,14643.248097569867,13712.394561041618,16507.279549263225,0,100,15000.0,15000.0,15000.000000000005,15000.000000000005
growth,0,0,true,poisson_shared,g22_o1,22,False,True,loop1,loop1,shared,14968.722672185188,13493.13343531458,16826.91195243633,10,25,15000.0,15000.0,15000.0,15000.000000000004
growth,0,0,true,poisson_shared,g22_o1,22,False,True,loop2,loop2,shared,14957.344312992582,13478.146693111754,17008.709933919203,10,25,5000.0,5000.0,5000.0,5000.0
growth,0,0,true,poisson_shared,g22_o1,22,False,True,anc_b,anc_b,shared,14308.422387395296,12767.956242837345,15789.053417708657,25,30,15000.0,15000.0,15000.000000000004,15000.000000000005
growth,0,0,true,poisson_shared,g22_o1,22,False,True,b.1,b.1,shared,16093.824126719439,14566.58993632223,17852.35273771015,30,50,15000.0,15000.0,14999.999999999998,15000.0
growth,0,0,true,poisson_shared,g22_o1,22,False,True,b.2,b.2,shared,7209.1048532974,5895.443752593237,8944.115884963354,30,100,5000.0,5000.0,5000.000000000001,5000.0
growth,0,0,true,poisson_shared,g22_o1,22,False,True,left,left,shared,12103.975075252527,11422.736557980565,12941.057249171647,50,300,15000.0,15000.0,14999.999999999996,15000.0
growth,0,0,true,poisson_shared,g22_o1,22,False,True,right,right,shared,9273.069453414524,8705.771720261015,9848.088509530719,100,300,15000.0,15000.0,15000.000000000004,15000.0
growth,0,0,true,poisson_shared,g22_o1,22,False,True,root,root,shared,14067.757946743277,13242.873554078587,14710.511775411222,300,,15000.0,15000.0,15000.0,15000.0
growth,0,0,true,poisson_shared,g16_o1,16,False,False,a,,shared,15040.552969407714,13877.112058728255,16173.143106992424,,,,,,
growth,0,0,true,poisson_shared,g16_o1,16,False,False,b,,shared,38070.30967176043,33693.90445047954,41870.071380037756,,,,,,
growth,0,0,true,poisson_shared,g16_o1,16,False,False,c,,shared,14282.397327303397,11892.225963875306,15717.051958391501,,,,,,
growth,0,0,true,poisson_shared,g16_o1,16,False,False,c.1,,shared,8918.612918066437,8495.398474983884,9325.264841082135,,,,,,
growth,0,0,true,poisson_shared,g16_o1,16,False,False,c.2,,shared,18919.51574282385,9051.799323713063,24543.619102096905,,,,,,
growth,0,0,true,poisson_shared,g16_o1,16,False,False,n1,,shared,9096.347265886256,8720.760328303713,9512.207776804778,,,,,,
growth,0,0,true,poisson_shared,g16_o1,16,False,False,n2,,shared,17124.24151105135,16037.74363329572,18105.615364492434,,,,,,
growth,0,0,true,poisson_shared,g16_o1,16,False,False,root,,shared,14315.567330890794,13772.200215305762,14745.242033755761,,,,,,
growth,0,0,true,poisson_shared,g02_o1,2,False,True,a,,shared,21011.626374492393,19486.18236449228,22843.529825159447,,,,,,
growth,0,0,true,poisson_shared,g02_o1,2,False,True,b,,shared,53726.536463595745,46807.14223457647,60144.47755699048,,,,,,
growth,0,0,true,poisson_shared,g02_o1,2,False,True,c,,shared,6665.766435216904,6373.386552713935,6845.874990593358,,,,,,
growth,0,0,true,poisson_shared,g02_o1,2,False,True,n1,,shared,2281.3816212693723,1888.1022566471895,2600.81996306321,,,,,,
growth,0,0,true,poisson_shared,g02_o1,2,False,True,root,,shared,1202.5442417610411,1024.1582529230834,1438.12625939176,,,,,,
growth,0,0,true,poisson_shared,g12_o1,12,False,True,a,,shared,23873.016884461613,22489.70732515825,24857.149072823377,,,,,,
growth,0,0,true,poisson_shared,g12_o1,12,False,True,b,,shared,23884.797223550053,22235.416575017556,25568.30045645091,,,,,,
growth,0,0,true,poisson_shared,g12_o1,12,False,True,c,,shared,7581.461909484017,7476.592181376748,7779.903075969008,,,,,,
