scenario,pool,replicate,source,dlogz_backbone,delbo_backbone,dlogz_explicit,delbo_explicit,shared_backbone,separate_backbone,shared_winner,separate_winner
growth,0,0,true,-11.864536325629956,-45.13555275406202,-20.05266112710507,-39.82708720301548,True,True,15,15
growth,0,0,hapibd,-18.572323686943832,-23.979303153182713,-30.727089649341337,-48.38914337166423,True,True,15,15
growth,0,1,true,-13.532552762049562,-64.36933142508454,-13.008665116882838,-31.179767607988254,True,True,15,22
growth,0,1,hapibd,-15.436084377823988,-49.61948395293902,-16.38103925918162,-37.15509683622972,True,False,15,11
growth,0,2,true,-13.082966600995235,-66.32824115737884,-20.313676881888114,-34.13485992351272,True,True,15,22
growth,0,2,hapibd,-20.309105496350753,-53.54784867393107,-26.68250549301095,-51.65326112074541,True,True,15,15
growth,0,3,true,-14.937475337993078,-67.10865453689752,-19.665090359786063,-26.416832557591277,True,True,15,22
growth,0,3,hapibd,-11.656438308448429,-93.5640578259846,-21.43676253218004,-15.590929056708887,True,True,15,22
growth,0,4,true,-18.16865554545936,-56.54198552101818,-26.80716148744,-35.243616772569254,True,True,15,22
growth,0,4,hapibd,-15.340282702747174,-73.84409379268692,-28.603102812438152,-46.158048999098725,True,False,15,11
growth,0,5,true,-15.28091911288601,-65.0455913779962,-24.38646663471002,-23.66094585757577,True,True,15,22
growth,0,5,hapibd,-14.454707657336087,-54.944410409601375,-24.58061111130391,-22.069723661443874,True,True,15,22
growth,0,6,true,-17.269906227291614,-28.72337018535464,-9.029912753871741,-33.53007981240805,True,True,15,15
growth,0,6,hapibd,-16.287380379995085,-70.4209942402463,-33.092713546000965,-33.396072705296916,True,False,15,10
growth,0,7,true,-15.30868688384004,-66.32376080087747,-24.65327638217198,-40.223073028887825,True,False,15,11
growth,0,7,hapibd,-14.695572790043627,-148.64473733927758,-18.16220898391188,-48.517232760612245,True,True,15,22
growth,0,8,true,-20.727874419455816,-46.775579373279584,-22.359676506422204,-34.34171699408648,True,True,15,22
growth,0,8,hapibd,-21.792626570540193,-61.82524369896606,-17.24312183451383,-32.92521031929209,True,True,15,22
growth,0,9,true,-22.150001246089545,-65.5428827027998,-21.45822773116319,-30.90410091579963,True,True,15,22
growth,0,9,hapibd,-22.763238490620438,-59.38704633284499,-24.995929910298344,-37.66050225265184,True,True,15,22
constant,0,0,true,-19.57200891194441,-67.1843713158299,-28.75451620122891,-47.174028431670024,True,True,15,22
constant,0,0,hapibd,-19.91177166463919,-77.62184462059824,-15.747027977629699,-38.96703116304471,True,True,15,22
constant,0,1,true,-18.22713918213435,-71.07602801254194,-23.468510242121567,-37.99149747117332,True,True,15,22
constant,0,1,hapibd,-18.569267705333772,-76.70105908149483,-16.94361708540913,-55.97334090821829,True,True,15,22
constant,0,2,true,-27.455514177484446,-95.7990554679134,-19.022329747692282,-55.42884217704574,True,True,15,22
constant,0,2,hapibd,-10.568555025711618,-71.3460075238147,-23.5586610969886,-42.85807917026344,True,True,15,22
constant,0,3,true,-21.23627477632519,-71.88039804508352,-27.433002707577742,-64.74877996095188,True,False,15,11
constant,0,3,hapibd,-17.691348392076748,-65.15788800440987,-23.965120860997104,-59.745197588896076,True,True,15,22
constant,0,4,true,-24.07325728786111,-87.2177329559272,-21.653520056554157,-56.794310260121165,True,True,15,22
constant,0,4,hapibd,-19.6395312547356,-82.28956192974923,-23.60296230654484,-32.86348771541623,True,True,15,22
constant,0,5,true,-13.227966768015534,-85.41590114063482,-16.368619812703855,-41.60692620541272,True,True,15,22
constant,0,5,hapibd,-19.511442979143567,-64.77656940130967,-22.609605963716774,-41.96394666829207,True,True,15,22
constant,0,6,true,-16.74869905552285,-91.95535216530104,-24.30269865174631,-34.44594819444026,True,True,15,22
constant,0,6,hapibd,-20.20430720214671,-83.44776561692751,-24.754875962288963,-52.080684921123236,True,True,15,22
constant,0,7,true,-19.789255687270384,-139.972290954084,-16.993689178408005,-38.52697447508132,True,True,15,22
constant,0,7,hapibd,-13.61892783842515,-85.31932598771701,-23.798513577706473,-28.6224503777309,True,True,15,22
constant,0,8,true,-20.336327170576823,-118.2580576737698,-27.850197326041496,-41.72439305285107,True,True,15,22
constant,0,8,hapibd,-13.631615460217546,-71.58645622692782,-17.997966948056046,-32.7388747082079,True,True,15,22
constant,0,9,true,-18.359626730258924,-99.8030999290946,-15.780612583547992,-51.020647421605446,True,True,15,22
constant,0,9,hapibd,-20.785339556509996,-72.98821752919551,-22.562447109451085,-35.85578818486016,True,True,15,22
