scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,pair,slope,correlation
growth,0,0,true,poisson_shared,g03_o1,3,False,True,"0,0",-0.010105804108741496,-0.0688441923196607
growth,0,0,true,poisson_shared,g03_o1,3,False,True,"0,1",-9.914228067906889,-0.15014900128297468
growth,0,0,true,poisson_shared,g03_o1,3,False,True,"0,2",0.12897794123971118,0.3997130326332615
growth,0,0,true,poisson_shared,g03_o1,3,False,True,"1,1",-0.345024362818817,-0.7360066905540013
growth,0,0,true,poisson_shared,g03_o1,3,False,True,"1,2",0.10407900925285866,0.3789941882448524
growth,0,0,true,poisson_shared,g03_o1,3,False,True,"2,2",0.2913642149373287,0.6368954901042115
growth,0,0,true,poisson_shared,g13_o1,13,False,True,"0,0",-0.052434059186912844,-0.2870424955710922
growth,0,0,true,poisson_shared,g13_o1,13,False,True,"0,1",-3.319308925784044,-0.18242263987639226
growth,0,0,true,poisson_shared,g13_o1,13,False,True,"0,2",0.13962208195904222,0.42234753882460835
growth,0,0,true,poisson_shared,g13_o1,13,False,True,"1,1",-0.11566642970902725,-0.540382700740335
growth,0,0,true,poisson_shared,g13_o1,13,False,True,"1,2",0.14142814461402647,0.42870586248233555
growth,0,0,true,poisson_shared,g13_o1,13,False,True,"2,2",-0.056444145789032486,-0.19226967721866126
growth,0,0,true,poisson_shared,g07_o1,7,False,True,"0,0",-0.02052953986611994,-0.12994496252924856
growth,0,0,true,poisson_shared,g07_o1,7,False,True,"0,1",-1.269026298153983,-0.2706760291422084
growth,0,0,true,poisson_shared,g07_o1,7,False,True,"0,2",0.14564969854227186,0.45262464765449306
growth,0,0,true,poisson_shared,g07_o1,7,False,True,"1,1",-0.2711210552140525,-0.7088407490598475
growth,0,0,true,poisson_shared,g07_o1,7,False,True,"1,2",0.12458475957232515,0.45732701084005756
growth,0,0,true,poisson_shared,g07_o1,7,False,True,"2,2",-0.011949132304748155,-0.032379417012116996
growth,0,0,true,poisson_shared,g17_o1,17,False,True,"0,0",0.055322817850848506,0.21621025958798404
growth,0,0,true,poisson_shared,g17_o1,17,False,True,"0,1",-0.15354502097870418,-0.3259044619145238
growth,0,0,true,poisson_shared,g17_o1,17,False,True,"0,2",0.04023832514250842,0.44824782756704973
growth,0,0,true,poisson_shared,g17_o1,17,False,True,"1,1",-0.18519439101654275,-0.5495060134852033
growth,0,0,true,poisson_shared,g17_o1,17,False,True,"1,2",-0.0712113155614998,-0.45519406152704533
growth,0,0,true,poisson_shared,g17_o1,17,False,True,"2,2",-0.04563802636453612,-0.23637331700586037
growth,0,0,true,poisson_shared,g06_o1,6,False,True,"0,0",-0.020528410608244854,-0.125714812495285
growth,0,0,true,poisson_shared,g06_o1,6,False,True,"0,1",-1.134291029651149,-0.28493533985787567
growth,0,0,true,poisson_shared,g06_o1,6,False,True,"0,2",0.15192437792978403,0.45770325867109946
growth,0,0,true,poisson_shared,g06_o1,6,False,True,"1,1",-0.27708975429603155,-0.7127062712035477
growth,0,0,true,poisson_shared,g06_o1,6,False,True,"1,2",0.12446686772226649,0.46045685539733927
growth,0,0,true,poisson_shared,g06_o1,6,False,True,"2,2",-0.014017669630777873,-0.03570792382868025
growth,0,0,true,poisson_shared,g22_o1,22,False,True,"0,0",-0.023047494296586337,-0.16734627619787185
growth,0,0,true,poisson_shared,g22_o1,22,False,True,"0,1",0.00294730245819902,0.02947800757628348
growth,0,0,true,poisson_shared,g22_o1,22,False,True,"0,2",0.008026855170829657,0.360584342539466
growth,0,0,true,poisson_shared,g22_o1,22,False,True,"1,1",-0.014754502085858063,-0.0900707076773904
growth,0,0,true,poisson_shared,g22_o1,22,False,True,"1,2",-0.004152051279244398,-0.16231376945276932
growth,0,0,true,poisson_shared,g22_o1,22,False,True,"2,2",-0.03961386804592653,-0.19897723073983775
growth,0,0,true,poisson_shared,g16_o1,16,False,False,"0,0",0.1623508175522624,0.8421436946980891
growth,0,0,true,poisson_shared,g16_o1,16,False,False,"0,1",-0.08583930629270023,-0.35067220161825047
growth,0,0,true,poisson_shared,g16_o1,16,False,False,"0,2",0.04453089658398053,0.4617262938377539
growth,0,0,true,poisson_shared,g16_o1,16,False,False,"1,1",-0.14712361505823693,-0.5194386338045858
growth,0,0,true,poisson_shared,g16_o1,16,False,False,"1,2",-0.038663226217114884,-0.3917938341996648
growth,0,0,true,poisson_shared,g16_o1,16,False,False,"2,2",-0.05321091379659687,-0.2713678018812903
growth,0,0,true,poisson_shared,g02_o1,2,False,True,"0,0",0.054101991832178786,0.44269068436704323
growth,0,0,true,poisson_shared,g02_o1,2,False,True,"0,1",-5.842033171231961,-0.163682717695804
growth,0,0,true,poisson_shared,g02_o1,2,False,True,"0,2",0.12795959221212597,0.4108843291656971
growth,0,0,true,poisson_shared,g02_o1,2,False,True,"1,1",-0.3378473347199965,-0.7385794487710767
growth,0,0,true,poisson_shared,g02_o1,2,False,True,"1,2",0.09765202383649488,0.39178101427217105
growth,0,0,true,poisson_shared,g02_o1,2,False,True,"2,2",0.3192001827168404,0.6570002873077838
growth,0,0,true,poisson_shared,g12_o1,12,False,True,"0,0",0.016952426953172738,0.12860086640698032
growth,0,0,true,poisson_shared,g12_o1,12,False,True,"0,1",-26.268619457692957,-0.1381536374028034
growth,0,0,true,poisson_shared,g12_o1,12,False,True,"0,2",0.12310722229893079,0.3853714800315656
growth,0,0,true,poisson_shared,g12_o1,12,False,True,"1,1",-0.18199647776215372,-0.6329239262275729
growth,0,0,true,poisson_shared,g12_o1,12,False,True,"1,2",0.09169349008306259,0.3486696333233417
growth,0,0,true,poisson_shared,g12_o1,12,False,True,"2,2",0.26354488880726673,0.6181962899850705
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"0,0",-0.014613144179250618,-0.10810659406355567
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"0,1",-0.04904221423892283,-0.26953298733237663
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"0,2",0.00304563408725796,0.3425296698814866
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"1,1",-0.016181510570215614,-0.09831806141496971
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"1,2",0.04388222643352922,0.7019383237036533
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"2,2",-0.04940137950261312,-0.24769253075655295
growth,0,0,true,poisson_shared,g21_o2,21,False,True,"0,0",0.10096906602029089,0.7326421157064326
