scenario,pool,replicate,source,variant,search,rank,graph,newick,best_order,reliable,logz,elbo
growth,0,0,true,poisson_shared,loop_omitted,1,15,"((a,b.1),(b.2,c))",g15_o1,False,-192.42895169598583,-206.79681045756772
growth,0,0,true,poisson_shared,loop_omitted,2,9,"((a.1,b),(a.2,c))",g09_o1,False,-324.9879117605338,-394.0567140569781
growth,0,0,true,poisson_shared,loop_omitted,3,17,"(((a,c.1),b),c.2)",g17_o1,False,-403.1119321870844,-423.3375129008635
growth,0,0,true,poisson_shared,loop_omitted,4,1,"((a,b),c)",g01_o1,False,-445.2677255728952,-451.1838150668231
growth,0,0,true,poisson_shared,loop_omitted,5,16,"(((a,b),c.1),c.2)",g16_o2,False,-454.5155216557306,-474.3747695546244
growth,0,0,true,poisson_shared,loop_omitted,6,19,"(((b,c.1),a),c.2)",g19_o1,False,-459.38333142660576,-632.3860967062758
growth,0,0,true,poisson_shared,loop_omitted,7,10,"(((a,b.1),b.2),c)",g10_o1,False,-230.64340690242136,-693.9985887498855
growth,0,0,true,poisson_shared,loop_omitted,8,11,"(((a,b.1),c),b.2)",g11_o1,False,-233.2154445611977,-702.8846235632684
growth,0,0,true,poisson_shared,loop_omitted,9,5,"(((a.1,b),c),a.2)",g05_o1,False,-401.26079417858443,-797.5211825626196
growth,0,0,true,poisson_shared,loop_omitted,10,4,"(((a.1,b),a.2),c)",g04_o1,False,-401.3505677600832,-819.2368517159484
growth,0,0,true,poisson_shared,loop_omitted,11,14,"(((b.1,c),b.2),a)",g14_o1,False,-760.7644821171466,-854.3572021721009
growth,0,0,true,poisson_shared,loop_omitted,12,18,"(((a,c.1),c.2),b)",g18_o1,False,-752.6168388968505,-864.7338650260186
growth,0,0,true,poisson_shared,loop_omitted,13,13,"(((b.1,c),a),b.2)",g13_o1,False,-772.4057165554271,-867.1487856046399
growth,0,0,true,poisson_shared,loop_omitted,14,21,"((a,c.1),(b,c.2))",g21_o2,False,-808.6624442821931,-882.8476013479037
growth,0,0,true,poisson_shared,loop_omitted,15,6,"(((a.1,c),a.2),b)",g06_o1,False,-869.2850413170715,-889.9745420787422
growth,0,0,true,poisson_shared,loop_omitted,16,7,"(((a.1,c),b),a.2)",g07_o1,False,-854.0193590499698,-910.2383863517085
growth,0,0,true,poisson_shared,loop_omitted,17,20,"(((b,c.1),c.2),a)",g20_o1,False,-893.3712620105094,-941.8872342692384
growth,0,0,true,poisson_shared,loop_omitted,18,8,"(((b,c),a.1),a.2)",g08_o1,False,-1184.726194275938,-1208.382166686706
growth,0,0,true,poisson_shared,loop_omitted,19,12,"(((a,c),b.1),b.2)",g12_o1,False,-1157.1744539248045,-1214.316052837054
growth,0,0,true,poisson_shared,loop_omitted,20,2,"((a,c),b)",g02_o1,False,-1230.7282439336593,-1235.333677089238
