scenario,pool,replicate,source,variant,search,complete,reliable,winner,backbone_correct,full_graph_correct,elbo_gap,rank_backbone,rank_explicit,logz_winner
growth,0,0,true,poisson_shared,loop_omitted,True,False,15,True,False,187.25990359941036,1,,15
growth,0,0,true,poisson_shared,including_loop,True,False,15,True,False,18.903198276955578,1,2,15
growth,0,0,true,poisson_separate,loop_omitted,True,False,15,True,False,17.278093411558956,1,,15
growth,0,0,true,poisson_separate,including_loop,True,False,15,True,False,13.59473272590904,1,2,15
growth,0,0,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,196.2206109437364,1,,15
growth,0,0,hapibd,poisson_shared,including_loop,True,False,15,True,False,13.93675614802791,1,2,15
growth,0,0,hapibd,poisson_separate,loop_omitted,True,False,15,True,False,18.445157342606194,1,,15
growth,0,0,hapibd,poisson_separate,including_loop,True,False,15,True,False,18.445157342606194,1,4,15
growth,0,1,true,poisson_shared,loop_omitted,True,False,15,True,False,216.33982971224773,1,,15
growth,0,1,true,poisson_shared,including_loop,True,False,15,True,False,17.636710937252957,1,2,15
growth,0,1,true,poisson_separate,loop_omitted,True,False,10,False,False,3.622324780720703,3,,15
growth,0,1,true,poisson_separate,including_loop,True,False,22,True,True,5.6600680794198865,4,1,15
growth,0,1,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,44.96567281748108,1,,15
growth,0,1,hapibd,poisson_shared,including_loop,True,False,15,True,False,10.931243743571088,1,2,15
growth,0,1,hapibd,poisson_separate,loop_omitted,True,False,11,False,False,2.7974366715602628,2,,15
growth,0,1,hapibd,poisson_separate,including_loop,True,False,11,False,False,1.2642932984220465,3,2,15
growth,0,2,true,poisson_shared,loop_omitted,True,False,15,True,False,52.875561254702745,1,,15
growth,0,2,true,poisson_shared,including_loop,True,False,15,True,False,13.723854843923306,1,2,15
growth,0,2,true,poisson_separate,loop_omitted,True,False,15,True,False,0.28961625940934255,1,,15
growth,0,2,true,poisson_separate,including_loop,True,False,22,True,True,18.469526389942814,2,1,15
growth,0,2,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,220.88295776773788,1,,15
growth,0,2,hapibd,poisson_shared,including_loop,True,False,15,True,False,10.397875162353898,1,2,15
growth,0,2,hapibd,poisson_separate,loop_omitted,True,False,15,True,False,3.883393517503862,1,,15
growth,0,2,hapibd,poisson_separate,including_loop,True,False,15,True,False,3.883393517503862,1,3,15
growth,0,3,true,poisson_shared,loop_omitted,True,False,15,True,False,211.9569649267687,1,,15
growth,0,3,true,poisson_shared,including_loop,True,False,15,True,False,10.851334637553975,1,2,15
growth,0,3,true,poisson_separate,loop_omitted,True,False,15,True,False,0.926979936434634,1,,15
growth,0,3,true,poisson_separate,including_loop,True,False,22,True,True,29.840487341752265,2,1,15
growth,0,3,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,249.7305774480456,1,,15
growth,0,3,hapibd,poisson_shared,including_loop,True,False,15,True,False,21.365043267870988,1,2,15
growth,0,3,hapibd,poisson_separate,loop_omitted,True,False,11,False,False,9.114826836320105,4,,15
growth,0,3,hapibd,poisson_separate,including_loop,True,False,22,True,True,17.755947858309526,5,1,15
growth,0,4,true,poisson_shared,loop_omitted,True,False,15,True,False,26.71723006704761,1,,15
growth,0,4,true,poisson_shared,including_loop,True,False,15,True,False,12.038822731004188,1,2,15
growth,0,4,true,poisson_separate,loop_omitted,True,False,10,False,False,0.026779870458994992,2,,15
growth,0,4,true,poisson_separate,including_loop,True,False,22,True,True,9.232766146985739,3,1,15
growth,0,4,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,161.85167970982866,1,,15
growth,0,4,hapibd,poisson_shared,including_loop,True,False,15,True,False,6.370435334374889,1,2,15
growth,0,4,hapibd,poisson_separate,loop_omitted,True,False,11,False,False,0.413142347271787,4,,15
growth,0,4,hapibd,poisson_separate,including_loop,True,False,11,False,False,0.413142347271787,5,3,15
growth,0,5,true,poisson_shared,loop_omitted,True,False,15,True,False,176.88392839043385,1,,15
growth,0,5,true,poisson_shared,including_loop,True,False,15,True,False,17.06119559169764,1,2,15
growth,0,5,true,poisson_separate,loop_omitted,True,False,11,False,False,11.050862646140985,3,,15
growth,0,5,true,poisson_separate,including_loop,True,False,22,True,True,4.021947022281324,4,1,15
growth,0,5,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,172.0646095977688,1,,15
growth,0,5,hapibd,poisson_shared,including_loop,True,False,15,True,False,14.52525045314789,1,2,15
growth,0,5,hapibd,poisson_separate,loop_omitted,True,False,10,False,False,2.175662565795392,3,,15
growth,0,5,hapibd,poisson_separate,including_loop,True,False,22,True,True,15.908549234624587,4,1,15
growth,0,6,true,poisson_shared,loop_omitted,True,False,15,True,False,195.46284808995878,1,,15
growth,0,6,true,poisson_shared,including_loop,True,False,15,True,False,12.735898667846072,1,2,15
growth,0,6,true,poisson_separate,loop_omitted,True,False,15,True,False,38.91504650965487,1,,15
growth,0,6,true,poisson_separate,including_loop,True,False,15,True,False,17.54260829489948,1,2,15
growth,0,6,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,44.82704230832414,1,,15
growth,0,6,hapibd,poisson_shared,including_loop,True,False,15,True,False,20.65624051693021,1,2,15
growth,0,6,hapibd,poisson_separate,loop_omitted,True,False,10,False,False,5.994419479845135,3,,15
growth,0,6,hapibd,poisson_separate,including_loop,True,False,10,False,False,5.994419479845135,4,3,15
growth,0,7,true,poisson_shared,loop_omitted,True,False,15,True,False,236.29569163734445,1,,15
growth,0,7,true,poisson_shared,including_loop,True,False,15,True,False,20.192037543577754,1,2,15
growth,0,7,true,poisson_separate,loop_omitted,True,False,11,False,False,2.2032382709896297,3,,15
growth,0,7,true,poisson_separate,including_loop,True,False,11,False,False,0.6404771671449225,4,2,15
growth,0,7,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,229.78451507705523,1,,15
growth,0,7,hapibd,poisson_shared,including_loop,True,False,15,True,False,16.29790676825823,1,2,15
growth,0,7,hapibd,poisson_separate,loop_omitted,True,False,10,False,False,21.01552839075913,6,,15
growth,0,7,hapibd,poisson_separate,including_loop,True,False,22,True,True,15.490000993296917,7,1,15
growth,0,8,true,poisson_shared,loop_omitted,True,False,15,True,False,162.42378132695842,1,,15
growth,0,8,true,poisson_shared,including_loop,True,False,15,True,False,5.349187004292958,1,2,15
growth,0,8,true,poisson_separate,loop_omitted,True,False,11,False,False,1.7159597221645981,2,,15
growth,0,8,true,poisson_separate,including_loop,True,False,22,True,True,5.3687156527355455,3,1,15
growth,0,8,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,206.55975018090652,1,,15
growth,0,8,hapibd,poisson_shared,including_loop,True,False,15,True,False,18.612992165987862,1,2,15
growth,0,8,hapibd,poisson_separate,loop_omitted,True,False,15,True,False,6.262904307551878,1,,15
growth,0,8,hapibd,poisson_separate,including_loop,True,False,22,True,True,10.28704121368611,2,1,15
growth,0,9,true,poisson_shared,loop_omitted,True,False,15,True,False,36.63144927930077,1,,15
growth,0,9,true,poisson_shared,including_loop,True,False,15,True,False,18.61372327309678,1,2,15
growth,0,9,true,poisson_separate,loop_omitted,True,False,10,False,False,5.199706593087058,3,,15
growth,0,9,true,poisson_separate,including_loop,True,False,22,True,True,10.4118066015007,4,1,15
growth,0,9,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,169.70132877982627,1,,15
growth,0,9,hapibd,poisson_shared,including_loop,True,False,15,True,False,12.707417157139957,1,2,15
growth,0,9,hapibd,poisson_separate,loop_omitted,True,False,10,False,False,0.19299352057271335,2,,15
growth,0,9,hapibd,poisson_separate,including_loop,True,False,22,True,True,8.82613340248048,3,1,15
constant,0,0,true,poisson_shared,loop_omitted,True,False,15,True,False,75.79188029583057,1,,15
constant,0,0,true,poisson_shared,including_loop,True,False,15,True,False,11.053568870795601,1,2,15
constant,0,0,true,poisson_separate,loop_omitted,True,False,10,False,False,2.3088004023788926,2,,15
constant,0,0,true,poisson_separate,including_loop,True,False,22,True,True,6.647973610985389,3,1,15
constant,0,0,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,93.16923982696582,1,,15
constant,0,0,hapibd,poisson_shared,including_loop,True,False,15,True,False,4.846561917278336,1,2,15
constant,0,0,hapibd,poisson_separate,loop_omitted,True,False,11,False,False,9.799536644871125,2,,15
constant,0,0,hapibd,poisson_separate,including_loop,True,False,22,True,True,24.00871489540407,3,1,15
constant,0,1,true,poisson_shared,loop_omitted,True,False,15,True,False,66.32770859332618,1,,15
constant,0,1,true,poisson_shared,including_loop,True,False,15,True,False,6.731381214544399,1,2,15
constant,0,1,true,poisson_separate,loop_omitted,True,False,10,False,False,14.877657946701845,2,,15
constant,0,1,true,poisson_separate,including_loop,True,False,22,True,True,11.475491380122378,3,1,15
constant,0,1,hapibd,poisson_shared,loop_omitted,True,False,15,True,False,233.02777488935826,1,,15
