index,newick,rank_poisson_shared_ne,elbo_poisson_shared_ne,d_elbo_poisson_shared_ne,rank_poisson_separate_ne,elbo_poisson_separate_ne,d_elbo_poisson_separate_ne,rank_normal_shared_ne,elbo_normal_shared_ne,d_elbo_normal_shared_ne,rank_normal_separate_ne,elbo_normal_separate_ne,d_elbo_normal_separate_ne,rank_poisson_grid_shared_ne,elbo_poisson_grid_shared_ne,d_elbo_poisson_grid_shared_ne,rank_poisson_grid_separate_ne,elbo_poisson_grid_separate_ne,d_elbo_poisson_grid_separate_ne,rank_normal_grid_shared_ne,elbo_normal_grid_shared_ne,d_elbo_normal_grid_shared_ne,rank_normal_grid_separate_ne,elbo_normal_grid_separate_ne,d_elbo_normal_grid_separate_ne
1,"((EAS,IBS),TSI)",19,-43568.240794,-42555.218496,18,-7620.838063,-7097.243634,15,-41110.244166,-44979.276319,14,-1566.048360,-5381.483285,19,-43178.314113,-42383.587137,18,-7241.238975,-6667.169169,18,-40938.428506,-44845.143217,18,-1354.293836,-5161.713772
2,"((EAS,TSI),IBS)",21,-43992.110679,-42979.088381,20,-7773.382818,-7249.788389,16,-41154.272795,-45023.304948,21,-28149.269747,-31964.704672,21,-43444.447783,-42649.720807,21,-7332.780295,-6758.710489,19,-40979.511262,-44886.225973,19,-1384.845380,-5192.265316
3,"((IBS,TSI),EAS)",7,-5922.317718,-4909.295420,7,-5783.411415,-5259.816987,4,-1564.021191,-5433.053344,11,-334.323964,-4149.758889,9,-5249.682321,-4454.955345,12,-5258.605080,-4684.535274,6,-1118.291672,-5025.006383,12,54.474155,-3752.945781
4,"(((EAS.1,IBS),EAS.2),TSI)",15,-42695.671154,-41682.648856,17,-7420.762335,-6897.167907,12,-39211.837129,-43080.869282,5,302.610985,-3512.823940,15,-7421.783627,-6627.056651,16,-6985.239537,-6411.169731,10,-35866.835367,-39773.550078,8,446.844367,-3360.575570
5,"(((EAS.1,IBS),TSI),EAS.2)",13,-6163.615013,-5150.592715,11,-5879.010593,-5355.416164,8,-5199.455601,-9068.487754,2,696.104711,-3119.330214,8,-5210.504819,-4415.777843,9,-5169.019051,-4594.949245,8,-4337.532758,-8244.247470,3,2400.431461,-1406.988475
6,"(((EAS.1,TSI),EAS.2),IBS)",16,-42821.599187,-41808.576889,21,-7842.728205,-7319.133777,14,-39408.107236,-43277.139388,7,-27.325660,-3842.760585,17,-42160.818968,-41366.091992,19,-7319.747912,-6745.678106,17,-39124.319083,-43031.033794,13,53.538502,-3753.881434
7,"(((EAS.1,TSI),IBS),EAS.2)",9,-6052.450561,-5039.428263,14,-5900.409441,-5376.815012,7,-5194.057353,-9063.089506,16,-3172.064232,-6987.499158,10,-5272.709315,-4477.982339,10,-5206.458082,-4632.388276,7,-4250.368927,-8157.083639,2,3587.774008,-219.645928
8,"(((IBS,TSI),EAS.1),EAS.2)",10,-6057.345770,-5044.323471,8,-5860.607936,-5337.013507,1,3869.032153,0.000000,1,3815.434925,0.000000,6,-5161.162785,-4366.435809,3,-3572.519300,-2998.449494,1,3906.714712,0.000000,1,3807.419936,0.000000
9,"((EAS.1,IBS),(EAS.2,TSI))",17,-43306.748342,-42293.726043,15,-7174.960063,-6651.365635,13,-39242.549265,-43111.581418,6,-23.116677,-3838.551602,16,-42151.561365,-41356.834389,6,-4292.223866,-3718.154060,13,-36562.195774,-40468.910486,15,0.843418,-3806.576518
10,"(((EAS,IBS.1),IBS.2),TSI)",4,-5132.591430,-4119.569132,3,-3747.376874,-3223.782446,9,-38276.807145,-42145.839298,4,436.175318,-3379.259607,4,-4823.272600,-4028.545624,4,-3759.974255,-3185.904449,9,-35373.205823,-39279.920534,6,504.994623,-3302.425313
11,"(((EAS,IBS.1),TSI),IBS.2)",6,-5633.279040,-4620.256742,4,-3759.710998,-3236.116569,19,-47442.448931,-51311.481083,19,-26035.175409,-29850.610334,5,-5019.699436,-4224.972460,5,-4270.979744,-3696.909938,11,-35879.488926,-39786.203637,7,483.432816,-3323.987120
12,"(((EAS,TSI),IBS.1),IBS.2)",18,-43490.941280,-42477.918982,16,-7371.296387,-6847.701959,20,-47491.284996,-51360.317149,20,-27838.148649,-31653.583574,18,-43042.715052,-42247.988076,17,-7025.043567,-6450.973761,15,-38372.861852,-42279.576564,17,-1062.754422,-4870.174359
13,"(((IBS.1,TSI),EAS),IBS.2)",12,-6114.961008,-5101.938710,10,-5877.339106,-5353.744678,5,-1666.050280,-5535.082433,9,-83.942008,-3899.376933,11,-5302.077523,-4507.350547,13,-5267.523103,-4693.453297,4,-1099.102004,-5005.816715,5,779.507274,-3027.912662
14,"(((IBS.1,TSI),IBS.2),EAS)",14,-6212.032135,-5199.009836,12,-5888.315163,-5364.720734,2,31.518518,-3837.513635,8,-73.171366,-3888.606291,13,-5353.370878,-4558.643902,11,-5224.872044,-4650.802238,2,384.584572,-3522.130140,9,251.736558,-3555.683378
15,"((EAS,IBS.1),(IBS.2,TSI))",1,-1013.022298,0.000000,1,-523.594428,0.000000,17,-42792.052528,-46661.084681,17,-3191.800835,-7007.235760,1,-794.726976,0.000000,1,-574.069806,0.000000,20,-42006.214276,-45912.928988,4,823.637828,-2983.782108
16,"(((EAS,IBS),TSI.1),TSI.2)",20,-43686.043276,-42673.020978,19,-7694.847565,-7171.253136,10,-39192.252744,-43061.284897,15,-1595.365261,-5410.800186,20,-43238.529543,-42443.802567,20,-7324.655031,-6750.585225,14,-37639.907209,-41546.621921,20,-1406.519843,-5213.939780
17,"(((EAS,TSI.1),IBS),TSI.2)",3,-5114.208469,-4101.186171,6,-4345.579865,-3821.985437,21,-49362.661306,-53231.693459,12,-493.140579,-4308.575504,3,-4821.006466,-4026.279490,7,-4294.568052,-3720.498246,12,-36560.179050,-40466.893762,11,54.956944,-3752.462993
18,"(((EAS,TSI.1),TSI.2),IBS)",5,-5318.321342,-4305.299044,5,-4298.064423,-3774.469995,11,-39198.705987,-43067.738140,13,-709.377389,-4524.812315,7,-5181.171818,-4386.444841,8,-4324.862365,-3750.792559,16,-38889.424701,-42796.139413,16,-850.599842,-4658.019778
19,"(((IBS,TSI.1),EAS),TSI.2)",8,-5979.106620,-4966.084321,9,-5870.466667,-5346.872239,6,-1681.136288,-5550.168441,3,646.929412,-3168.505513,14,-5417.257273,-4622.530297,14,-5284.366853,-4710.297047,5,-1112.161188,-5018.875899,14,40.621788,-3766.798148
20,"(((IBS,TSI.1),TSI.2),EAS)",11,-6113.641485,-5100.619186,13,-5893.694951,-5370.100522,3,-240.141280,-4109.173433,10,-97.129150,-3912.564075,12,-5347.038880,-4552.311904,15,-5305.157744,-4731.087938,3,285.906172,-3620.808539,10,204.797250,-3602.622686
21,"((EAS,TSI.1),(IBS,TSI.2))",2,-1058.297512,-45.275214,2,-850.770390,-327.175961,18,-42829.080721,-46698.112874,18,-3197.764140,-7013.199065,2,-889.102543,-94.375566,2,-843.359104,-269.289298,21,-42059.230581,-45965.945293,21,-2691.687861,-6499.107798
