index,newick,rank_poisson_shared_ne,f_poisson_shared_ne,closest_tree_poisson_shared_ne,elbo_poisson_shared_ne,d_elbo_poisson_shared_ne,rank_poisson_separate_ne,f_poisson_separate_ne,closest_tree_poisson_separate_ne,elbo_poisson_separate_ne,d_elbo_poisson_separate_ne,rank_normal_shared_ne,f_normal_shared_ne,closest_tree_normal_shared_ne,elbo_normal_shared_ne,d_elbo_normal_shared_ne,rank_normal_separate_ne,f_normal_separate_ne,closest_tree_normal_separate_ne,elbo_normal_separate_ne,d_elbo_normal_separate_ne
1,"((EAS,IBS),TSI)",20,,,-43561.512429,-43038.427237,20,,,-7618.192029,-7118.388236,20,,,-41110.711963,-45133.868629,19,,,-1512.298107,-5624.545306
2,"((EAS,TSI),IBS)",21,,,-43785.489690,-43262.404498,21,,,-7683.702313,-7183.898520,21,,,-41152.998527,-45176.155192,21,,,-1545.833478,-5658.080677
3,"((IBS,TSI),EAS)",16,,,-5834.205086,-5311.119894,17,,,-5779.433879,-5279.630086,8,,,-1563.135970,-5586.292635,17,,,-267.228272,-4379.475471
4,"(((EAS.1,IBS),EAS.2),TSI)",11,0.96753928,,-5037.022440,-4513.937248,9,0.99997566,"((EAS,IBS),TSI)",-3733.255423,-3233.451630,16,0.99996853,"((EAS,IBS),TSI)",-35834.701228,-39857.857893,11,0.99995041,"((EAS,IBS),TSI)",505.102164,-3607.145035
5,"(((EAS.1,IBS),TSI),EAS.2)",1,0.99285381,"((IBS,TSI),EAS)",-523.085191,0.000000,2,0.99850853,"((IBS,TSI),EAS)",-529.323884,-29.520090,1,0.99250921,"((IBS,TSI),EAS)",4023.156665,0.000000,2,0.99999994,"((IBS,TSI),EAS)",4069.928948,-42.318251
6,"(((EAS.1,TSI),EAS.2),IBS)",8,0.92554091,,-4840.532541,-4317.447350,12,0.99977589,"((EAS,TSI),IBS)",-4298.583816,-3798.780023,13,0.99782315,"((EAS,TSI),IBS)",-35473.556449,-39496.713115,14,0.99960883,"((EAS,TSI),IBS)",54.257657,-4057.989542
7,"(((EAS.1,TSI),IBS),EAS.2)",4,0.98628940,,-803.059700,-279.974509,4,0.99638756,"((IBS,TSI),EAS)",-827.959036,-328.155242,3,0.98718660,,3777.844738,-245.311927,4,0.99999907,"((IBS,TSI),EAS)",3817.772494,-294.474705
8,"(((IBS,TSI),EAS.1),EAS.2)",3,0.91270222,,-795.592804,-272.507613,3,0.04199272,,-822.355332,-322.551538,2,0.83205256,,3876.472426,-146.684239,3,0.19661011,,3820.576459,-291.670741
9,"((EAS.1,IBS),(EAS.2,TSI))",12,0.00086610,"((EAS,TSI),IBS)",-5049.922617,-4526.837425,8,0.00000416,"((EAS,TSI),IBS)",-3725.649015,-3225.845222,15,0.00000018,"((EAS,TSI),IBS)",-35813.929716,-39837.086381,10,0.00012787,"((EAS,TSI),IBS)",515.310922,-3596.936278
10,"(((EAS,IBS.1),IBS.2),TSI)",6,0.99985267,"((EAS,IBS),TSI)",-4435.711774,-3912.626582,7,0.99969079,"((EAS,IBS),TSI)",-3721.147552,-3221.343759,11,0.98243670,,-35332.411652,-39355.568317,8,0.99949526,"((EAS,IBS),TSI)",550.745801,-3561.501398
11,"(((EAS,IBS.1),TSI),IBS.2)",7,0.99993427,"((EAS,TSI),IBS)",-4445.745217,-3922.660026,6,0.99986131,"((EAS,TSI),IBS)",-3687.560164,-3187.756370,12,0.97773260,,-35440.670154,-39463.826820,9,0.99972246,"((EAS,TSI),IBS)",539.447278,-3572.799921
12,"(((EAS,TSI),IBS.1),IBS.2)",18,0.00147909,"((EAS,TSI),IBS)",-43239.622850,-42716.537658,18,0.41937474,,-7156.303467,-6656.499674,18,0.07652024,,-37370.933626,-41394.090291,18,0.30561034,,-1131.399535,-5243.646734
13,"(((IBS.1,TSI),EAS),IBS.2)",15,0.00255014,"((IBS,TSI),EAS)",-5593.170273,-5070.085081,14,0.68300568,,-5116.650051,-4616.846258,9,0.00257256,"((IBS,TSI),EAS)",-1584.727394,-5607.884060,7,0.70976231,,687.016831,-3425.230368
14,"(((IBS.1,TSI),IBS.2),EAS)",13,0.00150336,"((IBS,TSI),EAS)",-5462.202623,-4939.117431,15,0.99834105,"((IBS,TSI),EAS)",-5515.205682,-5015.401889,6,0.14123861,,45.613717,-3977.542948,16,0.99890060,"((IBS,TSI),EAS)",-27.360103,-4139.607302
15,"((EAS,IBS.1),(IBS.2,TSI))",2,0.00594875,"((IBS,TSI),EAS)",-598.896364,-75.811172,1,0.00548011,"((IBS,TSI),EAS)",-499.803793,0.000000,4,0.00622289,"((IBS,TSI),EAS)",3079.622173,-943.534492,1,0.00001296,"((IBS,TSI),EAS)",4112.247199,0.000000
16,"(((EAS,IBS),TSI.1),TSI.2)",19,0.44866982,,-43514.159161,-42991.073969,19,0.44712786,,-7600.645304,-7100.841510,19,0.04094623,,-37557.961858,-41581.118523,20,0.30878557,,-1526.527195,-5638.774394
17,"(((EAS,TSI.1),IBS),TSI.2)",9,0.99999871,"((EAS,IBS),TSI)",-4959.829221,-4436.744029,10,0.99982876,"((EAS,IBS),TSI)",-4245.149097,-3745.345303,17,0.99996143,"((EAS,IBS),TSI)",-36498.394227,-40521.550893,13,0.99958250,"((EAS,IBS),TSI)",80.253249,-4031.993950
18,"(((EAS,TSI.1),TSI.2),IBS)",10,0.99980747,"((EAS,TSI),IBS)",-4967.939893,-4444.854702,11,0.99948023,"((EAS,TSI),IBS)",-4292.260186,-3792.456392,14,0.99911167,"((EAS,TSI),IBS)",-35723.802492,-39746.959157,12,0.99964061,"((EAS,TSI),IBS)",85.125710,-4027.121490
19,"(((IBS,TSI.1),EAS),TSI.2)",17,0.00665748,"((IBS,TSI),EAS)",-5881.290050,-5358.204858,13,0.81266380,,-4767.816864,-4268.013071,10,0.00142041,"((IBS,TSI),EAS)",-1607.060724,-5630.217389,6,0.80542290,,924.636273,-3187.610926
20,"(((IBS,TSI.1),TSI.2),EAS)",14,0.91505864,,-5492.864450,-4969.779258,16,0.99865666,"((IBS,TSI),EAS)",-5526.586168,-5026.782375,7,0.85992191,,-32.856575,-4056.013240,15,0.99964443,"((IBS,TSI),EAS)",-10.445634,-4122.692833
21,"((EAS,TSI.1),(IBS,TSI.2))",5,0.00089059,"((IBS,TSI),EAS)",-901.931075,-378.845884,5,0.00074772,"((IBS,TSI),EAS)",-829.985896,-330.182102,5,0.00048892,"((IBS,TSI),EAS)",2826.006292,-1197.150373,5,0.00002531,"((IBS,TSI),EAS)",3808.053596,-304.193603
