rank,index,newick,n_admix,admixture_fraction,closest_tree_index,closest_tree_newick,elbo,d_elbo,elbo_softmax_weight,elbo_se,ess,chi2_ibd_per_n,chi2_snp_per_n,mode,map_start,map_lp,n_map_success,n_pathfinder_modes,elbo_mode_range,seed,secs
1,15,"((EAS,IBS.1),(IBS.2,TSI))",1,0.00079153,3,"((IBS,TSI),EAS)",4063.383470,0.000000,0.99999998,0.372285,3.369,0.955813,3.315324,1,11,4245.138000,12,3,11.141260,21760904,25.8
2,5,"(((EAS.1,IBS),TSI),EAS.2)",1,0.99999783,3,"((IBS,TSI),EAS)",4045.628905,-17.754565,1.946661e-08,0.400483,1.126,1.174410,3.274341,1,7,4226.833900,12,3,278.165323,20760904,27.0
3,8,"(((IBS,TSI),EAS.1),EAS.2)",1,0.73915747,,,3828.412029,-234.971442,8.9784121e-103,0.121628,1.944,3.123377,0.603332,1,11,4012.206900,12,3,11.782415,21060904,27.3
4,21,"((EAS,TSI.1),(IBS,TSI.2))",1,0.00000834,3,"((IBS,TSI),EAS)",3814.798924,-248.584546,1.0992678e-108,0.165696,2.359,3.113035,1.180495,2,11,3995.201100,12,3,56.024948,22360905,25.7
5,7,"(((EAS.1,TSI),IBS),EAS.2)",1,0.99999659,3,"((IBS,TSI),EAS)",3808.880045,-254.503425,2.9550651e-111,0.150300,1.015,3.117937,0.919239,1,6,3988.675800,12,3,78.133861,20960904,26.8
6,19,"(((IBS,TSI.1),EAS),TSI.2)",1,0.80125785,,,1152.520298,-2910.863172,0,0.219327,3.161,26.520784,0.504305,1,3,1358.587900,12,3,29.558073,22160904,26.2
7,13,"(((IBS.1,TSI),EAS),IBS.2)",1,0.69976975,,,879.122124,-3184.261346,0,0.353082,2.079,28.888496,1.720690,1,6,1102.265000,12,3,38.988558,21560904,26.3
8,10,"(((EAS,IBS.1),IBS.2),TSI)",1,0.99965961,1,"((EAS,IBS),TSI)",498.830595,-3564.552875,0,0.133704,1.200,31.746763,0.716812,1,7,692.750430,12,3,121.503979,21260904,27.2
9,4,"(((EAS.1,IBS),EAS.2),TSI)",1,0.99993213,1,"((EAS,IBS),TSI)",496.401945,-3566.981525,0,0.220488,4.782,31.858059,1.515659,1,7,670.418440,12,3,456.876791,20660904,26.0
10,11,"(((EAS,IBS.1),TSI),IBS.2)",1,0.99975963,2,"((EAS,TSI),IBS)",494.775047,-3568.608423,0,0.441676,1.081,31.814042,2.685635,1,6,693.424350,12,3,82.246209,21360904,27.0
11,9,"((EAS.1,IBS),(EAS.2,TSI))",1,0.00065730,2,"((EAS,TSI),IBS)",451.200284,-3612.183186,0,0.640026,1.944,32.011980,3.945694,1,11,673.526190,12,3,420.993701,21160904,26.5
12,14,"(((IBS.1,TSI),IBS.2),EAS)",1,0.03325400,,,287.908764,-3775.474706,0,0.397646,1.012,34.342380,2.061983,1,3,522.637350,12,3,10.788896,21660904,25.5
13,20,"(((IBS,TSI.1),TSI.2),EAS)",1,0.75008775,,,258.304346,-3805.079124,0,0.123547,1.109,34.146825,1.162883,3,11,481.630960,12,3,22.795535,22260906,25.0
14,3,"((IBS,TSI),EAS)",0,,,,106.549603,-3956.833867,0,0.459295,3.729,36.249973,1.986631,1,7,270.790760,12,3,9.526032,20560904,17.4
15,18,"(((EAS,TSI.1),TSI.2),IBS)",1,0.99963931,2,"((EAS,TSI),IBS)",89.644740,-3973.738730,0,0.347233,10.464,35.335828,2.292103,1,7,284.458500,12,3,220.582855,22060904,24.7
16,6,"(((EAS.1,TSI),EAS.2),IBS)",1,0.99943764,2,"((EAS,TSI),IBS)",88.841364,-3974.542106,0,0.321609,2.350,35.391431,2.337705,1,7,279.009090,12,3,59.480319,20860904,25.4
17,17,"(((EAS,TSI.1),IBS),TSI.2)",1,0.99951832,1,"((EAS,IBS),TSI)",74.341553,-3989.041918,0,0.545950,1.001,35.314959,3.891597,1,6,285.385400,12,3,15.922782,21960904,26.9
18,12,"(((EAS,TSI),IBS.1),IBS.2)",1,0.26496775,,,-1026.170641,-5089.554111,0,0.280934,1.136,45.751824,1.431523,1,11,-836.158720,12,3,31.491606,21460904,27.8
19,1,"((EAS,IBS),TSI)",0,,,,-1360.581479,-5423.964949,0,0.153281,1.460,49.067238,1.357762,1,0,-1231.495100,12,3,166.227185,20360904,16.5
20,16,"(((EAS,IBS),TSI.1),TSI.2)",1,0.06248504,,,-1375.419371,-5438.802841,0,0.251443,1.028,48.635030,1.061349,3,2,-1184.384500,12,3,12.910562,21860906,26.4
21,2,"((EAS,TSI),IBS)",0,,,,-1381.449864,-5444.833334,0,0.365388,8.999,49.300886,0.858338,1,0,-1252.184900,12,3,22.309506,20460904,17.1
