TOPOLOGY RANKING: Normal, separate Ne, grid | EAS/IBS/TSI

rank idx topology                                   f closest tree when boundary         ELBO      dELBO   ELBO-w    X2 IBD    X2 SNP
   1  15 ((EAS,IBS.1),(IBS.2,TSI))            0.00079 [03] ((IBS,TSI),EAS)           4063.38       0.00   1.0000      0.96      3.32
   2   5 (((EAS.1,IBS),TSI),EAS.2)            1.00000 [03] ((IBS,TSI),EAS)           4045.63     -17.75   0.0000      1.17      3.27
   3   8 (((IBS,TSI),EAS.1),EAS.2)            0.73916 -                              3828.41    -234.97   0.0000      3.12      0.60
   4  21 ((EAS,TSI.1),(IBS,TSI.2))            0.00001 [03] ((IBS,TSI),EAS)           3814.80    -248.58   0.0000      3.11      1.18
   5   7 (((EAS.1,TSI),IBS),EAS.2)            1.00000 [03] ((IBS,TSI),EAS)           3808.88    -254.50   0.0000      3.12      0.92
   6  19 (((IBS,TSI.1),EAS),TSI.2)            0.80126 -                              1152.52   -2910.86   0.0000     26.52      0.50
   7  13 (((IBS.1,TSI),EAS),IBS.2)            0.69977 -                               879.12   -3184.26   0.0000     28.89      1.72
   8  10 (((EAS,IBS.1),IBS.2),TSI)            0.99966 [01] ((EAS,IBS),TSI)            498.83   -3564.55   0.0000     31.75      0.72
   9   4 (((EAS.1,IBS),EAS.2),TSI)            0.99993 [01] ((EAS,IBS),TSI)            496.40   -3566.98   0.0000     31.86      1.52
  10  11 (((EAS,IBS.1),TSI),IBS.2)            0.99976 [02] ((EAS,TSI),IBS)            494.78   -3568.61   0.0000     31.81      2.69
  11   9 ((EAS.1,IBS),(EAS.2,TSI))            0.00066 [02] ((EAS,TSI),IBS)            451.20   -3612.18   0.0000     32.01      3.95
  12  14 (((IBS.1,TSI),IBS.2),EAS)            0.03325 -                               287.91   -3775.47   0.0000     34.34      2.06
  13  20 (((IBS,TSI.1),TSI.2),EAS)            0.75009 -                               258.30   -3805.08   0.0000     34.15      1.16
  14   3 ((IBS,TSI),EAS)                            - -                               106.55   -3956.83   0.0000     36.25      1.99
  15  18 (((EAS,TSI.1),TSI.2),IBS)            0.99964 [02] ((EAS,TSI),IBS)             89.64   -3973.74   0.0000     35.34      2.29
  16   6 (((EAS.1,TSI),EAS.2),IBS)            0.99944 [02] ((EAS,TSI),IBS)             88.84   -3974.54   0.0000     35.39      2.34
  17  17 (((EAS,TSI.1),IBS),TSI.2)            0.99952 [01] ((EAS,IBS),TSI)             74.34   -3989.04   0.0000     35.31      3.89
  18  12 (((EAS,TSI),IBS.1),IBS.2)            0.26497 -                             -1026.17   -5089.55   0.0000     45.75      1.43
  19   1 ((EAS,IBS),TSI)                            - -                             -1360.58   -5423.96   0.0000     49.07      1.36
  20  16 (((EAS,IBS),TSI.1),TSI.2)            0.06249 -                             -1375.42   -5438.80   0.0000     48.64      1.06
  21   2 ((EAS,TSI),IBS)                            - -                             -1381.45   -5444.83   0.0000     49.30      0.86
