rank,index,newick,n_admix,admixture_fraction,closest_tree_index,closest_tree_newick,elbo,d_elbo,elbo_softmax_weight,elbo_se,ess,chi2_ibd_per_n,chi2_snp_per_n,mode,map_start,map_lp,n_map_success,n_pathfinder_modes,elbo_mode_range,seed,secs
1,5,"(((EAS.1,IBS),TSI),EAS.2)",1,0.99221696,3,"((IBS,TSI),EAS)",3994.517897,0.000000,1,0.077571,7.063,1.384374,1.939913,2,7,4112.496800,12,3,3.813994,20760905,38.5
2,8,"(((IBS,TSI),EAS.1),EAS.2)",1,0.80571653,,,3906.567130,-87.950768,6.3601438e-39,0.156227,6.622,3.133751,4.250013,1,0,4008.000100,12,3,37.370578,21060904,116.2
3,7,"(((EAS.1,TSI),IBS),EAS.2)",1,0.98690112,,,3813.585903,-180.931995,2.6438279e-79,0.121811,4.482,3.213384,3.509129,1,7,3911.910000,12,3,24.605596,20960904,106.9
4,15,"((EAS,IBS.1),(IBS.2,TSI))",1,0.00379043,3,"((IBS,TSI),EAS)",3098.233981,-896.283916,0,0.427516,9.356,9.780159,5.543410,2,4,3309.012700,12,3,57.135441,21760905,28.6
5,21,"((EAS,TSI.1),(IBS,TSI.2))",1,0.00099585,3,"((IBS,TSI),EAS)",2890.837957,-1103.679940,0,1.540947,2.432,11.425540,14.226381,1,2,3113.857200,12,3,123.775841,22360904,28.3
6,14,"(((IBS.1,TSI),IBS.2),EAS)",1,0.11719410,,,383.906547,-3610.611350,0,0.536582,6.481,34.247212,1.759959,1,11,524.530350,12,3,37.673445,21660904,26.8
7,20,"(((IBS,TSI.1),TSI.2),EAS)",1,0.85723335,,,285.761326,-3708.756571,0,0.222102,2.218,34.121145,7.664287,2,0,414.295990,12,3,41.183605,22260905,27.1
8,13,"(((IBS.1,TSI),EAS),IBS.2)",1,0.00227438,3,"((IBS,TSI),EAS)",-1093.855943,-5088.373841,0,0.502392,2.899,47.784911,5.433846,3,3,-944.564370,12,3,56.404717,21560906,27.1
9,3,"((IBS,TSI),EAS)",0,,,,-1104.614412,-5099.132309,0,0.518890,4.144,47.869839,9.733154,1,8,-981.648940,12,3,130.066174,20560904,21.7
10,19,"(((IBS,TSI.1),EAS),TSI.2)",1,0.00005765,3,"((IBS,TSI),EAS)",-1120.749726,-5115.267623,0,0.814170,6.555,47.837635,9.865167,3,0,-961.958790,12,3,46.440178,22160906,27.0
11,9,"((EAS.1,IBS),(EAS.2,TSI))",1,0.99949907,1,"((EAS,IBS),TSI)",-1455.812902,-5450.330799,0,1.067679,1.949,48.995196,9.612553,1,11,-1214.347400,12,3,34316.660617,21160904,123.8
12,10,"(((EAS,IBS.1),IBS.2),TSI)",1,0.99906450,1,"((EAS,IBS),TSI)",-35317.332899,-39311.850796,0,0.722006,3.139,35.267752,11833.275654,1,1,-35130.923000,12,3,465.714303,21260904,122.8
13,11,"(((EAS,IBS.1),TSI),IBS.2)",1,0.99979022,2,"((EAS,TSI),IBS)",-35320.761056,-39315.278953,0,1.743640,3.961,35.169697,11834.629227,1,2,-35134.618000,12,3,443.904628,21360904,113.0
14,4,"(((EAS.1,IBS),EAS.2),TSI)",1,0.99899098,1,"((EAS,IBS),TSI)",-35359.756370,-39354.274267,0,0.230263,1.592,290.843889,2358.249485,1,7,-35243.492000,12,3,919.861329,20660904,39.6
15,17,"(((EAS,TSI.1),IBS),TSI.2)",1,0.99900656,1,"((EAS,IBS),TSI)",-35481.349922,-39475.867819,0,0.161946,11.957,38.693146,11767.817588,1,3,-35383.305000,12,3,938.902820,21960904,28.1
16,18,"(((EAS,TSI.1),TSI.2),IBS)",1,0.99824694,2,"((EAS,TSI),IBS)",-35538.049040,-39532.566937,0,0.517168,1.027,39.337680,11756.211078,1,9,-35377.599000,12,3,249.464502,22060904,26.8
17,6,"(((EAS.1,TSI),EAS.2),IBS)",1,0.99988262,2,"((EAS,TSI),IBS)",-36501.948526,-40496.466424,0,0.209752,1.666,60.813752,11272.331766,1,7,-36393.126000,12,3,2625.979984,20860904,60.1
18,12,"(((EAS,TSI),IBS.1),IBS.2)",1,0.03479174,,,-37200.124890,-41194.642787,0,0.354410,2.847,46.153944,12067.617187,1,7,-37064.749000,12,3,12.963902,21460904,29.9
19,16,"(((EAS,IBS),TSI.1),TSI.2)",1,0.02941590,,,-37391.525239,-41386.043136,0,0.422072,3.398,48.937534,12019.301173,1,11,-37267.462000,12,3,209.524600,21860904,28.6
20,1,"((EAS,IBS),TSI)",0,,,,-40954.053202,-44948.571100,0,0.351284,13.540,49.515374,13211.480184,1,6,-40891.159000,12,2,5878.125129,20360904,10.1
21,2,"((EAS,TSI),IBS)",0,,,,-40977.961703,-44972.479600,0,0.292793,11.153,49.697298,13215.976706,1,11,-40924.577000,12,3,255572481.475924,20460904,10.9
