TOPOLOGY RANKING: Normal, shared Ne, grid | EAS/IBS/TSI

rank idx topology                                   f closest tree when boundary         ELBO      dELBO   ELBO-w    X2 IBD    X2 SNP
   1   5 (((EAS.1,IBS),TSI),EAS.2)            0.99222 [03] ((IBS,TSI),EAS)           3994.52       0.00   1.0000      1.38      1.94
   2   8 (((IBS,TSI),EAS.1),EAS.2)            0.80572 -                              3906.57     -87.95   0.0000      3.13      4.25
   3   7 (((EAS.1,TSI),IBS),EAS.2)            0.98690 -                              3813.59    -180.93   0.0000      3.21      3.51
   4  15 ((EAS,IBS.1),(IBS.2,TSI))            0.00379 [03] ((IBS,TSI),EAS)           3098.23    -896.28   0.0000      9.78      5.54
   5  21 ((EAS,TSI.1),(IBS,TSI.2))            0.00100 [03] ((IBS,TSI),EAS)           2890.84   -1103.68   0.0000     11.43     14.23
   6  14 (((IBS.1,TSI),IBS.2),EAS)            0.11719 -                               383.91   -3610.61   0.0000     34.25      1.76
   7  20 (((IBS,TSI.1),TSI.2),EAS)            0.85723 -                               285.76   -3708.76   0.0000     34.12      7.66
   8  13 (((IBS.1,TSI),EAS),IBS.2)            0.00227 [03] ((IBS,TSI),EAS)          -1093.86   -5088.37   0.0000     47.78      5.43
   9   3 ((IBS,TSI),EAS)                            - -                             -1104.61   -5099.13   0.0000     47.87      9.73
  10  19 (((IBS,TSI.1),EAS),TSI.2)            0.00006 [03] ((IBS,TSI),EAS)          -1120.75   -5115.27   0.0000     47.84      9.87
  11   9 ((EAS.1,IBS),(EAS.2,TSI))            0.99950 [01] ((EAS,IBS),TSI)          -1455.81   -5450.33   0.0000     49.00      9.61
  12  10 (((EAS,IBS.1),IBS.2),TSI)            0.99906 [01] ((EAS,IBS),TSI)         -35317.33  -39311.85   0.0000     35.27  11833.28
  13  11 (((EAS,IBS.1),TSI),IBS.2)            0.99979 [02] ((EAS,TSI),IBS)         -35320.76  -39315.28   0.0000     35.17  11834.63
  14   4 (((EAS.1,IBS),EAS.2),TSI)            0.99899 [01] ((EAS,IBS),TSI)         -35359.76  -39354.27   0.0000    290.84   2358.25
  15  17 (((EAS,TSI.1),IBS),TSI.2)            0.99901 [01] ((EAS,IBS),TSI)         -35481.35  -39475.87   0.0000     38.69  11767.82
  16  18 (((EAS,TSI.1),TSI.2),IBS)            0.99825 [02] ((EAS,TSI),IBS)         -35538.05  -39532.57   0.0000     39.34  11756.21
  17   6 (((EAS.1,TSI),EAS.2),IBS)            0.99988 [02] ((EAS,TSI),IBS)         -36501.95  -40496.47   0.0000     60.81  11272.33
  18  12 (((EAS,TSI),IBS.1),IBS.2)            0.03479 -                            -37200.12  -41194.64   0.0000     46.15  12067.62
  19  16 (((EAS,IBS),TSI.1),TSI.2)            0.02942 -                            -37391.53  -41386.04   0.0000     48.94  12019.30
  20   1 ((EAS,IBS),TSI)                            - -                            -40954.05  -44948.57   0.0000     49.52  13211.48
  21   2 ((EAS,TSI),IBS)                            - -                            -40977.96  -44972.48   0.0000     49.70  13215.98
