rank,index,newick,n_admix,admixture_fraction,closest_tree_index,closest_tree_newick,elbo,d_elbo,elbo_softmax_weight,elbo_se,ess,chi2_ibd_per_n,chi2_snp_per_n,mode,map_start,map_lp,n_map_success,n_pathfinder_modes,elbo_mode_range,seed,secs
1,15,"((EAS,IBS.1),(IBS.2,TSI))",1,0.00001296,3,"((IBS,TSI),EAS)",4112.247199,0.000000,1,0.172361,1.292,1.031085,1.412319,1,1,4236.585500,12,3,26.682884,21760904,25.6
2,5,"(((EAS.1,IBS),TSI),EAS.2)",1,0.99999994,3,"((IBS,TSI),EAS)",4069.928948,-42.318251,4.182317e-19,0.427594,7.499,1.191044,3.717261,1,6,4209.397800,12,3,84.749853,20760904,20.7
3,8,"(((IBS,TSI),EAS.1),EAS.2)",1,0.19661011,,,3820.576459,-291.670741,2.1330785e-127,0.340920,3.369,3.661285,1.538248,3,3,3955.628400,12,3,18.453521,21060906,21.3
4,7,"(((EAS.1,TSI),IBS),EAS.2)",1,0.99999907,3,"((IBS,TSI),EAS)",3817.772494,-294.474705,1.2919938e-128,0.180519,9.093,3.628048,0.693569,1,11,3939.190300,12,3,25.559551,20960904,21.5
5,21,"((EAS,TSI.1),(IBS,TSI.2))",1,0.00002531,3,"((IBS,TSI),EAS)",3808.053596,-304.193603,7.7695627e-133,0.318623,1.654,3.644172,1.311885,1,2,3943.080300,12,3,21.376876,22360904,21.9
6,19,"(((IBS,TSI.1),EAS),TSI.2)",1,0.80542290,,,924.636273,-3187.610926,0,0.317434,6.785,29.178084,2.355003,3,0,1074.111900,12,3,14.308992,22160906,25.5
7,13,"(((IBS.1,TSI),EAS),IBS.2)",1,0.70976231,,,687.016831,-3425.230368,0,0.326671,2.476,31.364606,2.083053,1,6,832.144800,12,3,50.556294,21560904,20.3
8,10,"(((EAS,IBS.1),IBS.2),TSI)",1,0.99949526,1,"((EAS,IBS),TSI)",550.745801,-3561.501398,0,0.114570,3.194,32.066995,0.760972,1,7,667.147030,12,3,41.203185,21260904,19.7
9,11,"(((EAS,IBS.1),TSI),IBS.2)",1,0.99972246,2,"((EAS,TSI),IBS)",539.447278,-3572.799921,0,0.154053,7.657,32.113549,0.840028,1,11,668.265300,12,3,1702.601139,21360904,22.0
10,9,"((EAS.1,IBS),(EAS.2,TSI))",1,0.00012787,2,"((EAS,TSI),IBS)",515.310922,-3596.936278,0,0.287403,3.629,32.133957,1.755100,2,11,639.876100,12,3,10.834705,21160905,20.8
11,4,"(((EAS.1,IBS),EAS.2),TSI)",1,0.99995041,1,"((EAS,IBS),TSI)",505.102164,-3607.145035,0,0.167405,1.127,32.180800,1.126331,1,6,636.828990,12,3,475.561851,20660904,18.9
12,18,"(((EAS,TSI.1),TSI.2),IBS)",1,0.99964061,2,"((EAS,TSI),IBS)",85.125710,-4027.121490,0,0.158696,1.015,36.040521,1.125343,1,7,206.382730,12,3,44.537214,22060904,25.4
13,17,"(((EAS,TSI.1),IBS),TSI.2)",1,0.99958250,1,"((EAS,IBS),TSI)",80.253249,-4031.993950,0,0.195380,1.886,36.089300,1.336604,1,6,207.505260,12,3,43.509906,21960904,26.7
14,6,"(((EAS.1,TSI),EAS.2),IBS)",1,0.99960883,2,"((EAS,TSI),IBS)",54.257657,-4057.989542,0,0.648610,4.442,36.249218,6.539071,1,6,197.695360,12,3,46.047241,20860904,19.9
15,20,"(((IBS,TSI.1),TSI.2),EAS)",1,0.99964443,3,"((IBS,TSI),EAS)",-10.445634,-4122.692833,0,0.336520,13.477,37.693537,0.523425,1,7,131.018910,12,3,70.127175,22260904,22.6
16,14,"(((IBS.1,TSI),IBS.2),EAS)",1,0.99890060,3,"((IBS,TSI),EAS)",-27.360103,-4139.607302,0,0.284597,1.362,37.793807,1.939846,2,7,131.396760,12,3,18.220383,21660905,21.9
17,3,"((IBS,TSI),EAS)",0,,,,-267.228272,-4379.475471,0,0.210926,5.285,40.254919,1.782685,1,2,-161.781000,12,3,6.378047,20560904,12.1
18,12,"(((EAS,TSI),IBS.1),IBS.2)",1,0.30561034,,,-1131.399535,-5243.646734,0,0.417149,6.108,47.258727,3.597305,1,11,-982.565140,12,3,43.292018,21460904,21.4
19,1,"((EAS,IBS),TSI)",0,,,,-1512.298107,-5624.545306,0,0.104323,9.501,51.144149,0.501374,1,6,-1454.513000,12,3,155.519358,20360904,11.4
20,16,"(((EAS,IBS),TSI.1),TSI.2)",1,0.30878557,,,-1526.527195,-5638.774394,0,0.508933,2.615,50.648473,0.977717,2,6,-1381.331100,12,3,21.586207,21860905,25.4
21,2,"((EAS,TSI),IBS)",0,,,,-1545.833478,-5658.080677,0,0.115325,4.007,51.443004,0.716577,1,8,-1486.434600,12,3,2396684.948793,20460904,11.5
