TOPOLOGY RANKING: Normal, separate Ne | EAS/IBS/TSI

rank idx topology                                   f closest tree when boundary         ELBO      dELBO   ELBO-w    X2 IBD    X2 SNP
   1  15 ((EAS,IBS.1),(IBS.2,TSI))            0.00001 [03] ((IBS,TSI),EAS)           4112.25       0.00   1.0000      1.03      1.41
   2   5 (((EAS.1,IBS),TSI),EAS.2)            1.00000 [03] ((IBS,TSI),EAS)           4069.93     -42.32   0.0000      1.19      3.72
   3   8 (((IBS,TSI),EAS.1),EAS.2)            0.19661 -                              3820.58    -291.67   0.0000      3.66      1.54
   4   7 (((EAS.1,TSI),IBS),EAS.2)            1.00000 [03] ((IBS,TSI),EAS)           3817.77    -294.47   0.0000      3.63      0.69
   5  21 ((EAS,TSI.1),(IBS,TSI.2))            0.00003 [03] ((IBS,TSI),EAS)           3808.05    -304.19   0.0000      3.64      1.31
   6  19 (((IBS,TSI.1),EAS),TSI.2)            0.80542 -                               924.64   -3187.61   0.0000     29.18      2.36
   7  13 (((IBS.1,TSI),EAS),IBS.2)            0.70976 -                               687.02   -3425.23   0.0000     31.36      2.08
   8  10 (((EAS,IBS.1),IBS.2),TSI)            0.99950 [01] ((EAS,IBS),TSI)            550.75   -3561.50   0.0000     32.07      0.76
   9  11 (((EAS,IBS.1),TSI),IBS.2)            0.99972 [02] ((EAS,TSI),IBS)            539.45   -3572.80   0.0000     32.11      0.84
  10   9 ((EAS.1,IBS),(EAS.2,TSI))            0.00013 [02] ((EAS,TSI),IBS)            515.31   -3596.94   0.0000     32.13      1.76
  11   4 (((EAS.1,IBS),EAS.2),TSI)            0.99995 [01] ((EAS,IBS),TSI)            505.10   -3607.15   0.0000     32.18      1.13
  12  18 (((EAS,TSI.1),TSI.2),IBS)            0.99964 [02] ((EAS,TSI),IBS)             85.13   -4027.12   0.0000     36.04      1.13
  13  17 (((EAS,TSI.1),IBS),TSI.2)            0.99958 [01] ((EAS,IBS),TSI)             80.25   -4031.99   0.0000     36.09      1.34
  14   6 (((EAS.1,TSI),EAS.2),IBS)            0.99961 [02] ((EAS,TSI),IBS)             54.26   -4057.99   0.0000     36.25      6.54
  15  20 (((IBS,TSI.1),TSI.2),EAS)            0.99964 [03] ((IBS,TSI),EAS)            -10.45   -4122.69   0.0000     37.69      0.52
  16  14 (((IBS.1,TSI),IBS.2),EAS)            0.99890 [03] ((IBS,TSI),EAS)            -27.36   -4139.61   0.0000     37.79      1.94
  17   3 ((IBS,TSI),EAS)                            - -                              -267.23   -4379.48   0.0000     40.25      1.78
  18  12 (((EAS,TSI),IBS.1),IBS.2)            0.30561 -                             -1131.40   -5243.65   0.0000     47.26      3.60
  19   1 ((EAS,IBS),TSI)                            - -                             -1512.30   -5624.55   0.0000     51.14      0.50
  20  16 (((EAS,IBS),TSI.1),TSI.2)            0.30879 -                             -1526.53   -5638.77   0.0000     50.65      0.98
  21   2 ((EAS,TSI),IBS)                            - -                             -1545.83   -5658.08   0.0000     51.44      0.72
