rank,index,newick,n_admix,admixture_fraction,closest_tree_index,closest_tree_newick,elbo,d_elbo,elbo_softmax_weight,elbo_se,ess,chi2_ibd_per_n,chi2_snp_per_n,mode,map_start,map_lp,n_map_success,n_pathfinder_modes,elbo_mode_range,seed,secs
1,5,"(((EAS.1,IBS),TSI),EAS.2)",1,0.99250921,3,"((IBS,TSI),EAS)",4023.156665,0.000000,1,0.128936,20.501,1.478243,2.437056,1,6,4093.314800,12,3,236.423804,20760904,19.3
2,8,"(((IBS,TSI),EAS.1),EAS.2)",1,0.83205256,,,3876.472426,-146.684239,1.9762613e-64,0.215242,3.701,3.634056,3.967348,1,6,3956.572900,12,3,112.262524,21060904,19.7
3,7,"(((EAS.1,TSI),IBS),EAS.2)",1,0.98718660,,,3777.844738,-245.311927,2.8999043e-107,0.293415,1.475,3.783157,4.168708,1,3,3860.277500,12,3,3448.812145,20960904,19.4
4,15,"((EAS,IBS.1),(IBS.2,TSI))",1,0.00622289,3,"((IBS,TSI),EAS)",3079.622173,-943.534492,0,0.490878,1.097,10.204460,5.752254,2,2,3209.756800,12,3,123.199025,21760905,21.0
5,21,"((EAS,TSI.1),(IBS,TSI.2))",1,0.00048892,3,"((IBS,TSI),EAS)",2826.006292,-1197.150373,0,0.634753,7.297,12.413460,8.019717,3,3,2966.622200,12,3,71.795577,22360906,19.9
6,14,"(((IBS.1,TSI),IBS.2),EAS)",1,0.14123861,,,45.613717,-3977.542948,0,0.154625,2.467,37.632728,1.534570,1,3,136.707120,12,3,34.483584,21660904,19.3
7,20,"(((IBS,TSI.1),TSI.2),EAS)",1,0.85992191,,,-32.856575,-4056.013240,0,0.077937,8.582,37.658741,7.868056,1,6,65.979086,12,3,32.907937,22260904,18.5
8,3,"((IBS,TSI),EAS)",0,,,,-1563.135970,-5586.292635,0,0.215115,20.736,52.826503,4.989155,1,3,-1532.677600,12,3,24.527103,20560904,9.5
9,13,"(((IBS.1,TSI),EAS),IBS.2)",1,0.00257256,3,"((IBS,TSI),EAS)",-1584.727394,-5607.884060,0,0.760752,11.580,52.344497,11.715332,1,1,-1440.325000,12,3,142.715445,21560904,20.0
10,19,"(((IBS,TSI.1),EAS),TSI.2)",1,0.00142041,3,"((IBS,TSI),EAS)",-1607.060724,-5630.217389,0,0.135502,1.332,52.780682,4.654484,1,3,-1460.774100,12,3,130.527601,22160904,18.7
11,10,"(((EAS,IBS.1),IBS.2),TSI)",1,0.98243670,,,-35332.411652,-39355.568317,0,0.199209,12.199,36.133705,11814.856489,1,2,-35190.297000,12,3,498.786986,21260904,17.9
12,11,"(((EAS,IBS.1),TSI),IBS.2)",1,0.97773260,,,-35440.670154,-39463.826820,0,0.408982,1.272,34.713548,11880.584397,1,2,-35228.258000,12,3,1932.578279,21360904,19.6
13,6,"(((EAS.1,TSI),EAS.2),IBS)",1,0.99782315,2,"((EAS,TSI),IBS)",-35473.556449,-39496.713115,0,0.081813,2.449,294.287224,2291.612534,1,11,-35396.205000,12,3,1123.983077,20860904,18.4
14,18,"(((EAS,TSI.1),TSI.2),IBS)",1,0.99911167,2,"((EAS,TSI),IBS)",-35723.802492,-39746.959157,0,1.134935,2.510,40.897608,11734.391622,1,2,-35490.039000,12,3,807.634661,22060904,18.6
15,9,"((EAS.1,IBS),(EAS.2,TSI))",1,0.00000018,2,"((EAS,TSI),IBS)",-35813.929716,-39837.086381,0,0.380237,1.969,49.751532,11458.769949,2,11,-35723.637000,12,3,856.635862,21160905,19.1
16,4,"(((EAS.1,IBS),EAS.2),TSI)",1,0.99996853,1,"((EAS,IBS),TSI)",-35834.701228,-39857.857893,0,0.050792,2.008,49.771425,11469.013306,3,7,-35772.547000,12,3,24.256338,20660906,13.6
17,17,"(((EAS,TSI.1),IBS),TSI.2)",1,0.99996143,1,"((EAS,IBS),TSI)",-36498.394227,-40521.550893,0,0.153198,2.883,63.771344,11171.129890,3,6,-36427.569000,12,3,1792.000219,21960906,20.5
18,12,"(((EAS,TSI),IBS.1),IBS.2)",1,0.07652024,,,-37370.933626,-41394.090291,0,0.120508,5.596,47.714480,12068.239714,1,11,-37225.387000,12,3,457.660101,21460904,19.8
19,16,"(((EAS,IBS),TSI.1),TSI.2)",1,0.04094623,,,-37557.961858,-41581.118523,0,0.127576,1.491,50.895723,12019.479380,1,11,-37477.122000,12,3,945.692404,21860904,20.3
20,1,"((EAS,IBS),TSI)",0,,,,-41110.711963,-45133.868629,0,0.073734,28.142,51.481054,13204.533390,3,11,-41098.698000,12,3,3.013865,20360906,7.7
21,2,"((EAS,TSI),IBS)",0,,,,-41152.998527,-45176.155192,0,0.107598,3.559,51.772954,13209.713312,2,2,-41139.923000,12,3,59.669277,20460905,5.0
