TOPOLOGY RANKING: Normal, shared Ne | EAS/IBS/TSI

rank idx topology                                   f closest tree when boundary         ELBO      dELBO   ELBO-w    X2 IBD    X2 SNP
   1   5 (((EAS.1,IBS),TSI),EAS.2)            0.99251 [03] ((IBS,TSI),EAS)           4023.16       0.00   1.0000      1.48      2.44
   2   8 (((IBS,TSI),EAS.1),EAS.2)            0.83205 -                              3876.47    -146.68   0.0000      3.63      3.97
   3   7 (((EAS.1,TSI),IBS),EAS.2)            0.98719 -                              3777.84    -245.31   0.0000      3.78      4.17
   4  15 ((EAS,IBS.1),(IBS.2,TSI))            0.00622 [03] ((IBS,TSI),EAS)           3079.62    -943.53   0.0000     10.20      5.75
   5  21 ((EAS,TSI.1),(IBS,TSI.2))            0.00049 [03] ((IBS,TSI),EAS)           2826.01   -1197.15   0.0000     12.41      8.02
   6  14 (((IBS.1,TSI),IBS.2),EAS)            0.14124 -                                45.61   -3977.54   0.0000     37.63      1.53
   7  20 (((IBS,TSI.1),TSI.2),EAS)            0.85992 -                               -32.86   -4056.01   0.0000     37.66      7.87
   8   3 ((IBS,TSI),EAS)                            - -                             -1563.14   -5586.29   0.0000     52.83      4.99
   9  13 (((IBS.1,TSI),EAS),IBS.2)            0.00257 [03] ((IBS,TSI),EAS)          -1584.73   -5607.88   0.0000     52.34     11.72
  10  19 (((IBS,TSI.1),EAS),TSI.2)            0.00142 [03] ((IBS,TSI),EAS)          -1607.06   -5630.22   0.0000     52.78      4.65
  11  10 (((EAS,IBS.1),IBS.2),TSI)            0.98244 -                            -35332.41  -39355.57   0.0000     36.13  11814.86
  12  11 (((EAS,IBS.1),TSI),IBS.2)            0.97773 -                            -35440.67  -39463.83   0.0000     34.71  11880.58
  13   6 (((EAS.1,TSI),EAS.2),IBS)            0.99782 [02] ((EAS,TSI),IBS)         -35473.56  -39496.71   0.0000    294.29   2291.61
  14  18 (((EAS,TSI.1),TSI.2),IBS)            0.99911 [02] ((EAS,TSI),IBS)         -35723.80  -39746.96   0.0000     40.90  11734.39
  15   9 ((EAS.1,IBS),(EAS.2,TSI))            0.00000 [02] ((EAS,TSI),IBS)         -35813.93  -39837.09   0.0000     49.75  11458.77
  16   4 (((EAS.1,IBS),EAS.2),TSI)            0.99997 [01] ((EAS,IBS),TSI)         -35834.70  -39857.86   0.0000     49.77  11469.01
  17  17 (((EAS,TSI.1),IBS),TSI.2)            0.99996 [01] ((EAS,IBS),TSI)         -36498.39  -40521.55   0.0000     63.77  11171.13
  18  12 (((EAS,TSI),IBS.1),IBS.2)            0.07652 -                            -37370.93  -41394.09   0.0000     47.71  12068.24
  19  16 (((EAS,IBS),TSI.1),TSI.2)            0.04095 -                            -37557.96  -41581.12   0.0000     50.90  12019.48
  20   1 ((EAS,IBS),TSI)                            - -                            -41110.71  -45133.87   0.0000     51.48  13204.53
  21   2 ((EAS,TSI),IBS)                            - -                            -41153.00  -45176.16   0.0000     51.77  13209.71
