rank,index,newick,n_admix,admixture_fraction,closest_tree_index,closest_tree_newick,elbo,d_elbo,elbo_softmax_weight,elbo_se,ess,chi2_ibd_per_n,chi2_snp_per_n,mode,map_start,map_lp,n_map_success,n_pathfinder_modes,elbo_mode_range,seed,secs
1,15,"((EAS,IBS.1),(IBS.2,TSI))",1,0.00564789,3,"((IBS,TSI),EAS)",-549.432187,0.000000,0.99999896,0.436895,2.903,1.090882,2.130814,1,3,-356.566200,12,3,148.754209,21760904,25.3
2,5,"(((EAS.1,IBS),TSI),EAS.2)",1,0.99840436,3,"((IBS,TSI),EAS)",-563.208343,-13.776156,1.0401381e-06,0.303058,1.945,1.045542,2.033047,1,11,-382.488050,12,3,120.547046,20760904,27.5
3,8,"(((IBS,TSI),EAS.1),EAS.2)",1,0.88972891,,,-801.084711,-251.652524,5.1132486e-110,0.418487,9.557,3.420336,4.013554,2,11,-628.213210,12,3,23.032760,21060905,26.5
4,21,"((EAS,TSI.1),(IBS,TSI.2))",1,0.00068616,3,"((IBS,TSI),EAS)",-812.565925,-263.133738,5.2779947e-115,0.223306,1.273,3.405061,2.666319,2,8,-635.573990,12,3,44.611087,22360905,25.3
5,7,"(((EAS.1,TSI),IBS),EAS.2)",1,0.99822709,3,"((IBS,TSI),EAS)",-815.241149,-265.808963,3.6360836e-116,0.264507,1.010,3.438075,2.544554,1,6,-637.976130,12,3,27.345648,20960904,26.0
6,11,"(((EAS,IBS.1),TSI),IBS.2)",1,0.99985548,2,"((EAS,TSI),IBS)",-3704.284044,-3154.851857,0,0.228410,5.119,71.086613,1.970894,1,4,-3532.275800,12,3,57.156233,21360904,26.2
7,10,"(((EAS,IBS.1),IBS.2),TSI)",1,0.99985531,1,"((EAS,IBS),TSI)",-3720.372186,-3170.939999,0,0.457335,1.035,70.108237,3.813283,1,6,-3531.719300,12,3,132.636528,21260904,24.2
8,4,"(((EAS.1,IBS),EAS.2),TSI)",1,0.99995116,1,"((EAS,IBS),TSI)",-3752.509679,-3203.077492,0,0.347445,1.979,73.131706,1.830631,2,6,-3561.759200,12,3,510.882910,20660905,25.6
9,9,"((EAS.1,IBS),(EAS.2,TSI))",1,0.00006685,2,"((EAS,TSI),IBS)",-3760.592201,-3211.160015,0,0.382952,1.239,68.410576,1.416133,1,2,-3561.571700,12,3,29.634835,21160904,25.4
10,18,"(((EAS,TSI.1),TSI.2),IBS)",1,0.99980556,2,"((EAS,TSI),IBS)",-4212.649743,-3663.217556,0,0.373048,1.379,81.493131,2.195008,1,6,-4020.667200,12,3,48.582550,22060904,24.5
11,17,"(((EAS,TSI.1),IBS),TSI.2)",1,0.99985696,1,"((EAS,IBS),TSI)",-4231.968764,-3682.536577,0,0.824025,1.001,80.057102,5.379807,1,7,-4020.023100,12,3,20.018913,21960904,26.4
12,6,"(((EAS.1,TSI),EAS.2),IBS)",1,0.99965510,2,"((EAS,TSI),IBS)",-4234.106741,-3684.674554,0,1.055538,7.334,78.955317,5.400584,1,5,-4022.142700,12,3,62.606718,20860904,24.5
13,19,"(((IBS,TSI.1),EAS),TSI.2)",1,0.79633100,,,-4421.940484,-3872.508297,0,0.127676,2.542,29.462670,1.044318,1,11,-4208.052700,12,3,102.773036,22160904,26.5
14,13,"(((IBS.1,TSI),EAS),IBS.2)",1,0.64925316,,,-4716.202011,-4166.769824,0,0.264387,2.933,32.861932,1.602829,1,4,-4502.349900,12,3,264.148621,21560904,25.7
15,14,"(((IBS.1,TSI),IBS.2),EAS)",1,0.05086222,,,-4962.765892,-4413.333705,0,0.461667,1.624,38.506994,2.802496,1,3,-4759.928400,12,3,38.463985,21660904,24.2
16,20,"(((IBS,TSI.1),TSI.2),EAS)",1,0.98793389,,,-4965.929780,-4416.497593,0,0.353130,6.229,38.552454,2.859626,2,6,-4767.297500,12,3,47.161429,22260905,24.8
17,3,"((IBS,TSI),EAS)",0,,,,-5181.599719,-4632.167532,0,0.277793,2.362,41.071276,2.869088,1,7,-5029.354900,12,3,18.066674,20560904,16.4
18,12,"(((EAS,TSI),IBS.1),IBS.2)",1,0.32093783,,,-6839.659000,-6290.226813,0,0.384010,1.666,298.051347,1.378229,1,4,-6628.451200,12,3,40.255168,21460904,26.0
19,1,"((EAS,IBS),TSI)",0,,,,-7241.717604,-6692.285417,0,0.455952,8.448,397.797779,0.728369,1,11,-7093.700200,12,3,27.383351,20360904,17.0
20,16,"(((EAS,IBS),TSI.1),TSI.2)",1,0.39845738,,,-7261.199082,-6711.766895,0,0.238232,1.275,269.848843,1.279119,1,11,-7028.400100,12,3,33.311968,21860904,27.1
21,2,"((EAS,TSI),IBS)",0,,,,-7289.855373,-6740.423186,0,0.513662,3.663,340.463887,4.319740,1,2,-7139.949600,12,3,73.468877,20460904,16.4
