TOPOLOGY RANKING: Poisson, separate Ne, grid | EAS/IBS/TSI

rank idx topology                                   f closest tree when boundary         ELBO      dELBO   ELBO-w    X2 IBD    X2 SNP
   1  15 ((EAS,IBS.1),(IBS.2,TSI))            0.00565 [03] ((IBS,TSI),EAS)           -549.43       0.00   1.0000      1.09      2.13
   2   5 (((EAS.1,IBS),TSI),EAS.2)            0.99840 [03] ((IBS,TSI),EAS)           -563.21     -13.78   0.0000      1.05      2.03
   3   8 (((IBS,TSI),EAS.1),EAS.2)            0.88973 -                              -801.08    -251.65   0.0000      3.42      4.01
   4  21 ((EAS,TSI.1),(IBS,TSI.2))            0.00069 [03] ((IBS,TSI),EAS)           -812.57    -263.13   0.0000      3.41      2.67
   5   7 (((EAS.1,TSI),IBS),EAS.2)            0.99823 [03] ((IBS,TSI),EAS)           -815.24    -265.81   0.0000      3.44      2.54
   6  11 (((EAS,IBS.1),TSI),IBS.2)            0.99986 [02] ((EAS,TSI),IBS)          -3704.28   -3154.85   0.0000     71.09      1.97
   7  10 (((EAS,IBS.1),IBS.2),TSI)            0.99986 [01] ((EAS,IBS),TSI)          -3720.37   -3170.94   0.0000     70.11      3.81
   8   4 (((EAS.1,IBS),EAS.2),TSI)            0.99995 [01] ((EAS,IBS),TSI)          -3752.51   -3203.08   0.0000     73.13      1.83
   9   9 ((EAS.1,IBS),(EAS.2,TSI))            0.00007 [02] ((EAS,TSI),IBS)          -3760.59   -3211.16   0.0000     68.41      1.42
  10  18 (((EAS,TSI.1),TSI.2),IBS)            0.99981 [02] ((EAS,TSI),IBS)          -4212.65   -3663.22   0.0000     81.49      2.20
  11  17 (((EAS,TSI.1),IBS),TSI.2)            0.99986 [01] ((EAS,IBS),TSI)          -4231.97   -3682.54   0.0000     80.06      5.38
  12   6 (((EAS.1,TSI),EAS.2),IBS)            0.99966 [02] ((EAS,TSI),IBS)          -4234.11   -3684.67   0.0000     78.96      5.40
  13  19 (((IBS,TSI.1),EAS),TSI.2)            0.79633 -                             -4421.94   -3872.51   0.0000     29.46      1.04
  14  13 (((IBS.1,TSI),EAS),IBS.2)            0.64925 -                             -4716.20   -4166.77   0.0000     32.86      1.60
  15  14 (((IBS.1,TSI),IBS.2),EAS)            0.05086 -                             -4962.77   -4413.33   0.0000     38.51      2.80
  16  20 (((IBS,TSI.1),TSI.2),EAS)            0.98793 -                             -4965.93   -4416.50   0.0000     38.55      2.86
  17   3 ((IBS,TSI),EAS)                            - -                             -5181.60   -4632.17   0.0000     41.07      2.87
  18  12 (((EAS,TSI),IBS.1),IBS.2)            0.32094 -                             -6839.66   -6290.23   0.0000    298.05      1.38
  19   1 ((EAS,IBS),TSI)                            - -                             -7241.72   -6692.29   0.0000    397.80      0.73
  20  16 (((EAS,IBS),TSI.1),TSI.2)            0.39846 -                             -7261.20   -6711.77   0.0000    269.85      1.28
  21   2 ((EAS,TSI),IBS)                            - -                             -7289.86   -6740.42   0.0000    340.46      4.32
