rank,index,newick,n_admix,admixture_fraction,closest_tree_index,closest_tree_newick,elbo,d_elbo,elbo_softmax_weight,elbo_se,ess,chi2_ibd_per_n,chi2_snp_per_n,mode,map_start,map_lp,n_map_success,n_pathfinder_modes,elbo_mode_range,seed,secs
1,5,"(((EAS.1,IBS),TSI),EAS.2)",1,0.99262091,3,"((IBS,TSI),EAS)",-540.727622,0.000000,1,0.191668,14.661,1.527911,2.940119,1,7,-432.047790,12,3,44.889928,20760904,26.3
2,15,"((EAS,IBS.1),(IBS.2,TSI))",1,0.00000505,3,"((IBS,TSI),EAS)",-737.489287,-196.761665,3.5277241e-86,0.711184,6.083,73.885042,2.240343,1,3,-530.898710,12,3,90.439794,21760904,27.2
3,8,"(((IBS,TSI),EAS.1),EAS.2)",1,0.04010681,,,-753.706959,-212.979338,3.1933673e-93,0.159515,3.822,3.501148,4.950813,1,9,-633.090850,12,3,18.911020,21060904,27.9
4,7,"(((EAS.1,TSI),IBS),EAS.2)",1,0.98676845,,,-777.393178,-236.665557,1.6498887e-103,0.136881,23.945,3.559192,3.319035,1,6,-665.963730,12,3,37.966067,20960904,27.6
5,21,"((EAS,TSI.1),(IBS,TSI.2))",1,0.00082660,3,"((IBS,TSI),EAS)",-882.690787,-341.963165,3.0710329e-149,0.362705,5.801,39.776886,4.613933,1,2,-740.621660,12,3,118.629947,22360904,31.1
6,11,"(((EAS,IBS.1),TSI),IBS.2)",1,0.99993480,2,"((EAS,TSI),IBS)",-4354.577419,-3813.849797,0,0.234825,2.843,22052.510547,10.886014,2,8,-4215.394400,12,3,491.861710,21360905,26.4
7,9,"((EAS.1,IBS),(EAS.2,TSI))",1,0.96718863,,,-4409.015389,-3868.287767,0,3.182526,7.403,527.295698,14.734845,1,4,-4102.178800,12,3,423.254241,21160904,28.3
8,6,"(((EAS.1,TSI),EAS.2),IBS)",1,0.00838135,2,"((EAS,TSI),IBS)",-4441.004625,-3900.277003,0,1.944439,1.636,880.853428,16.087640,1,11,-4141.972000,12,3,404.168165,20860904,26.1
9,10,"(((EAS,IBS.1),IBS.2),TSI)",1,0.99996835,1,"((EAS,IBS),TSI)",-4502.115908,-3961.388287,0,3.284866,1.117,19805.479376,25.084519,1,8,-4224.980000,12,3,467.688891,21260904,25.3
10,17,"(((EAS,TSI.1),IBS),TSI.2)",1,0.99967227,1,"((EAS,IBS),TSI)",-4789.443331,-4248.715709,0,0.329008,1.182,23093.297162,3.617962,1,6,-4653.876600,12,3,87.172634,21960904,32.1
11,4,"(((EAS.1,IBS),EAS.2),TSI)",1,0.99149164,1,"((EAS,IBS),TSI)",-4813.322072,-4272.594450,0,0.377766,1.811,22003.841357,2.541052,3,7,-4701.181000,12,3,19.580443,20660906,24.7
12,18,"(((EAS,TSI.1),TSI.2),IBS)",1,0.99979406,2,"((EAS,TSI),IBS)",-4815.812218,-4275.084597,0,0.291848,3.438,22005.948105,2.349267,3,7,-4707.953000,12,3,43.840265,22060906,29.4
13,14,"(((IBS.1,TSI),IBS.2),EAS)",1,0.02520670,,,-4907.880479,-4367.152857,0,0.632930,1.208,38.619894,2.741961,1,3,-4773.042500,12,3,35.747560,21660904,26.5
14,20,"(((IBS,TSI.1),TSI.2),EAS)",1,0.90079804,,,-4925.721494,-4384.993873,0,0.590374,3.453,38.607479,4.546951,1,3,-4778.711600,12,3,201.814767,22260904,28.4
15,13,"(((IBS.1,TSI),EAS),IBS.2)",1,0.00000008,3,"((IBS,TSI),EAS)",-5094.035036,-4553.307414,0,0.440087,3.135,156.017461,3.612467,1,2,-4970.182300,12,3,329.631386,21560904,29.4
16,3,"((IBS,TSI),EAS)",0,,,,-5239.147217,-4698.419595,0,0.600884,1.786,110.606442,6.526715,2,11,-5145.431900,12,3,266.562239,20560905,16.7
17,19,"(((IBS,TSI.1),EAS),TSI.2)",1,0.00850207,3,"((IBS,TSI),EAS)",-5247.611716,-4706.884094,0,0.256826,1.184,80.543553,3.607352,1,9,-5099.235300,12,3,62.875298,22160904,30.5
18,12,"(((EAS,TSI),IBS.1),IBS.2)",1,0.00230548,2,"((EAS,TSI),IBS)",-42858.776302,-42318.048680,0,0.151993,5.728,4982.916725,12025.630389,3,1,-42756.344000,12,3,67.127075,21460906,29.7
19,16,"(((EAS,IBS),TSI.1),TSI.2)",1,0.00421013,1,"((EAS,IBS),TSI)",-43130.413439,-42589.685817,0,0.604740,5.980,829.684477,11988.718151,3,1,-42993.395000,12,3,73.474192,21860906,29.7
20,1,"((EAS,IBS),TSI)",0,,,,-43210.026362,-42669.298740,0,0.985600,11.009,8381.467246,11977.917478,2,6,-43077.021000,12,3,7.064351,20360905,16.5
21,2,"((EAS,TSI),IBS)",0,,,,-43401.115543,-42860.387921,0,0.916711,5.408,12239.840920,12029.792305,1,9,-43282.757000,12,3,6.688662,20460904,15.0
