TOPOLOGY RANKING: Poisson, shared Ne, grid | EAS/IBS/TSI

rank idx topology                                   f closest tree when boundary         ELBO      dELBO   ELBO-w    X2 IBD    X2 SNP
   1   5 (((EAS.1,IBS),TSI),EAS.2)            0.99262 [03] ((IBS,TSI),EAS)           -540.73       0.00   1.0000      1.53      2.94
   2  15 ((EAS,IBS.1),(IBS.2,TSI))            0.00001 [03] ((IBS,TSI),EAS)           -737.49    -196.76   0.0000     73.89      2.24
   3   8 (((IBS,TSI),EAS.1),EAS.2)            0.04011 -                              -753.71    -212.98   0.0000      3.50      4.95
   4   7 (((EAS.1,TSI),IBS),EAS.2)            0.98677 -                              -777.39    -236.67   0.0000      3.56      3.32
   5  21 ((EAS,TSI.1),(IBS,TSI.2))            0.00083 [03] ((IBS,TSI),EAS)           -882.69    -341.96   0.0000     39.78      4.61
   6  11 (((EAS,IBS.1),TSI),IBS.2)            0.99993 [02] ((EAS,TSI),IBS)          -4354.58   -3813.85   0.0000  22052.51     10.89
   7   9 ((EAS.1,IBS),(EAS.2,TSI))            0.96719 -                             -4409.02   -3868.29   0.0000    527.30     14.73
   8   6 (((EAS.1,TSI),EAS.2),IBS)            0.00838 [02] ((EAS,TSI),IBS)          -4441.00   -3900.28   0.0000    880.85     16.09
   9  10 (((EAS,IBS.1),IBS.2),TSI)            0.99997 [01] ((EAS,IBS),TSI)          -4502.12   -3961.39   0.0000  19805.48     25.08
  10  17 (((EAS,TSI.1),IBS),TSI.2)            0.99967 [01] ((EAS,IBS),TSI)          -4789.44   -4248.72   0.0000  23093.30      3.62
  11   4 (((EAS.1,IBS),EAS.2),TSI)            0.99149 [01] ((EAS,IBS),TSI)          -4813.32   -4272.59   0.0000  22003.84      2.54
  12  18 (((EAS,TSI.1),TSI.2),IBS)            0.99979 [02] ((EAS,TSI),IBS)          -4815.81   -4275.08   0.0000  22005.95      2.35
  13  14 (((IBS.1,TSI),IBS.2),EAS)            0.02521 -                             -4907.88   -4367.15   0.0000     38.62      2.74
  14  20 (((IBS,TSI.1),TSI.2),EAS)            0.90080 -                             -4925.72   -4384.99   0.0000     38.61      4.55
  15  13 (((IBS.1,TSI),EAS),IBS.2)            0.00000 [03] ((IBS,TSI),EAS)          -5094.04   -4553.31   0.0000    156.02      3.61
  16   3 ((IBS,TSI),EAS)                            - -                             -5239.15   -4698.42   0.0000    110.61      6.53
  17  19 (((IBS,TSI.1),EAS),TSI.2)            0.00850 [03] ((IBS,TSI),EAS)          -5247.61   -4706.88   0.0000     80.54      3.61
  18  12 (((EAS,TSI),IBS.1),IBS.2)            0.00231 [02] ((EAS,TSI),IBS)         -42858.78  -42318.05   0.0000   4982.92  12025.63
  19  16 (((EAS,IBS),TSI.1),TSI.2)            0.00421 [01] ((EAS,IBS),TSI)         -43130.41  -42589.69   0.0000    829.68  11988.72
  20   1 ((EAS,IBS),TSI)                            - -                            -43210.03  -42669.30   0.0000   8381.47  11977.92
  21   2 ((EAS,TSI),IBS)                            - -                            -43401.12  -42860.39   0.0000  12239.84  12029.79
