rank,index,newick,n_admix,admixture_fraction,closest_tree_index,closest_tree_newick,elbo,d_elbo,elbo_softmax_weight,elbo_se,ess,chi2_ibd_per_n,chi2_snp_per_n,mode,map_start,map_lp,n_map_success,n_pathfinder_modes,elbo_mode_range,seed,secs
1,15,"((EAS,IBS.1),(IBS.2,TSI))",1,0.00548011,3,"((IBS,TSI),EAS)",-499.803793,0.000000,1,0.262777,4.957,1.113467,1.564544,1,2,-369.042450,12,3,384.813020,21760904,19.0
2,5,"(((EAS.1,IBS),TSI),EAS.2)",1,0.99850853,3,"((IBS,TSI),EAS)",-529.323884,-29.520090,1.5121248e-13,0.286623,2.434,1.182670,2.128844,2,6,-403.726850,12,3,95.836221,20760905,19.0
3,8,"(((IBS,TSI),EAS.1),EAS.2)",1,0.04199272,,,-822.355332,-322.551538,8.2726909e-141,0.333801,4.175,3.981054,1.612049,2,2,-692.640170,12,3,27.635478,21060905,19.1
4,7,"(((EAS.1,TSI),IBS),EAS.2)",1,0.99638756,3,"((IBS,TSI),EAS)",-827.959036,-328.155242,3.0478183e-143,0.197064,1.872,3.935966,1.392558,1,11,-700.752410,12,3,29.249393,20960904,19.0
5,21,"((EAS,TSI.1),(IBS,TSI.2))",1,0.00074772,3,"((IBS,TSI),EAS)",-829.985896,-330.182102,4.015456e-144,0.294711,6.619,3.993439,1.404861,2,3,-698.525480,12,3,6.773103,22360905,18.7
6,11,"(((EAS,IBS.1),TSI),IBS.2)",1,0.99986131,2,"((EAS,TSI),IBS)",-3687.560164,-3187.756370,0,0.194960,7.090,72.174840,1.355211,1,6,-3565.915000,12,3,66.123551,21360904,19.4
7,10,"(((EAS,IBS.1),IBS.2),TSI)",1,0.99969079,1,"((EAS,IBS),TSI)",-3721.147552,-3221.343759,0,0.613472,2.162,71.616329,3.285980,1,7,-3565.107100,12,3,72.346034,21260904,18.6
8,9,"((EAS.1,IBS),(EAS.2,TSI))",1,0.00000416,2,"((EAS,TSI),IBS)",-3725.649015,-3225.845222,0,0.309645,5.756,73.196251,2.056254,2,2,-3599.083700,12,3,7.650028,21160905,18.8
9,4,"(((EAS.1,IBS),EAS.2),TSI)",1,0.99997566,1,"((EAS,IBS),TSI)",-3733.255423,-3233.451630,0,0.468290,1.033,70.614635,2.614633,1,5,-3598.072200,12,3,154.132964,20660904,18.2
10,17,"(((EAS,TSI.1),IBS),TSI.2)",1,0.99982876,1,"((EAS,IBS),TSI)",-4245.149097,-3745.345303,0,0.156327,2.212,81.642194,1.451781,1,7,-4123.583500,12,3,43.362268,21960904,19.3
11,18,"(((EAS,TSI.1),TSI.2),IBS)",1,0.99948023,2,"((EAS,TSI),IBS)",-4292.260186,-3792.456392,0,0.781295,1.001,83.095722,3.543136,1,7,-4125.812200,12,3,219.994258,22060904,18.1
12,6,"(((EAS.1,TSI),EAS.2),IBS)",1,0.99977589,2,"((EAS,TSI),IBS)",-4298.583816,-3798.780023,0,0.857907,1.659,92.135463,6.571066,1,11,-4128.679800,12,3,114.519063,20860904,17.8
13,19,"(((IBS,TSI.1),EAS),TSI.2)",1,0.81266380,,,-4767.816864,-4268.013071,0,0.221129,9.433,31.968701,1.672570,1,11,-4622.992200,12,3,32.361600,22160904,19.4
14,13,"(((IBS.1,TSI),EAS),IBS.2)",1,0.68300568,,,-5116.650051,-4616.846258,0,0.116407,5.543,35.260676,1.304808,2,2,-4952.619500,12,3,452.611759,21560905,19.6
15,14,"(((IBS.1,TSI),IBS.2),EAS)",1,0.99834105,3,"((IBS,TSI),EAS)",-5515.205682,-5015.401889,0,0.510679,3.667,43.639612,2.515804,3,7,-5373.961400,12,3,5.288148,21660906,17.8
16,20,"(((IBS,TSI.1),TSI.2),EAS)",1,0.99865666,3,"((IBS,TSI),EAS)",-5526.586168,-5026.782375,0,0.415159,2.177,43.765174,1.797919,2,7,-5367.354100,12,3,27.567470,22260905,18.3
17,3,"((IBS,TSI),EAS)",0,,,,-5779.433879,-5279.630086,0,0.399739,2.815,46.289938,1.468170,1,11,-5693.918900,12,3,34.119218,20560904,10.4
18,12,"(((EAS,TSI),IBS.1),IBS.2)",1,0.41937474,,,-7156.303467,-6656.499674,0,0.456180,2.481,225.752560,4.315162,1,3,-7000.462300,12,3,29.090927,21460904,19.3
19,16,"(((EAS,IBS),TSI.1),TSI.2)",1,0.44712786,,,-7600.645304,-7100.841510,0,0.362370,5.690,310.615087,2.384312,1,11,-7452.675700,12,3,58.445008,21860904,19.9
20,1,"((EAS,IBS),TSI)",0,,,,-7618.192029,-7118.388236,0,0.196730,4.510,384.258330,1.389465,1,11,-7544.426700,12,3,25.208047,20360904,10.7
21,2,"((EAS,TSI),IBS)",0,,,,-7683.702313,-7183.898520,0,0.260550,1.515,328.229252,2.047458,1,9,-7613.248600,12,3,27.216204,20460904,10.7
