TOPOLOGY RANKING: Poisson, separate Ne | EAS/IBS/TSI

rank idx topology                                   f closest tree when boundary         ELBO      dELBO   ELBO-w    X2 IBD    X2 SNP
   1  15 ((EAS,IBS.1),(IBS.2,TSI))            0.00548 [03] ((IBS,TSI),EAS)           -499.80       0.00   1.0000      1.11      1.56
   2   5 (((EAS.1,IBS),TSI),EAS.2)            0.99851 [03] ((IBS,TSI),EAS)           -529.32     -29.52   0.0000      1.18      2.13
   3   8 (((IBS,TSI),EAS.1),EAS.2)            0.04199 -                              -822.36    -322.55   0.0000      3.98      1.61
   4   7 (((EAS.1,TSI),IBS),EAS.2)            0.99639 [03] ((IBS,TSI),EAS)           -827.96    -328.16   0.0000      3.94      1.39
   5  21 ((EAS,TSI.1),(IBS,TSI.2))            0.00075 [03] ((IBS,TSI),EAS)           -829.99    -330.18   0.0000      3.99      1.40
   6  11 (((EAS,IBS.1),TSI),IBS.2)            0.99986 [02] ((EAS,TSI),IBS)          -3687.56   -3187.76   0.0000     72.17      1.36
   7  10 (((EAS,IBS.1),IBS.2),TSI)            0.99969 [01] ((EAS,IBS),TSI)          -3721.15   -3221.34   0.0000     71.62      3.29
   8   9 ((EAS.1,IBS),(EAS.2,TSI))            0.00000 [02] ((EAS,TSI),IBS)          -3725.65   -3225.85   0.0000     73.20      2.06
   9   4 (((EAS.1,IBS),EAS.2),TSI)            0.99998 [01] ((EAS,IBS),TSI)          -3733.26   -3233.45   0.0000     70.61      2.61
  10  17 (((EAS,TSI.1),IBS),TSI.2)            0.99983 [01] ((EAS,IBS),TSI)          -4245.15   -3745.35   0.0000     81.64      1.45
  11  18 (((EAS,TSI.1),TSI.2),IBS)            0.99948 [02] ((EAS,TSI),IBS)          -4292.26   -3792.46   0.0000     83.10      3.54
  12   6 (((EAS.1,TSI),EAS.2),IBS)            0.99978 [02] ((EAS,TSI),IBS)          -4298.58   -3798.78   0.0000     92.14      6.57
  13  19 (((IBS,TSI.1),EAS),TSI.2)            0.81266 -                             -4767.82   -4268.01   0.0000     31.97      1.67
  14  13 (((IBS.1,TSI),EAS),IBS.2)            0.68301 -                             -5116.65   -4616.85   0.0000     35.26      1.30
  15  14 (((IBS.1,TSI),IBS.2),EAS)            0.99834 [03] ((IBS,TSI),EAS)          -5515.21   -5015.40   0.0000     43.64      2.52
  16  20 (((IBS,TSI.1),TSI.2),EAS)            0.99866 [03] ((IBS,TSI),EAS)          -5526.59   -5026.78   0.0000     43.77      1.80
  17   3 ((IBS,TSI),EAS)                            - -                             -5779.43   -5279.63   0.0000     46.29      1.47
  18  12 (((EAS,TSI),IBS.1),IBS.2)            0.41937 -                             -7156.30   -6656.50   0.0000    225.75      4.32
  19  16 (((EAS,IBS),TSI.1),TSI.2)            0.44713 -                             -7600.65   -7100.84   0.0000    310.62      2.38
  20   1 ((EAS,IBS),TSI)                            - -                             -7618.19   -7118.39   0.0000    384.26      1.39
  21   2 ((EAS,TSI),IBS)                            - -                             -7683.70   -7183.90   0.0000    328.23      2.05
