rank,index,newick,n_admix,admixture_fraction,closest_tree_index,closest_tree_newick,elbo,d_elbo,elbo_softmax_weight,elbo_se,ess,chi2_ibd_per_n,chi2_snp_per_n,mode,map_start,map_lp,n_map_success,n_pathfinder_modes,elbo_mode_range,seed,secs
1,5,"(((EAS.1,IBS),TSI),EAS.2)",1,0.99285381,3,"((IBS,TSI),EAS)",-523.085191,0.000000,1,0.131785,1.102,1.612263,2.594035,2,7,-453.266080,10,3,20.373844,20760905,17.7
2,15,"((EAS,IBS.1),(IBS.2,TSI))",1,0.00594875,3,"((IBS,TSI),EAS)",-598.896364,-75.811172,1.1902171e-33,0.191201,8.453,94.418293,1.655635,1,9,-500.194490,10,3,146.861873,21760904,18.3
3,8,"(((IBS,TSI),EAS.1),EAS.2)",1,0.91270222,,,-795.592804,-272.507613,4.4817494e-119,0.310279,2.131,4.202951,5.852654,1,6,-699.679300,10,3,32.974988,21060904,17.5
4,7,"(((EAS.1,TSI),IBS),EAS.2)",1,0.98628940,,,-803.059700,-279.974509,2.562216e-122,0.143457,4.872,4.335507,2.789298,1,6,-720.469650,10,3,69.970549,20960904,17.6
5,21,"((EAS,TSI.1),(IBS,TSI.2))",1,0.00089059,3,"((IBS,TSI),EAS)",-901.931075,-378.845884,2.9466133e-165,0.329091,7.677,35.692384,3.041716,1,8,-805.885090,10,3,77.607622,22360904,18.5
6,10,"(((EAS,IBS.1),IBS.2),TSI)",1,0.99985267,1,"((EAS,IBS),TSI)",-4435.711774,-3912.626582,0,0.093449,13.495,24055.749976,6.457477,1,11,-4353.043600,10,3,22.542317,21260904,16.1
7,11,"(((EAS,IBS.1),TSI),IBS.2)",1,0.99993427,2,"((EAS,TSI),IBS)",-4445.745217,-3922.660026,0,0.208302,1.201,23958.619380,8.605551,1,11,-4352.907100,10,3,28.824178,21360904,17.8
8,6,"(((EAS.1,TSI),EAS.2),IBS)",1,0.92554091,,,-4840.532541,-4317.447350,0,1.026668,4.473,7971.825525,5.653564,1,3,-4260.421100,10,3,261.563171,20860904,16.2
9,17,"(((EAS,TSI.1),IBS),TSI.2)",1,0.99999871,1,"((EAS,IBS),TSI)",-4959.829221,-4436.744029,0,0.129708,3.194,23158.011992,2.449889,1,3,-4879.925900,10,3,87.804621,21960904,18.7
10,18,"(((EAS,TSI.1),TSI.2),IBS)",1,0.99980747,2,"((EAS,TSI),IBS)",-4967.939893,-4444.854702,0,0.177008,1.092,21318.217946,2.576747,1,7,-4878.066900,10,3,11.525479,22060904,17.0
11,4,"(((EAS.1,IBS),EAS.2),TSI)",1,0.96753928,,,-5037.022440,-4513.937248,0,0.242872,2.452,23235.125900,3.460586,3,6,-4959.259000,10,3,27.206854,20660906,16.2
12,9,"((EAS.1,IBS),(EAS.2,TSI))",1,0.00086610,2,"((EAS,TSI),IBS)",-5049.922617,-4526.837425,0,0.326790,3.136,20739.781920,3.721197,2,0,-4960.185400,10,3,17.957903,21160905,17.2
13,14,"(((IBS.1,TSI),IBS.2),EAS)",1,0.00150336,3,"((IBS,TSI),EAS)",-5462.202623,-4939.117431,0,0.096013,10.418,43.484731,2.396861,2,8,-5371.466700,10,3,44.772776,21660905,17.3
14,20,"(((IBS,TSI.1),TSI.2),EAS)",1,0.91505864,,,-5492.864450,-4969.779258,0,0.568281,3.882,43.563007,3.717386,1,3,-5391.693500,10,3,18.637935,22260904,17.3
15,13,"(((IBS.1,TSI),EAS),IBS.2)",1,0.00255014,3,"((IBS,TSI),EAS)",-5593.170273,-5070.085081,0,0.302964,6.549,112.245197,2.629239,1,8,-5495.522300,10,3,46.191191,21560904,19.0
16,3,"((IBS,TSI),EAS)",0,,,,-5834.205086,-5311.119894,0,0.301552,13.124,96.835056,3.013142,1,3,-5807.986300,12,3,34.123310,20560904,9.8
17,19,"(((IBS,TSI.1),EAS),TSI.2)",1,0.00665748,3,"((IBS,TSI),EAS)",-5881.290050,-5358.204858,0,0.169956,1.053,91.803275,1.595304,3,9,-5777.739400,10,3,98.341207,22160906,18.7
18,12,"(((EAS,TSI),IBS.1),IBS.2)",1,0.00147909,2,"((EAS,TSI),IBS)",-43239.622850,-42716.537658,0,0.362952,2.426,4098.229466,12032.581155,3,8,-43148.765000,11,3,22.044536,21460906,11.0
19,16,"(((EAS,IBS),TSI.1),TSI.2)",1,0.44866982,,,-43514.159161,-42991.073969,0,0.269852,4.934,904.992272,11988.822234,1,11,-43430.984000,10,3,29.223094,21860904,14.5
20,1,"((EAS,IBS),TSI)",0,,,,-43561.512429,-43038.427237,0,0.195582,2.605,6176.299525,11981.384588,1,11,-43540.007000,11,3,9.451027,20360904,7.3
21,2,"((EAS,TSI),IBS)",0,,,,-43785.489690,-43262.404498,0,0.058829,6.135,7882.062903,12030.424623,1,7,-43765.364000,12,3,6.905561,20460904,6.9
