TOPOLOGY RANKING: Poisson, shared Ne | EAS/IBS/TSI

rank idx topology                                   f closest tree when boundary         ELBO      dELBO   ELBO-w    X2 IBD    X2 SNP
   1   5 (((EAS.1,IBS),TSI),EAS.2)            0.99285 [03] ((IBS,TSI),EAS)           -523.09       0.00   1.0000      1.61      2.59
   2  15 ((EAS,IBS.1),(IBS.2,TSI))            0.00595 [03] ((IBS,TSI),EAS)           -598.90     -75.81   0.0000     94.42      1.66
   3   8 (((IBS,TSI),EAS.1),EAS.2)            0.91270 -                              -795.59    -272.51   0.0000      4.20      5.85
   4   7 (((EAS.1,TSI),IBS),EAS.2)            0.98629 -                              -803.06    -279.97   0.0000      4.34      2.79
   5  21 ((EAS,TSI.1),(IBS,TSI.2))            0.00089 [03] ((IBS,TSI),EAS)           -901.93    -378.85   0.0000     35.69      3.04
   6  10 (((EAS,IBS.1),IBS.2),TSI)            0.99985 [01] ((EAS,IBS),TSI)          -4435.71   -3912.63   0.0000  24055.75      6.46
   7  11 (((EAS,IBS.1),TSI),IBS.2)            0.99993 [02] ((EAS,TSI),IBS)          -4445.75   -3922.66   0.0000  23958.62      8.61
   8   6 (((EAS.1,TSI),EAS.2),IBS)            0.92554 -                             -4840.53   -4317.45   0.0000   7971.83      5.65
   9  17 (((EAS,TSI.1),IBS),TSI.2)            1.00000 [01] ((EAS,IBS),TSI)          -4959.83   -4436.74   0.0000  23158.01      2.45
  10  18 (((EAS,TSI.1),TSI.2),IBS)            0.99981 [02] ((EAS,TSI),IBS)          -4967.94   -4444.85   0.0000  21318.22      2.58
  11   4 (((EAS.1,IBS),EAS.2),TSI)            0.96754 -                             -5037.02   -4513.94   0.0000  23235.13      3.46
  12   9 ((EAS.1,IBS),(EAS.2,TSI))            0.00087 [02] ((EAS,TSI),IBS)          -5049.92   -4526.84   0.0000  20739.78      3.72
  13  14 (((IBS.1,TSI),IBS.2),EAS)            0.00150 [03] ((IBS,TSI),EAS)          -5462.20   -4939.12   0.0000     43.48      2.40
  14  20 (((IBS,TSI.1),TSI.2),EAS)            0.91506 -                             -5492.86   -4969.78   0.0000     43.56      3.72
  15  13 (((IBS.1,TSI),EAS),IBS.2)            0.00255 [03] ((IBS,TSI),EAS)          -5593.17   -5070.09   0.0000    112.25      2.63
  16   3 ((IBS,TSI),EAS)                            - -                             -5834.21   -5311.12   0.0000     96.84      3.01
  17  19 (((IBS,TSI.1),EAS),TSI.2)            0.00666 [03] ((IBS,TSI),EAS)          -5881.29   -5358.20   0.0000     91.80      1.60
  18  12 (((EAS,TSI),IBS.1),IBS.2)            0.00148 [02] ((EAS,TSI),IBS)         -43239.62  -42716.54   0.0000   4098.23  12032.58
  19  16 (((EAS,IBS),TSI.1),TSI.2)            0.44867 -                            -43514.16  -42991.07   0.0000    904.99  11988.82
  20   1 ((EAS,IBS),TSI)                            - -                            -43561.51  -43038.43   0.0000   6176.30  11981.38
  21   2 ((EAS,TSI),IBS)                            - -                            -43785.49  -43262.40   0.0000   7882.06  12030.42
