variant,topology_index,component,population,ne_0_5,ne_5_10,recent_ratio,first_event_generation
poisson_grid_shared_ne,15,shared,EAS,10489924.285449991,7903448.844125019,1.3272590855380322,71.86796616674995
poisson_grid_shared_ne,15,shared,IBS,1311696.046162497,1168242.987972501,1.1227938533908606,71.86796616674995
poisson_grid_shared_ne,15,shared,TSI,1289283.3445499968,939094.4111250027,1.3729006682144769,71.86796616674995
poisson_grid_separate_ne,15,IBD,EAS,4220485.084075,3865572.93985,1.0918135939348674,86.57101665250005
poisson_grid_separate_ne,15,IBD,IBS,1631897.0971249992,1371698.995524996,1.1896903784641297,86.57101665250005
poisson_grid_separate_ne,15,IBD,TSI,1029885.2409324993,804161.8117275002,1.2806940418124309,86.57101665250005
poisson_grid_separate_ne,15,SNP,EAS,1885.8042423000002,1840.6367417749966,1.0245390627601223,86.57101665250005
poisson_grid_separate_ne,15,SNP,IBS,82326.79220374965,81488.84691200015,1.0102829445194432,86.57101665250005
poisson_grid_separate_ne,15,SNP,TSI,164134.5900125004,159540.43187749994,1.0287961996901702,86.57101665250005
normal_grid_shared_ne,8,shared,EAS,4627923.7868000055,4072906.3833500003,1.1362706016811264,131.8501299450002
normal_grid_shared_ne,8,shared,IBS,2158098.865100002,1478194.6642000023,1.4599557942985562,131.8501299450002
normal_grid_shared_ne,8,shared,TSI,894165.0530100011,712487.7325999996,1.2549901031236388,131.8501299450002
normal_grid_separate_ne,8,IBD,EAS,4600945.571,4121104.917024998,1.1164349521878703,131.0584005224998
normal_grid_separate_ne,8,IBD,IBS,2268689.1032,1579124.1277000015,1.4366755997227092,131.0584005224998
normal_grid_separate_ne,8,IBD,TSI,1051781.3179099986,795413.7841750007,1.3223071297424158,131.0584005224998
normal_grid_separate_ne,8,SNP,EAS,6243.148247900001,6115.056011625007,1.020947025837782,131.0584005224998
normal_grid_separate_ne,8,SNP,IBS,156281.2931264996,146913.59635699994,1.0637633071532477,131.0584005224998
normal_grid_separate_ne,8,SNP,TSI,114031.74965124993,109830.63952849999,1.0382508026975459,131.0584005224998
