rank,index,newick,n_admix,admixed,elbo,elbo_se,elbo_seed_min,elbo_seed_max,n_seeds,d_elbo,logz,ess,chi2_ibd_per_n,chi2_snp_per_n,admix_fraction,tau,p_model,p_argmax,elbo_raw,lp_const,seed,secs
1,1,"((CEU,GBR),IBS)",0,,1568.557,0.059,1568.105,1568.557,6,0.000,1571.461,17.81,2.609,1.604,,1.503,1,1,1582.362,-13.805,1,6
2,4,"(((CEU,GBR.1),GBR.2),IBS)",1,GBR,1482.738,0.421,1479.568,1482.738,6,-85.818,1504.479,12.04,2.850,2.613,1.0000,1.557,5.365e-38,0,1508.510,-25.772,13,22
3,9,"((CEU,GBR.1),(GBR.2,IBS))",1,GBR,1469.027,1.118,1462.582,1469.027,6,-99.530,1523.637,1.54,2.982,5.868,0.9981,1.476,5.953e-44,0,1494.799,-25.772,7,23
4,16,"(((CEU,GBR),IBS.1),IBS.2)",1,IBS,1283.500,0.337,1276.737,1283.500,6,-285.057,1302.539,1.32,4.377,20.863,0.5319,1.327,1.59e-124,0,1309.272,-25.772,13,24
5,8,"(((GBR.1,IBS),GBR.2),CEU)",1,GBR,1163.815,0.176,1161.468,1163.815,6,-404.741,1175.804,3.25,7.662,7.460,0.9988,1.655,1.672e-176,0,1189.588,-25.772,31,22
6,12,"(((CEU.1,IBS),CEU.2),GBR)",1,CEU,1154.497,0.579,1148.063,1154.497,6,-414.060,1188.974,2.83,7.431,17.958,0.9970,1.675,1.5e-180,0,1180.269,-25.772,47,22
7,18,"(((CEU,IBS.1),IBS.2),GBR)",1,IBS,1145.569,0.243,1143.653,1145.569,6,-422.987,1161.479,2.88,7.634,12.713,0.9635,1.729,1.991e-184,0,1171.342,-25.772,47,20
8,20,"(((GBR,IBS.1),IBS.2),CEU)",1,IBS,1138.060,0.120,1136.391,1138.060,6,-430.497,1146.848,14.88,7.723,10.505,0.9764,2.177,1.091e-187,0,1163.832,-25.772,7,22
9,13,"(((CEU.1,IBS),GBR),CEU.2)",1,CEU,1110.250,0.124,1108.393,1110.250,6,-458.306,1121.381,1.49,7.749,10.909,0.9968,1.653,9.123e-200,0,1136.023,-25.772,1,24
10,21,"((CEU,IBS.1),(GBR,IBS.2))",1,IBS,1076.570,1.553,1058.281,1076.570,6,-491.987,1134.668,1.56,8.110,15.727,0.0258,2.047,2.152e-214,0,1102.342,-25.772,31,23
11,19,"(((GBR,IBS.1),CEU),IBS.2)",1,IBS,564.818,1.554,542.348,564.818,6,-1003.739,640.069,13.53,14.658,37.689,0.0047,1.107,0,0,590.590,-25.772,23,24
12,17,"(((CEU,IBS.1),GBR),IBS.2)",1,IBS,463.747,1.698,-1362.708,463.747,6,-1104.809,522.072,1.14,14.370,28.864,0.0068,2.013,0,0,489.519,-25.772,23,25
13,5,"(((CEU,GBR.1),IBS),GBR.2)",1,GBR,-603.146,0.404,-608.451,-603.146,6,-2171.703,-579.359,2.25,14.509,358.118,0.4001,2.444,0,0,-577.374,-25.772,7,24
14,11,"(((CEU.1,GBR),IBS),CEU.2)",1,CEU,-626.176,0.157,-626.456,-626.176,6,-2194.733,-615.354,7.66,13.563,397.540,0.7310,2.804,0,0,-600.404,-25.772,1,24
15,3,"((GBR,IBS),CEU)",0,,-876.893,0.167,-877.550,-876.893,6,-2445.450,-870.982,1.40,10.405,637.455,,1.640,0,0,-863.088,-13.805,13,10
16,6,"(((CEU,IBS),GBR.1),GBR.2)",1,GBR,-911.554,0.240,-914.744,-911.554,6,-2480.111,-895.844,3.76,10.023,643.826,0.8285,1.197,0,0,-885.782,-25.772,31,24
17,7,"(((GBR.1,IBS),CEU),GBR.2)",1,GBR,-916.081,0.184,-918.407,-916.081,6,-2484.637,-901.791,2.80,10.809,621.199,0.9999,1.300,0,0,-890.309,-25.772,1,24
18,15,"((CEU.1,GBR),(CEU.2,IBS))",1,CEU,-1013.341,2.191,-1028.235,-1013.341,6,-2581.897,-913.669,1.00,11.017,644.998,0.0000,1.220,0,0,-987.569,-25.772,1,24
19,14,"(((GBR,IBS),CEU.1),CEU.2)",1,CEU,-1406.786,0.800,-1410.490,-1406.786,6,-2975.343,-1297.048,1.00,11.099,780.475,0.7229,2.161,0,0,-1381.014,-25.772,47,25
20,2,"((CEU,IBS),GBR)",0,,-1821.426,0.282,-1829.042,-1821.426,6,-3389.983,-1814.061,27.34,53.560,12.540,,0.675,0,0,-1807.621,-13.805,13,8
21,10,"(((CEU.1,GBR),CEU.2),IBS)",1,CEU,-4404.998,0.230,-4420.434,-4404.998,6,-5973.555,-4389.018,1.97,52.046,785.204,0.9245,3.811,0,0,-4379.226,-25.772,13,22
