rank,index,newick,n_admix,admixed,elbo,elbo_se,elbo_seed_min,elbo_seed_max,n_seeds,d_elbo,logz,ess,chi2_ibd_per_n,chi2_snp_per_n,admix_fraction,tau,p_model,p_argmax,elbo_raw,lp_const,seed,secs
1,17,"(((GBR,TSI.1),IBS),TSI.2)",1,TSI,1304.106,0.576,1292.489,1304.106,6,0.000,1343.537,1.43,2.035,7.628,0.9856,1.569,0.9985,1,1329.878,-25.772,23,23
2,4,"(((GBR.1,IBS),GBR.2),TSI)",1,GBR,1297.589,0.172,1296.018,1297.589,6,-6.518,1312.342,1.05,1.989,5.553,0.5035,1.614,0.001475,0,1323.361,-25.772,7,22
3,6,"(((GBR.1,TSI),GBR.2),IBS)",1,GBR,1126.615,0.202,1123.010,1126.615,6,-177.491,1140.349,3.66,5.000,7.376,0.9981,1.493,8.238e-78,0,1152.387,-25.772,23,21
4,14,"(((IBS.1,TSI),IBS.2),GBR)",1,IBS,1065.021,0.158,1064.075,1065.021,6,-239.086,1076.726,7.76,6.232,1.885,0.9035,1.350,1.465e-104,0,1090.793,-25.772,1,21
5,10,"(((GBR,IBS.1),IBS.2),TSI)",1,IBS,541.442,0.195,538.977,541.442,6,-762.665,556.093,2.83,9.824,46.528,0.9914,3.093,0,0,567.214,-25.772,7,21
6,15,"((GBR,IBS.1),(IBS.2,TSI))",1,IBS,352.715,0.269,351.021,352.715,6,-951.391,369.600,2.08,18.249,11.705,0.3284,1.181,0,0,378.487,-25.772,1,23
7,7,"(((GBR.1,TSI),IBS),GBR.2)",1,GBR,304.673,0.163,303.086,304.673,6,-999.434,319.151,1.39,6.762,229.267,0.0008,2.147,0,0,330.445,-25.772,13,23
8,20,"(((IBS,TSI.1),TSI.2),GBR)",1,TSI,304.288,1.487,296.439,304.288,6,-999.818,361.808,6.97,9.664,144.278,1.0000,2.526,0,0,330.060,-25.772,31,20
9,5,"(((GBR.1,IBS),TSI),GBR.2)",1,GBR,82.904,0.234,79.349,82.904,6,-1221.203,97.769,8.34,12.539,157.857,0.0218,1.535,0,0,108.676,-25.772,23,24
10,11,"(((GBR,IBS.1),TSI),IBS.2)",1,IBS,43.275,2.744,22.854,43.275,6,-1260.831,149.888,3.83,17.712,82.573,0.0001,1.929,0,0,69.048,-25.772,13,23
11,13,"(((IBS.1,TSI),GBR),IBS.2)",1,IBS,18.795,0.399,8.017,18.795,6,-1285.311,41.830,1.19,10.977,183.893,0.9970,3.919,0,0,44.567,-25.772,13,23
12,1,"((GBR,IBS),TSI)",0,,-22.241,0.085,-23.773,-22.241,6,-1326.348,-17.855,3.75,26.062,13.144,,0.724,0,0,-8.436,-13.805,1,9
13,18,"(((GBR,TSI.1),TSI.2),IBS)",1,TSI,-43.176,0.360,-45.628,-43.176,6,-1347.282,-17.563,1.63,25.644,17.444,0.6446,0.736,0,0,-17.403,-25.772,47,21
14,9,"((GBR.1,IBS),(GBR.2,TSI))",1,GBR,-46.380,0.297,-48.134,-46.380,6,-1350.486,-25.928,1.71,25.292,5.807,0.0000,1.002,0,0,-20.607,-25.772,7,21
15,3,"((IBS,TSI),GBR)",0,,-65.802,0.159,-68.109,-65.802,6,-1369.908,-60.462,7.10,26.606,15.184,,0.613,0,0,-51.997,-13.805,23,10
16,2,"((GBR,TSI),IBS)",0,,-68.557,0.084,-70.191,-68.557,6,-1372.663,-63.719,2.54,26.638,15.869,,0.780,0,0,-54.752,-13.805,47,12
17,21,"((GBR,TSI.1),(IBS,TSI.2))",1,TSI,-162.602,1.704,-174.114,-162.602,6,-1466.709,-76.379,9.35,14.612,195.700,1.0000,3.096,0,0,-136.830,-25.772,23,22
18,19,"(((IBS,TSI.1),GBR),TSI.2)",1,TSI,-574.736,0.677,-576.105,-574.736,6,-1878.842,-525.796,1.13,17.419,301.886,0.0026,1.008,0,0,-548.964,-25.772,47,23
19,8,"(((IBS,TSI),GBR.1),GBR.2)",1,GBR,-941.283,0.335,-943.625,-941.283,6,-2245.389,-925.087,6.83,12.642,534.519,0.0187,2.084,0,0,-915.510,-25.772,31,23
20,16,"(((GBR,IBS),TSI.1),TSI.2)",1,TSI,-1914.292,0.601,-1919.661,-1914.292,6,-3218.398,-1878.068,1.43,10.925,885.924,0.0015,1.503,0,0,-1888.520,-25.772,23,22
21,12,"(((GBR,TSI),IBS.1),IBS.2)",1,IBS,-2705.593,0.611,-2710.138,-2705.593,6,-4009.699,-2673.835,1.52,17.643,1013.285,0.9663,1.742,0,0,-2679.820,-25.772,1,23
