rank,index,newick,n_admix,admixed,elbo,elbo_se,elbo_seed_min,elbo_seed_max,n_seeds,d_elbo,logz,ess,chi2_ibd_per_n,chi2_snp_per_n,admix_fraction,tau,p_model,p_argmax,elbo_raw,lp_const,seed,secs
1,5,"(((CEU,IBS.1),TSI),IBS.2)",1,IBS,-474.985,0.145,-477.912,-474.985,6,0.000,-464.317,9.57,1.884,1.011,0.5954,1.627,1,1,-449.213,-25.772,23,23
2,11,"(((CEU,TSI.1),IBS),TSI.2)",1,TSI,-566.671,0.174,-567.268,-566.671,6,-91.686,-554.740,3.99,2.351,10.295,0.8792,1.632,1.518e-40,0,-540.899,-25.772,1,23
3,4,"(((CEU,IBS.1),IBS.2),TSI)",1,IBS,-574.929,0.116,-575.845,-574.929,6,-99.944,-566.114,3.35,2.870,1.933,0.9827,1.666,3.936e-44,0,-549.156,-25.772,47,22
4,9,"((CEU,IBS.1),(IBS.2,TSI))",1,IBS,-626.383,0.180,-628.133,-626.383,6,-151.398,-612.410,7.16,3.083,3.417,0.6173,1.873,1.774e-66,0,-600.610,-25.772,31,22
5,16,"(((CEU.1,IBS),CEU.2),TSI)",1,CEU,-652.979,0.273,-654.891,-652.979,6,-177.994,-632.793,2.59,3.179,6.180,0.9997,1.629,4.99e-78,0,-627.207,-25.772,23,21
6,17,"(((CEU.1,IBS),TSI),CEU.2)",1,CEU,-664.979,0.285,-668.151,-664.979,6,-189.994,-648.647,17.94,3.113,9.542,0.1745,2.032,3.066e-83,0,-639.207,-25.772,7,23
7,21,"((CEU.1,IBS),(CEU.2,TSI))",1,CEU,-872.367,0.330,-875.401,-872.367,6,-397.382,-852.608,9.97,4.863,2.633,0.9972,1.871,2.626e-173,0,-846.595,-25.772,1,21
8,15,"((CEU,TSI.1),(IBS,TSI.2))",1,TSI,-1175.009,0.116,-1176.383,-1175.009,6,-700.024,-1165.449,3.15,7.384,1.091,0.9890,2.168,9.628e-305,0,-1149.237,-25.772,1,22
9,18,"(((CEU.1,TSI),CEU.2),IBS)",1,CEU,-1467.585,0.268,-1469.401,-1467.585,6,-992.600,-1450.626,2.99,11.321,10.992,0.9956,1.558,0,0,-1441.813,-25.772,13,19
10,19,"(((CEU.1,TSI),IBS),CEU.2)",1,CEU,-1478.817,0.079,-1481.021,-1478.817,6,-1003.832,-1471.397,7.39,11.400,7.277,1.0000,1.869,0,0,-1453.044,-25.772,13,23
11,13,"(((IBS,TSI.1),CEU),TSI.2)",1,TSI,-1535.065,0.309,-1536.497,-1535.065,6,-1060.080,-1516.809,6.96,7.556,128.347,0.4464,2.338,0,0,-1509.293,-25.772,1,23
12,12,"(((CEU,TSI.1),TSI.2),IBS)",1,TSI,-1897.622,0.090,-1899.417,-1897.622,6,-1422.637,-1889.753,11.06,9.635,203.328,0.9994,1.356,0,0,-1871.850,-25.772,7,21
13,1,"((CEU,IBS),TSI)",0,,-1920.087,0.054,-1922.302,-1920.087,6,-1445.102,-1917.459,28.89,4.952,359.465,,1.587,0,0,-1906.282,-13.805,31,10
14,10,"(((CEU,IBS),TSI.1),TSI.2)",1,TSI,-1928.893,0.311,-1934.067,-1928.893,6,-1453.908,-1910.722,6.47,4.933,347.907,0.5419,1.743,0,0,-1903.121,-25.772,7,21
15,20,"(((IBS,TSI),CEU.1),CEU.2)",1,CEU,-1980.577,0.206,-1982.970,-1980.577,6,-1505.592,-1968.566,11.56,8.337,249.470,0.0151,1.583,0,0,-1954.805,-25.772,7,15
16,7,"(((IBS.1,TSI),CEU),IBS.2)",1,IBS,-2140.583,0.130,-2142.792,-2140.583,6,-1665.598,-2130.142,1.76,25.746,11.681,0.4431,2.325,0,0,-2114.811,-25.772,47,23
17,8,"(((IBS.1,TSI),IBS.2),CEU)",1,IBS,-2151.753,0.157,-2153.970,-2151.753,6,-1676.768,-2140.753,2.68,27.185,13.750,0.8806,1.557,0,0,-2125.981,-25.772,7,21
18,14,"(((IBS,TSI.1),TSI.2),CEU)",1,TSI,-2592.481,0.159,-2595.793,-2592.481,6,-2117.496,-2582.571,8.69,22.068,184.572,0.9976,1.791,0,0,-2566.709,-25.772,13,22
19,6,"(((CEU,TSI),IBS.1),IBS.2)",1,IBS,-2698.440,0.235,-2703.502,-2698.440,6,-2223.455,-2682.986,7.90,10.755,399.724,0.1562,1.109,0,0,-2672.668,-25.772,13,23
20,3,"((IBS,TSI),CEU)",0,,-2820.510,0.136,-2822.680,-2820.510,6,-2345.525,-2813.739,1.13,27.821,208.964,,1.453,0,0,-2806.705,-13.805,13,10
21,2,"((CEU,TSI),IBS)",0,,-2916.304,0.029,-2917.222,-2916.304,6,-2441.319,-2913.608,15.41,14.899,388.679,,1.427,0,0,-2902.499,-13.805,1,12
