rank,index,newick,n_admix,admixed,elbo,elbo_se,elbo_seed_min,elbo_seed_max,n_seeds,d_elbo,logz,ess,chi2_ibd_per_n,chi2_snp_per_n,admix_fraction,tau,p_model,p_argmax,elbo_raw,lp_const,seed,secs
1,11,"(((CEU,TSI.1),IBS),TSI.2)",1,TSI,1288.164,0.129,1286.109,1288.164,6,0.000,1297.963,4.50,2.222,2.173,0.9998,1.609,0.9835,1,1313.936,-25.772,1,23
2,21,"((CEU.1,IBS),(CEU.2,TSI))",1,CEU,1284.075,0.145,1281.531,1284.075,6,-4.089,1300.116,1.01,2.149,1.847,0.8805,1.700,0.01648,0,1309.847,-25.772,7,22
3,4,"(((CEU,IBS.1),IBS.2),TSI)",1,IBS,1272.797,0.114,1271.744,1272.797,6,-15.366,1283.552,1.27,2.361,3.522,0.9951,1.639,2.086e-07,0,1298.570,-25.772,13,22
4,16,"(((CEU.1,IBS),CEU.2),TSI)",1,CEU,1269.792,0.152,1268.486,1269.792,6,-18.372,1281.545,2.98,2.357,1.775,0.1197,1.611,1.033e-08,0,1295.564,-25.772,7,21
5,18,"(((CEU.1,TSI),CEU.2),IBS)",1,CEU,1068.871,0.096,1067.072,1068.871,6,-219.292,1078.215,3.49,6.232,1.822,0.9863,1.496,5.694e-96,0,1094.644,-25.772,47,21
6,12,"(((CEU,TSI.1),TSI.2),IBS)",1,TSI,1025.776,0.129,1023.618,1025.776,6,-262.387,1034.904,9.32,6.999,4.246,0.9800,1.474,1.095e-114,0,1051.549,-25.772,23,21
7,8,"(((IBS.1,TSI),IBS.2),CEU)",1,IBS,737.085,0.281,733.857,737.085,6,-551.078,755.609,9.58,11.690,2.331,0.9865,1.574,4.598e-240,0,762.858,-25.772,31,21
8,9,"((CEU,IBS.1),(IBS.2,TSI))",1,IBS,640.334,0.394,636.104,640.334,6,-647.830,666.428,1.06,4.099,171.617,0.5834,1.767,4.405e-282,0,666.106,-25.772,7,22
9,3,"((IBS,TSI),CEU)",0,,278.547,0.040,277.887,278.547,6,-1009.616,282.012,4.51,13.751,118.481,,2.061,0,0,292.352,-13.805,7,12
10,14,"(((IBS,TSI.1),TSI.2),CEU)",1,TSI,190.351,0.432,185.849,190.351,6,-1097.812,214.401,3.65,14.264,103.961,1.0000,2.383,0,0,216.123,-25.772,31,24
11,1,"((CEU,IBS),TSI)",0,,-23.839,0.280,-25.094,-23.839,6,-1312.003,-16.089,2.49,13.500,228.046,,2.050,0,0,-10.034,-13.805,1,13
12,7,"(((IBS.1,TSI),CEU),IBS.2)",1,IBS,-64.898,0.146,-69.266,-64.898,6,-1353.062,-54.367,2.57,13.857,199.102,0.9846,2.782,0,0,-39.126,-25.772,7,23
13,19,"(((CEU.1,TSI),IBS),CEU.2)",1,CEU,-332.120,2.300,-337.623,-332.120,6,-1620.283,-205.797,1.21,16.945,242.330,0.6231,2.260,0,0,-306.348,-25.772,31,23
14,13,"(((IBS,TSI.1),CEU),TSI.2)",1,TSI,-346.956,0.423,-355.769,-346.956,6,-1635.119,-324.564,8.89,17.642,226.910,0.0605,1.800,0,0,-321.183,-25.772,7,23
15,17,"(((CEU.1,IBS),TSI),CEU.2)",1,CEU,-364.386,1.226,-388.675,-364.386,6,-1652.550,-304.600,2.53,20.251,172.835,0.0111,1.611,0,0,-338.614,-25.772,7,23
16,15,"((CEU,TSI.1),(IBS,TSI.2))",1,TSI,-601.607,0.332,-602.932,-601.607,6,-1889.771,-581.937,1.39,36.328,5.226,0.0020,1.215,0,0,-575.835,-25.772,1,22
17,6,"(((CEU,TSI),IBS.1),IBS.2)",1,IBS,-635.989,0.444,-637.099,-635.989,6,-1924.153,-609.680,3.32,36.647,7.167,0.0089,1.512,0,0,-610.217,-25.772,13,24
18,2,"((CEU,TSI),IBS)",0,,-637.531,0.162,-639.890,-637.531,6,-1925.695,-632.708,58.05,37.654,9.462,,0.527,0,0,-623.726,-13.805,31,11
19,20,"(((IBS,TSI),CEU.1),CEU.2)",1,CEU,-782.147,2.006,-826.203,-782.147,6,-2070.310,-716.221,1.18,15.193,440.046,0.0029,1.874,0,0,-756.375,-25.772,31,23
20,5,"(((CEU,IBS.1),TSI),IBS.2)",1,IBS,-845.728,2.089,-861.907,-845.728,6,-2133.892,-739.553,2.25,15.473,416.003,0.9445,1.239,0,0,-819.956,-25.772,23,24
21,10,"(((CEU,IBS),TSI.1),TSI.2)",1,TSI,-1140.938,0.141,-1142.233,-1140.938,6,-2429.102,-1130.208,3.14,15.899,537.805,0.0018,1.546,0,0,-1115.166,-25.772,47,23
