TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,236143,348619,442312,752031,2346836
2,224885,325812,399837,648448,1908858
3,213801,303845,362349,559691,1545869
4,203428,281967,328309,488040,1252292
5,194211,257577,298712,428219,995510
6,187315,233404,271806,380177,782619
7,178830,216664,248017,339570,638906
8,169981,200287,226944,297062,528108
9,156279,186964,207860,258971,437012
10,140072,173676,191928,227367,358849
11,111909,147815,171899,220270,390417
12,101934,134011,155461,195660,333200
13,93139,121763,141075,174741,285567
14,85538,111236,128663,156906,246185
15,79045,102236,117980,141647,213748
16,73317,94359,108681,128814,187918
17,68132,87625,100637,117946,167262
18,63641,81802,93694,108704,150866
19,59502,76757,87855,101036,137614
20,55863,72383,82815,94746,127094
21,52770,68615,78469,89547,118749
22,50141,65400,74804,85266,112023
23,47981,62682,71741,81705,106979
24,46124,60507,69205,78836,103248
25,44663,58870,67254,76703,100877
26,43736,57853,65883,75208,99390
27,43256,57262,64977,74301,98449
28,43338,57136,64688,73989,98014
29,43879,57499,64907,74152,98103
30,44720,58188,65470,74628,98895
31,45636,58970,66273,75381,100153
32,46542,59999,67201,76297,101726
33,47510,61149,68276,77373,103969
34,48376,62219,69352,78597,106787
35,49115,63188,70382,79938,110059
36,49793,64167,71399,81199,113415
37,50490,65036,72352,82395,116699
38,51059,65733,73209,83534,119637
39,51720,66311,73827,84468,122284
40,52382,66739,74362,85132,124465
41,53007,67058,74798,85643,126302
42,53515,67259,75053,85898,127941
43,53900,67428,75168,86027,128834
44,54253,67487,75196,85988,129241
45,54514,67452,75031,85692,128916
46,54680,67272,74660,85285,127958
47,54656,66932,74196,84789,126558
48,54528,66496,73689,84026,124740
49,54258,65958,73072,83231,122545
50,53913,65332,72425,82329,120183
51,53452,64664,71634,81358,117741
52,52905,63930,70764,80327,115216
53,52183,63123,69814,79200,112561
54,51419,62228,68854,78050,109793
55,50628,61241,67860,76893,106953
56,49861,60211,66863,75738,104009
57,49053,59177,65880,74548,101125
58,48177,58170,64896,73332,98281
59,47266,57190,63906,72111,95552
60,46354,56227,62864,70952,92862
61,45435,55267,61788,69761,90238
62,44556,54312,60703,68610,87698
63,43722,53264,59634,67402,85311
64,42887,52245,58565,66200,83102
65,42055,51207,57511,64963,81047
66,41197,50162,56473,63719,79137
67,40321,49160,55437,62509,77414
68,39425,48180,54369,61398,75823
69,38564,47192,53306,60234,74383
70,37709,46231,52223,59081,72977
71,36857,45312,51185,57916,71637
72,36004,44398,50159,56770,70481
73,35178,43502,49160,55682,69395
74,34345,42607,48151,54616,68400
75,33475,41734,47152,53508,67486
76,32566,40857,46149,52365,66596
77,31656,39994,45124,51204,65794
78,30767,39134,44135,50000,65002
79,29880,38248,43179,48818,64215
80,28986,37348,42231,47678,63483
81,28088,36440,41271,46579,62785
82,27188,35522,40312,45499,62080
83,26268,34629,39339,44402,61367
84,25373,33747,38375,43309,60590
85,24513,32879,37406,42284,59785
86,23693,32017,36452,41258,58948
87,22922,31152,35502,40224,58096
88,22192,30267,34551,39170,57221
89,21480,29380,33598,38128,56302
90,20780,28478,32642,37092,55398
91,20118,27560,31664,36056,54429
92,19488,26649,30688,34985,53367
93,18884,25737,29679,33911,52288
94,18307,24850,28660,32841,51164
95,17755,23971,27657,31780,49998
96,17218,23121,26665,30720,48809
97,16708,22271,25683,29646,47584
98,16210,21437,24677,28558,46326
99,15717,20619,23661,27467,45005
100,15230,19825,22670,26336,43638
