TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,243887,346882,461632,669811,1653970
2,234864,322970,421006,587446,1366325
3,226186,300849,382097,519884,1101882
4,215813,278229,346272,462165,918931
5,204082,255613,315066,407763,774395
6,194513,237005,289190,359271,652646
7,183320,217239,263131,320045,550373
8,169746,201736,236440,280680,464792
9,155924,187160,215897,245685,389477
10,142859,174643,195944,217623,323667
11,114681,151011,178209,212238,333585
12,104268,137343,160809,189425,287811
13,95277,125212,145672,169683,249462
14,87457,114548,132597,152682,218146
15,80530,105312,121204,138112,192506
16,74668,97293,111315,125698,171436
17,69613,90255,102745,115256,154184
18,64999,84170,95451,106428,139913
19,60804,78895,89269,99068,128446
20,57177,74369,83918,92951,119420
21,53993,70426,79369,87872,112406
22,51227,67138,75597,83566,107036
23,48979,64385,72439,79935,102989
24,47187,62057,69837,76936,100032
25,45817,60194,67841,74590,97875
26,44932,58901,66366,72912,96462
27,44530,58146,65401,71831,95547
28,44601,57868,64917,71297,95007
29,45036,58010,64903,71183,95028
30,45709,58555,65276,71488,95649
31,46501,59239,65863,72084,96700
32,47386,60068,66672,72899,98378
33,48180,60957,67531,73942,100669
34,48874,61843,68366,75129,103203
35,49576,62641,69236,76346,105656
36,50117,63398,70086,77567,108019
37,50542,64126,70869,78682,110301
38,51067,64783,71488,79692,112482
39,51725,65327,71974,80570,114079
40,52337,65734,72378,81274,115018
41,52961,66009,72642,81822,115366
42,53540,66084,72722,82169,115245
43,53961,66063,72661,82398,114743
44,54234,65987,72487,82518,113896
45,54433,65809,72199,82412,112749
46,54517,65506,71807,82092,111385
47,54451,65121,71280,81583,109865
48,54289,64642,70718,80932,108361
49,54092,64095,70106,80161,106659
50,53869,63478,69402,79280,104778
51,53583,62790,68650,78257,102853
52,53206,62035,67850,77118,100815
53,52699,61260,67030,75944,98680
54,52119,60480,66159,74738,96487
55,51462,59688,65236,73539,94389
56,50697,58853,64280,72338,92321
57,49808,57965,63310,71149,90206
58,48789,57031,62331,69983,88139
59,47662,56068,61338,68785,86247
60,46483,55077,60341,67608,84491
61,45294,54087,59359,66465,82829
62,44067,53099,58376,65383,81246
63,42885,52088,57404,64310,79800
64,41751,51073,56417,63191,78553
65,40656,50033,55417,62060,77385
66,39607,49004,54377,60969,76267
67,38608,48011,53331,59904,75196
68,37664,47037,52266,58894,74022
69,36735,46082,51212,57930,72863
70,35816,45159,50191,56987,71701
71,34930,44253,49180,56040,70603
72,34085,43366,48184,55085,69547
73,33291,42491,47192,54098,68514
74,32529,41616,46229,53087,67542
75,31789,40739,45298,52055,66610
76,31092,39876,44365,51025,65726
77,30450,39029,43436,49992,64885
78,29885,38201,42529,48941,64017
79,29363,37389,41633,47914,63126
80,28854,36573,40720,46911,62241
81,28329,35776,39793,45898,61409
82,27828,34984,38852,44880,60582
83,27308,34188,37898,43857,59739
84,26777,33385,36949,42863,58862
85,26239,32594,35994,41873,58015
86,25713,31798,35052,40918,57119
87,25189,30984,34126,40012,56253
88,24664,30175,33224,39063,55432
89,24123,29353,32326,38095,54649
90,23563,28505,31432,37107,53877
91,22987,27649,30534,36143,53061
92,22400,26776,29621,35203,52184
93,21803,25897,28695,34264,51252
94,21186,25011,27769,33341,50321
95,20568,24131,26839,32450,49357
96,19937,23257,25917,31543,48361
97,19294,22395,24993,30617,47318
98,18642,21553,24067,29671,46267
99,18002,20732,23151,28700,45173
100,17355,19936,22250,27675,44027
