TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,204472,288436,391415,1016288,4429698
2,198554,275999,366856,899617,3481879
3,192737,265787,346479,780152,2746732
4,188113,256594,334690,674289,2217309
5,184054,246102,318444,589691,1834934
6,180083,231555,286396,506033,1518926
7,176170,219438,267032,435390,1257692
8,172337,207240,249062,365278,974892
9,164493,191997,232626,331064,821729
10,154840,178797,222000,302893,705579
11,104250,144899,188107,290653,656679
12,94872,131706,171330,254998,543589
13,86800,120223,155730,223516,451879
14,79702,110085,141803,196511,377059
15,73495,100875,129160,173682,317473
16,67777,92666,117684,154276,269201
17,62407,85113,107642,138005,231312
18,57176,78328,98822,124560,201722
19,52390,72104,91028,113890,179410
20,47988,66624,84334,105015,162321
21,44349,61831,78452,97564,149338
22,41232,57945,73650,91829,139140
23,38550,54712,69738,87560,131637
24,36714,52159,66687,84187,125426
25,35373,50180,64310,81564,121117
26,34576,48924,62676,79609,118249
27,34409,48303,61518,78520,116818
28,34689,48187,61057,77949,116657
29,35590,48802,60954,77900,117453
30,36915,49773,61444,78556,119230
31,38270,51120,62370,79874,121876
32,39490,52603,63585,81817,126241
33,40601,54052,65272,84344,131439
34,41656,55451,67026,87323,137715
35,42641,56990,68918,90715,144177
36,43743,58575,70993,94402,151029
37,44989,60380,73206,98269,157400
38,46511,62266,75456,101939,162812
39,48159,64353,77691,105204,166915
40,49951,66523,79802,108067,169530
41,51452,68604,81757,110384,170305
42,52759,70266,83310,112104,170568
43,54070,71560,84543,112778,170137
44,54743,72482,85383,112968,169097
45,55183,73101,85998,112722,167014
46,55374,73460,86154,111997,164113
47,55240,73667,86030,110824,160596
48,54882,73479,85667,109416,156639
49,54355,73027,85179,107958,152485
50,53657,72392,84558,106179,148214
51,52798,71592,83764,104368,143790
52,51791,70630,82928,102603,139148
53,50766,69561,81860,100963,134688
54,49752,68411,80862,99438,130481
55,48664,67116,79784,97764,126861
56,47466,65664,78709,95815,123632
57,46281,64211,77642,93991,120872
58,45139,62618,76525,92301,118624
59,43914,60988,75409,90607,116302
60,42660,59370,74204,89031,113910
61,41403,57770,72988,87676,111789
62,40273,56205,71854,86351,109672
63,39134,54656,70693,85173,107635
64,37984,53115,69484,84148,105993
65,36834,51585,68154,83170,104529
66,35682,50098,66698,82161,103133
67,34575,48555,65340,81194,101851
68,33486,47054,64062,80251,100689
69,32381,45693,62742,79363,99849
70,31272,44422,61411,78641,98980
71,30205,43182,59935,77943,98162
72,29175,41978,58456,77212,97550
73,28132,40792,57106,76506,97431
74,27069,39579,55786,75660,97406
75,26034,38377,54534,74814,97245
76,25051,37213,53278,74252,96986
77,24089,36020,52054,73483,96486
78,23140,34900,50883,72746,95778
79,22265,33802,49786,72031,95426
80,21461,32685,48738,71317,95122
81,20694,31598,47738,70584,94571
82,19923,30517,46698,69756,94020
83,19203,29467,45642,68881,93375
84,18554,28464,44649,67931,92653
85,17965,27511,43701,66985,92000
86,17430,26599,42847,65936,91293
87,16937,25730,41967,64880,90525
88,16469,24880,41032,63723,89734
89,16033,24024,40081,62541,88823
90,15619,23179,39096,61234,87744
91,15219,22394,38173,59907,86483
92,14832,21650,37268,58528,84898
93,14452,20931,36293,56995,83179
94,14073,20281,35280,55460,81311
95,13678,19665,34216,53868,79427
96,13263,19074,33122,52196,77297
97,12828,18528,31976,50603,75190
98,12376,18004,30830,48926,73004
99,11892,17458,29705,47104,70598
100,11395,16910,28582,45181,68085
