TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,593909,766299,822179,913045,1391134
2,536199,679688,728739,811761,1202630
3,477166,594269,646334,721231,1037671
4,413860,525191,573246,638182,900084
5,357570,460698,509039,552123,787055
6,308886,409484,452642,491379,688290
7,266735,367671,400183,433971,598167
8,233269,326264,354308,381823,517815
9,206538,291039,310324,337313,448258
10,180745,256064,272943,299495,388044
11,151409,204192,228475,253639,340067
12,130036,174391,195351,217080,286496
13,112078,150670,168902,187498,244419
14,97711,131712,147728,163784,210923
15,86549,116339,130743,144747,184834
16,77562,104084,116863,129366,163592
17,70319,94059,105443,116687,146161
18,64502,85771,96137,106327,131878
19,59908,79037,88535,97991,120562
20,56334,73632,82503,91270,111980
21,53633,69276,77676,85701,105135
22,51520,65859,73691,81164,99419
23,49934,63148,70423,77470,94773
24,48732,61091,67821,74539,91171
25,47811,59534,65789,72229,88278
26,47231,58509,64243,70423,86186
27,47237,58182,63301,69139,84622
28,47904,58656,63447,68884,84060
29,49570,60229,64859,70048,84965
30,51683,62828,67334,72549,87943
31,54231,65898,70495,75832,92084
32,56899,69298,73983,79376,96722
33,59766,72521,77295,82841,101548
34,62371,75518,80299,85975,106652
35,64493,78308,82983,88796,111363
36,66433,80687,85437,91319,115660
37,68119,82757,87632,93530,119454
38,69604,84548,89429,95387,122679
39,70771,85898,90828,96671,124975
40,71585,86768,91719,97445,126452
41,72018,87220,92192,97954,127687
42,72278,87295,92454,98287,128847
43,72280,87176,92530,98431,129340
44,72136,86922,92405,98272,129185
45,72034,86608,92089,97890,128717
46,71874,86221,91662,97308,127766
47,71650,85587,91159,96690,126619
48,71370,84921,90595,95946,125276
49,70828,84230,89899,95118,123681
50,70071,83359,89073,94257,122113
51,69138,82231,88004,93217,120602
52,68065,80901,86758,91917,119071
53,66940,79424,85338,90400,116864
54,65749,77837,83803,88738,114068
55,64447,76116,82062,86923,111007
56,62978,74292,80107,84965,108149
57,61407,72381,78066,82990,105548
58,59626,70402,76006,80933,103259
59,57689,68380,73901,78790,101221
60,55624,66324,71768,76671,98836
61,53491,64292,69575,74531,96068
62,51498,62281,67359,72299,93215
63,49632,60250,65125,70040,90461
64,47846,58180,62895,67811,87646
65,46077,56100,60695,65644,84868
66,44285,54046,58543,63481,82125
67,42530,52125,56423,61302,79445
68,40803,50240,54333,59138,76886
69,39117,48429,52318,57017,74304
70,37523,46708,50380,54911,71726
71,35987,45082,48531,52863,69091
72,34478,43495,46755,50923,66439
73,33009,41964,45065,49116,63800
74,31668,40492,43470,47421,61193
75,30453,39123,41988,45776,58616
76,29370,37867,40634,44241,56086
77,28399,36670,39366,42753,53680
78,27439,35536,38164,41344,51362
79,26572,34486,37039,40075,49170
80,25759,33471,35968,38861,47184
81,25015,32497,34963,37704,45427
82,24242,31546,34006,36580,43780
83,23472,30650,33085,35502,42279
84,22734,29768,32188,34450,40908
85,22034,28913,31319,33415,39640
86,21435,28091,30460,32445,38458
87,20844,27253,29633,31541,37353
88,20233,26424,28817,30686,36310
89,19641,25614,28002,29839,35331
90,19063,24782,27187,29008,34352
91,18502,23959,26356,28164,33394
92,17949,23170,25534,27295,32522
93,17390,22381,24701,26385,31716
94,16793,21598,23851,25461,30882
95,16162,20785,22988,24542,29985
96,15496,19963,22115,23618,29026
97,14830,19165,21238,22714,28020
98,14240,18384,20373,21825,27004
99,13662,17626,19538,20933,25957
100,13106,16911,18732,20064,24909
