TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,399828,494846,620932,869544,1447960
2,385213,475980,585420,811723,1317905
3,370217,455473,555025,756851,1199810
4,354851,434626,525932,719976,1086254
5,340000,411494,502239,674636,978162
6,325687,390968,472928,612928,880979
7,311300,371050,443988,558115,789053
8,295893,358658,415726,517789,716590
9,281248,340193,395767,484751,662520
10,267331,318934,375743,453784,610044
11,226273,275987,320703,390926,531521
12,209452,255404,295805,356471,476688
13,193735,236426,273369,325621,428578
14,179590,219073,253027,298134,386412
15,166987,203496,234541,273715,349951
16,155788,189782,218045,252175,318704
17,145740,177786,203455,233622,291855
18,136834,167168,190745,217794,268865
19,129060,157789,179728,204077,249044
20,122361,149686,170075,192211,231897
21,116697,142716,161712,181909,217365
22,111992,136725,154491,173099,205435
23,108002,131952,148544,165685,195596
24,105019,128166,143967,159797,187775
25,102889,125309,140626,155542,182725
26,101543,123577,138487,152836,179875
27,101340,122928,137602,151752,178733
28,102129,123284,137968,152127,179093
29,103906,124478,139334,153920,180290
30,106265,126696,141714,156534,182730
31,109417,129900,144937,160103,186746
32,113179,133927,148914,164425,192024
33,117598,138449,153332,169418,198182
34,122194,143509,158287,175014,205229
35,127156,148926,163825,180959,212962
36,132357,154538,169618,187214,221264
37,137875,160183,175731,193668,230045
38,143442,166023,181903,200175,239475
39,148955,171752,188156,206756,249314
40,154429,177292,194359,213279,259335
41,159598,182785,200462,219857,269254
42,164360,188051,206496,226375,278868
43,169051,192882,212264,232802,288517
44,173226,197452,217609,239046,298361
45,176902,201832,222603,245054,307363
46,180289,205885,227420,250884,315512
47,183321,209622,231831,256321,323243
48,185924,212993,235703,261407,330799
49,188074,216017,239113,265930,337640
50,189988,218595,242196,269952,343786
51,191531,220728,244703,273448,349351
52,192592,222400,246612,276429,353949
53,193145,223792,248077,278890,357766
54,193637,224649,249097,280837,360670
55,193496,225058,249626,282103,362654
56,192811,225065,249818,282830,363633
57,191603,224703,249489,283113,363850
58,190188,223920,248741,283156,363043
59,188480,222874,247439,282712,361633
60,186397,221606,245692,281792,359729
61,184105,219915,243532,280201,357279
62,181578,217803,241001,278029,354123
63,178777,215333,238165,275417,350322
64,175567,212555,235142,272352,345913
65,172021,209529,231840,268967,341164
66,168243,206046,228220,265221,335790
67,164216,202179,224338,261134,329781
68,160041,198132,220266,256680,323585
69,155736,193872,215958,252033,317194
70,151358,189480,211560,247088,310716
71,147062,185032,206783,241837,303775
72,142754,180407,201868,236166,296473
73,138457,175624,196891,230199,289018
74,134078,170765,191790,224034,281372
75,129736,165938,186610,217953,273610
76,125496,161091,181294,211819,265785
77,121360,156268,175928,205528,257910
78,117292,151422,170558,199071,250000
79,113345,146579,165238,192749,242027
80,109416,141709,159950,186454,234014
81,105473,136920,154652,180276,225981
82,101549,132274,149440,174101,217950
83,97731,127772,144269,167880,209914
84,94088,123345,139112,161652,201886
85,90647,118951,134108,155459,193852
86,87378,114699,129167,149270,186109
87,84334,110565,124321,143205,178465
88,81469,106464,119519,137262,170934
89,78754,102470,114772,131426,163504
90,76121,98574,110074,125690,156106
91,73470,94751,105601,120126,148910
92,70920,90997,101268,114781,141921
93,68414,87347,97044,109629,135140
94,65927,83829,92944,104659,128630
95,63516,80371,88963,99845,122354
96,61133,76994,85090,95193,116309
97,58804,73701,81333,90762,110485
98,56534,70501,77677,86440,104852
99,54321,67397,74119,82206,99524
100,52193,64397,70665,78086,94330
