TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,412422,499804,591817,791110,1502642
2,396935,478622,568474,743734,1377619
3,379237,458007,539629,683430,1260211
4,362328,437186,511004,641843,1126175
5,344454,420208,486510,601377,1006426
6,324987,399144,458239,563930,899438
7,310651,379724,435476,534643,803849
8,297588,360450,415867,505481,737618
9,285077,345173,399370,477577,692249
10,273092,327551,376028,444950,660307
11,235222,283584,323310,378702,548012
12,218776,263751,299798,347599,490253
13,203646,245377,277878,319438,440137
14,189669,228553,257932,294436,396199
15,177246,213410,240158,272120,358427
16,166065,199616,224230,252447,326336
17,156255,187378,210287,235334,298544
18,147621,176650,197917,220004,275521
19,140045,167286,187046,206662,255783
20,133383,159265,177449,195128,238807
21,127720,152427,169173,185306,224145
22,123079,146614,162193,177087,211445
23,119362,141936,156408,170338,201005
24,116704,138086,151819,165180,193765
25,114843,135358,148677,161744,188877
26,113854,133851,146875,159722,185881
27,113849,133410,146266,159297,184701
28,114590,134088,146886,160107,185546
29,116314,135657,148580,161973,188319
30,118785,138131,151180,164852,192353
31,122147,141472,154615,168607,197216
32,126191,145593,158830,173191,203347
33,130581,150295,163720,178497,209969
34,135382,155503,169072,184374,217384
35,140311,160856,174802,190861,225532
36,145521,166704,180795,197575,234222
37,150831,172699,186823,204344,243765
38,156134,178624,193005,211476,253311
39,161378,184429,199273,218575,263299
40,166514,189901,205447,225575,273517
41,171289,195038,211480,232476,283829
42,175721,199942,217117,239297,294534
43,179834,204429,222593,245580,305038
44,183399,208704,227587,251448,314908
45,186682,212541,232070,256815,324753
46,189443,215993,236081,261845,334510
47,191739,219070,239670,266294,344132
48,193335,221610,242734,270207,353334
49,194701,223718,245274,273708,361150
50,195526,225290,247342,276897,368342
51,195813,226436,248998,279528,375183
52,195683,227245,250239,281526,381185
53,195328,227615,251114,282977,386746
54,194816,227418,251595,284060,391751
55,193996,227021,251483,284459,396005
56,192828,226056,251044,284629,399372
57,191276,224696,250404,284334,402032
58,189401,223097,249435,283538,403838
59,187161,221340,247889,282278,404628
60,184765,219311,246017,280497,404294
61,182210,216998,243824,278125,402814
62,179424,214365,241300,275184,399911
63,176399,211519,238394,272100,395919
64,173203,208440,235243,268699,391154
65,169872,205146,231932,264820,385644
66,166531,201623,228369,260619,379422
67,163162,197926,224552,256224,372602
68,159917,194119,220440,251584,365218
69,156416,190182,216079,246723,357566
70,152950,186156,211570,241707,349667
71,149414,181955,206862,236667,341510
72,145839,177536,202077,231592,333242
73,142314,173120,197178,226310,325027
74,138839,168787,192243,220819,316584
75,135326,164427,187277,215118,307959
76,131849,160068,182218,209247,299047
77,128349,155768,177018,203306,289896
78,124805,151386,171697,197295,280544
79,121262,146949,166378,191251,271058
80,117614,142504,161055,185144,261537
81,113917,138135,155743,178982,252025
82,110219,133794,150574,172859,242720
83,106543,129541,145482,166757,233622
84,102912,125361,140433,160808,224733
85,99365,121213,135407,154984,216117
86,95910,117118,130438,149221,207643
87,92543,113021,125558,143470,199154
88,89257,108908,120789,137814,190799
89,86051,104866,116129,132196,182593
90,82926,100919,111543,126661,174557
91,79881,97067,107066,121204,166773
92,76883,93301,102643,115888,159275
93,73849,89583,98321,110743,151949
94,70860,85922,94121,105802,144936
95,68013,82358,90036,101014,138200
96,65245,78873,86072,96385,131783
97,62581,75456,82192,91912,125629
98,60043,72168,78443,87599,119734
99,57625,68989,74844,83389,113887
100,55348,65899,71368,79338,108155
