TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,376199,540656,656161,915324,1794094
2,358082,508427,624138,851993,1632346
3,341517,481456,581234,799621,1498559
4,326981,462632,541896,750045,1383530
5,312395,440322,510897,703072,1277345
6,300447,419685,481654,666176,1170285
7,289504,388830,462773,622731,1070206
8,274522,360892,439441,578136,974338
9,256223,339016,413382,543374,891369
10,239683,317304,394512,501401,843376
11,215962,283768,334500,419765,646324
12,201284,261808,308439,382860,574786
13,187796,242060,284630,349598,512038
14,175467,224285,263352,319688,456948
15,164146,208244,244367,293324,409595
16,154011,193949,227568,270078,368660
17,144948,181424,212702,249608,333515
18,136954,170521,199553,231557,303467
19,130090,161231,188057,216068,278160
20,124206,153388,178062,202593,256689
21,119324,146733,169351,191110,238200
22,115369,141416,161984,181572,222948
23,112354,136962,155890,173621,210132
24,110074,133401,151266,167473,200449
25,108358,130904,147873,163234,194270
26,107233,129442,145880,160632,190453
27,107169,129145,145192,159595,188881
28,107980,129710,145946,159878,189010
29,109689,131474,147833,161706,190440
30,112279,134080,150746,164651,193114
31,115657,137602,154518,168537,197293
32,119505,142211,159068,173120,202617
33,123874,147335,164225,178566,209164
34,128742,152906,169865,184858,216890
35,134085,158857,175870,191694,225233
36,139718,165189,182140,199012,234342
37,145623,171588,188688,206651,243863
38,151593,178218,195335,214771,253602
39,157560,184806,201998,222838,263341
40,163686,191147,208586,230906,272968
41,169640,197365,215152,238865,282340
42,175171,203200,221564,246725,291600
43,180289,208862,227838,253951,301089
44,184976,214317,233691,260777,310645
45,189305,219364,239209,267218,320070
46,193523,223904,244438,273315,329234
47,197243,227727,249273,279185,337855
48,200428,231135,253486,284584,345676
49,203038,233998,257101,289168,352954
50,205139,236349,260172,293106,359677
51,206828,238215,262664,296648,365685
52,208163,239549,264561,299593,370956
53,208996,240318,266017,301871,375203
54,209301,240658,267097,303349,378407
55,209182,240514,267800,303984,380596
56,208637,239755,268000,303991,381721
57,207626,238633,267712,303297,382068
58,206264,237020,266853,302038,381888
59,204520,235019,265433,300308,380991
60,202269,232566,263633,298146,379641
61,199665,229755,261270,295556,377415
62,196833,226623,258402,292422,374161
63,193782,223267,255054,289086,369832
64,190563,219565,251359,285484,364723
65,187180,215701,247318,281581,358966
66,183503,211597,243039,277306,352964
67,179617,207229,238440,272671,346583
68,175617,202732,233479,267879,339792
69,171573,198076,228278,262798,332564
70,167453,193370,223009,257346,324930
71,163259,188594,217719,251586,316851
72,158967,183749,212428,245628,308396
73,154588,178899,206994,239650,299892
74,150104,173995,201457,233647,291397
75,145530,168962,195875,227554,282895
76,140883,163920,190204,221317,274400
77,136262,158843,184497,215014,265947
78,131809,153815,178815,208561,257456
79,127384,148798,173204,202150,248920
80,123007,143939,167588,195693,240322
81,118661,139193,161955,189238,231810
82,114351,134553,156354,182668,223479
83,110094,129950,150864,176085,215325
84,105899,125492,145500,169516,207277
85,101775,121010,140299,162948,199331
86,97788,116616,135150,156559,191463
87,93929,112352,130088,150278,183733
88,90160,108140,125170,144132,176385
89,86473,104048,120277,138130,169304
90,82916,99972,115399,132302,162466
91,79501,95975,110616,126590,155765
92,76190,92073,105911,120992,149132
93,72960,88328,101310,115486,142573
94,69869,84745,96854,110115,136112
95,66918,81332,92539,104933,129868
96,64074,77956,88403,99917,123759
97,61264,74669,84395,95093,117730
98,58575,71477,80538,90473,111836
99,56059,68368,76767,85979,106116
100,53725,65330,73133,81642,100560
