TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,7446428,12788188,18174539,25916441,54543440
2,7335597,12582159,17931150,25598526,53377526
3,7225699,12400562,17724526,25098216,52272949
4,7114691,12142866,17534715,24478900,51213836
5,7005598,11904464,17231848,24205814,50180749
6,6898382,11670840,17033410,24198063,49172972
7,6793009,11448565,16827620,24191186,48435074
8,6689446,11250904,16615530,24082429,48062144
9,6587659,11056676,16471868,23932725,47692887
10,6487613,10875210,16231951,23448901,47275736
11,6417841,10928672,15930903,23474222,47689112
12,6314747,10755938,15693486,23249484,47159012
13,6212569,10582087,15458162,23028955,46668688
14,6111347,10400244,15223506,22821015,46215446
15,6011840,10221681,14988981,22625079,45797329
16,5914382,10048988,14759606,22415755,45413291
17,5816621,9880064,14521634,22187696,45062369
18,5718518,9713098,14272359,21940364,44732322
19,5618499,9548773,14022092,21677666,44360484
20,5516753,9387049,13768105,21397184,43942502
21,5413431,9225268,13509769,21111041,43484051
22,5307536,9061061,13244193,20808768,42994071
23,5198645,8897313,12977136,20502633,42468732
24,5088969,8726034,12703248,20159090,41904011
25,4979060,8552213,12436584,19790178,41266347
26,4870383,8377067,12172367,19405015,40569260
27,4761515,8200814,11905897,19001782,39816107
28,4653572,8024554,11627037,18605388,39009990
29,4548310,7847130,11359225,18181188,38154397
30,4442961,7666268,11092235,17737737,37237161
31,4335553,7482443,10826859,17288294,36230720
32,4227109,7298561,10556136,16827885,35143558
33,4117846,7121427,10279458,16350508,33984649
34,4007882,6947651,9997658,15860226,32763334
35,3898098,6766359,9712752,15365377,31489194
36,3788925,6578499,9425487,14877685,30171933
37,3680219,6386080,9140852,14387529,28852326
38,3571070,6187675,8860070,13892342,27542940
39,3462711,5985098,8578499,13394627,26275737
40,3354051,5779008,8295531,12907713,25056148
41,3245325,5574858,8012602,12426972,23905868
42,3137446,5375253,7735843,11953893,22778276
43,3030940,5174246,7462092,11481760,21674946
44,2924924,4975155,7195393,11017125,20600121
45,2819565,4775405,6929383,10559649,19567251
46,2713765,4573132,6664047,10109829,18575435
47,2608336,4369721,6398353,9665686,17611453
48,2502546,4167510,6138423,9217704,16669217
49,2396172,3968550,5877991,8783036,15751818
50,2291055,3774526,5622713,8357780,14867357
51,2188763,3585388,5370861,7938173,14021875
52,2089334,3401447,5124760,7528335,13221211
53,1992356,3221325,4886465,7132690,12464081
54,1897918,3047383,4662151,6749616,11752772
55,1806068,2880295,4441134,6381660,11084380
56,1716177,2721272,4221825,6023836,10456188
57,1629845,2568291,4008064,5677350,9855035
58,1547458,2422800,3797669,5347629,9277907
59,1468166,2284981,3592670,5035118,8724573
60,1392628,2154100,3395116,4736385,8193601
61,1320265,2028646,3204252,4449229,7680779
62,1250959,1908113,3019074,4175831,7200172
63,1184609,1794566,2840300,3917181,6753021
64,1121135,1688411,2670820,3672081,6324812
65,1060865,1588947,2510849,3439975,5919002
66,1003300,1496399,2357588,3219994,5534771
67,948476,1408597,2214313,3014139,5174909
68,896266,1325324,2078981,2820025,4839946
69,846766,1246940,1949983,2638035,4527737
70,799831,1173494,1828376,2467310,4235428
71,755639,1104897,1711471,2307632,3963705
72,713552,1040462,1601295,2158020,3709978
73,673638,979761,1497108,2017741,3472791
74,635810,922617,1396597,1886278,3251548
75,599808,868826,1302217,1762203,3043752
76,565713,818834,1214245,1646000,2845772
77,533211,772118,1131829,1538000,2657435
78,502002,728101,1055333,1436338,2478544
79,472541,686449,983912,1340332,2308831
80,444666,647262,917158,1249149,2147036
81,418435,610016,854940,1163399,1995042
82,393609,574366,797768,1083305,1850196
83,370167,540985,744228,1007402,1711699
84,348027,509333,694048,936246,1582696
85,326997,479032,646547,869513,1461776
86,307282,450026,601849,807197,1350200
87,288863,422868,559382,748578,1245381
88,271533,397255,519766,694094,1147759
89,255236,372800,482806,643059,1056924
90,240024,349431,447913,595215,971678
91,225581,327220,415748,550500,892639
92,211913,306131,385751,509043,820067
93,199086,286059,357709,470108,753129
94,186683,267060,331688,433751,690321
95,174997,249166,307542,399720,631817
96,163951,232068,285248,368364,577580
97,153446,215802,264525,339255,527661
98,143722,200598,245273,311866,481870
99,134506,186335,227255,286599,439828
100,125781,172907,210328,263267,401358
