TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,815586,1123404,1573982,2711398,8961677
2,722771,992133,1355777,2277681,6972620
3,640532,876203,1172599,1896759,5438671
4,567441,773820,1016709,1579696,4245517
5,511001,683402,881566,1315760,3315812
6,451533,603363,756235,1096034,2595791
7,398712,530784,648809,910231,2042045
8,352091,468734,564153,764188,1566890
9,310941,413200,486657,649065,1223741
10,275120,358074,418375,551002,958066
11,247370,319402,377571,492104,940747
12,213355,276897,323950,413161,751899
13,182706,239395,277703,347422,604646
14,154651,206114,237773,292318,487963
15,131277,176784,203206,246219,395274
16,112577,151849,173615,207647,321739
17,97109,130703,148670,175483,262987
18,83944,112824,127580,148780,216784
19,72804,97400,109597,126803,181399
20,63322,84238,94382,108400,154238
21,55164,72915,81562,92918,133603
22,48100,63327,70685,80194,117519
23,42097,55225,61511,69672,104481
24,36958,48308,53862,60991,93520
25,32556,42483,47450,53872,84205
26,28848,37566,42071,47957,76184
27,25740,33436,37548,42875,69288
28,23082,29993,33715,38549,63073
29,20846,27030,30481,34855,57550
30,18916,24518,27706,31697,52632
31,17286,22410,25333,28979,48303
32,15924,20636,23268,26620,44423
33,14823,19090,21519,24553,40870
34,14012,17773,20019,22787,37837
35,13255,16659,18722,21288,35276
36,12490,15670,17607,20003,33067
37,11741,14755,16618,18901,31166
38,11090,13953,15754,17949,29461
39,10512,13280,15014,17089,27776
40,9997,12693,14387,16347,26083
41,9563,12233,13857,15727,24383
42,9228,11858,13416,15188,22726
43,8946,11545,13069,14727,21185
44,8715,11299,12775,14334,19893
45,8539,11107,12536,13973,18817
46,8402,10955,12344,13683,17951
47,8287,10849,12201,13490,17291
48,8212,10780,12109,13363,16873
49,8180,10764,12056,13298,16652
50,8235,10784,12055,13282,16577
51,8364,10833,12099,13319,16654
52,8555,10919,12205,13430,16858
53,8781,11078,12349,13606,17205
54,9048,11301,12541,13843,17645
55,9359,11584,12813,14142,18171
56,9683,11901,13131,14500,18769
57,10058,12278,13494,14912,19456
58,10452,12670,13905,15376,20212
59,10863,13084,14350,15912,21053
60,11304,13524,14812,16481,21967
61,11753,13959,15286,17079,22889
62,12183,14384,15777,17711,23821
63,12606,14804,16255,18367,24790
64,13028,15218,16730,19026,25694
65,13432,15617,17187,19684,26548
66,13801,16016,17623,20310,27354
67,14149,16387,18049,20894,28120
68,14465,16728,18448,21430,28828
69,14737,17035,18819,21930,29483
70,14958,17319,19153,22380,30115
71,15134,17580,19442,22780,30648
72,15284,17805,19695,23122,31100
73,15420,17982,19906,23440,31478
74,15526,18125,20083,23700,31762
75,15603,18230,20207,23867,31962
76,15655,18303,20303,23989,32129
77,15684,18352,20359,24071,32244
78,15688,18377,20363,24097,32275
79,15673,18374,20324,24029,32224
80,15641,18345,20246,23936,32116
81,15585,18282,20120,23785,31957
82,15506,18188,19966,23556,31743
83,15404,18058,19779,23257,31454
84,15278,17891,19549,22923,31117
85,15131,17685,19286,22565,30725
86,14964,17442,18990,22181,30265
87,14780,17168,18666,21773,29741
88,14592,16871,18317,21349,29191
89,14399,16563,17949,20902,28606
90,14194,16244,17573,20450,27957
91,13971,15909,17193,20000,27294
92,13731,15566,16798,19529,26633
93,13471,15218,16400,19026,25964
94,13193,14864,16000,18519,25304
95,12901,14502,15598,18022,24626
96,12594,14136,15184,17513,23947
97,12280,13768,14771,16995,23267
98,11965,13396,14359,16473,22560
99,11642,13020,13954,15955,21840
100,11315,12648,13553,15432,21087
