TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,829973,1181971,1927942,3290506,9825359
2,743680,1026663,1639701,2730695,7636723
3,661244,901208,1394621,2266126,5981213
4,587839,795076,1186227,1880596,4684600
5,522440,698507,1004165,1560657,3669077
6,464328,617259,858529,1295148,2873705
7,412690,537651,734114,1074811,2250757
8,366804,471574,627306,886693,1762854
9,326028,411682,540593,724754,1349853
10,289794,361822,452175,606313,1032286
11,254270,326238,415808,557068,964991
12,219955,282266,354029,464934,767871
13,188597,243101,301088,388890,613867
14,160751,207927,255610,325474,493258
15,136259,177650,217086,272570,397600
16,115677,151905,184802,228515,322011
17,99079,130564,157635,192304,263396
18,84978,112730,134743,162431,219613
19,73386,97550,115401,137615,186121
20,63679,84631,99287,117255,161115
21,55366,73521,85719,100497,141201
22,48226,64005,74269,86772,125893
23,42072,55863,64686,75533,113105
24,36937,48987,56682,66300,102164
25,32548,43140,49997,58671,92229
26,28845,38171,44433,52366,83317
27,25713,33979,39695,47083,75642
28,23112,30444,35629,42529,68948
29,20936,27460,32165,38514,63272
30,19126,24976,29167,34994,58287
31,17480,22841,26648,31914,53908
32,16099,21021,24471,29264,50012
33,14988,19510,22632,26969,46389
34,14083,18297,21093,25025,43118
35,13348,17238,19770,23356,40333
36,12689,16284,18595,21927,37874
37,12001,15379,17554,20670,35581
38,11408,14539,16632,19587,33171
39,10847,13776,15846,18665,30816
40,10337,13144,15134,17852,28398
41,9909,12616,14543,17134,26197
42,9543,12180,14048,16489,24085
43,9245,11818,13624,15890,22265
44,8967,11527,13278,15343,20763
45,8739,11299,12995,14870,19634
46,8557,11123,12747,14480,18775
47,8407,11007,12562,14169,18140
48,8304,10933,12434,13945,17676
49,8243,10895,12372,13839,17333
50,8221,10895,12364,13812,17133
51,8303,10952,12402,13863,17071
52,8472,11055,12482,13971,17125
53,8693,11211,12614,14147,17347
54,8956,11422,12802,14390,17718
55,9266,11688,13043,14713,18174
56,9622,12014,13346,15104,18745
57,10029,12377,13703,15561,19401
58,10449,12777,14121,16064,20117
59,10875,13237,14591,16634,20864
60,11308,13689,15100,17249,21664
61,11743,14155,15628,17884,22516
62,12198,14626,16175,18554,23407
63,12674,15107,16736,19251,24341
64,13169,15567,17288,19944,25315
65,13655,16014,17828,20638,26304
66,14119,16461,18355,21330,27294
67,14575,16879,18861,22002,28212
68,14981,17270,19351,22641,29064
69,15352,17635,19812,23221,29863
70,15673,17956,20246,23768,30598
71,15937,18249,20643,24290,31234
72,16134,18498,21003,24765,31824
73,16294,18724,21319,25177,32400
74,16421,18908,21583,25533,32909
75,16519,19054,21801,25832,33368
76,16577,19162,21967,26072,33749
77,16598,19243,22096,26229,34056
78,16606,19298,22170,26322,34308
79,16608,19314,22166,26346,34483
80,16588,19293,22107,26321,34609
81,16538,19236,22010,26254,34692
82,16452,19147,21865,26126,34700
83,16334,19020,21665,25938,34653
84,16192,18863,21421,25702,34510
85,16035,18671,21134,25408,34255
86,15857,18443,20816,25043,33919
87,15655,18189,20476,24630,33529
88,15436,17905,20119,24200,33080
89,15205,17597,19750,23749,32575
90,14964,17279,19369,23287,32017
91,14714,16947,18963,22812,31408
92,14456,16606,18539,22327,30764
93,14184,16244,18095,21825,30033
94,13909,15877,17639,21306,29241
95,13629,15503,17178,20759,28440
96,13341,15121,16710,20202,27618
97,13044,14734,16232,19636,26803
98,12741,14344,15753,19055,25959
99,12429,13944,15280,18448,25097
100,12120,13551,14816,17835,24187
