TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,742439,1177394,1676969,3295101,9899621
2,671474,1033896,1440402,2712943,7725156
3,601739,907807,1243566,2231690,6029327
4,538896,792209,1060043,1833043,4706557
5,482270,693970,898429,1506389,3674608
6,432243,613796,763121,1243905,2869407
7,387408,537247,655410,1022532,2241119
8,347223,468699,567750,853355,1752908
9,311207,408795,488293,685398,1371281
10,278927,357462,422898,554462,1072922
11,241116,317191,382689,522690,962018
12,208751,272849,327657,434829,763148
13,179290,233428,280543,362673,608689
14,152739,199247,239787,302993,487694
15,129507,169711,204587,253379,391954
16,110300,145247,174934,212269,316408
17,94727,124720,149978,178383,257138
18,82174,107310,128708,150593,212404
19,71148,92646,110673,127567,179067
20,61707,80215,95492,108866,154020
21,53705,69557,82638,93776,134770
22,46797,60464,71778,81582,118489
23,40931,52745,62662,71693,104667
24,35932,46229,54953,63456,92698
25,31605,40750,48567,56624,82789
26,27964,36057,43158,50851,74853
27,24892,32109,38605,45870,68453
28,22341,28793,34671,41498,62621
29,20214,26002,31359,37674,57413
30,18349,23667,28456,34310,52964
31,16764,21715,25955,31376,49080
32,15396,20080,23805,28785,45425
33,14308,18717,21952,26546,42160
34,13442,17551,20373,24633,39251
35,12729,16535,19030,23020,36774
36,12078,15562,17844,21627,34578
37,11440,14644,16796,20416,32689
38,10770,13853,15881,19335,30712
39,10206,13152,15104,18405,28634
40,9707,12542,14422,17588,26482
41,9264,12028,13839,16833,24371
42,8874,11596,13349,16123,22624
43,8542,11264,12941,15439,21185
44,8254,10995,12614,14852,20163
45,8048,10787,12324,14346,19350
46,7887,10640,12086,13919,18637
47,7762,10533,11906,13598,18012
48,7681,10472,11799,13387,17587
49,7649,10442,11737,13270,17313
50,7698,10451,11750,13263,17142
51,7806,10488,11813,13319,17097
52,7986,10575,11911,13458,17275
53,8202,10726,12064,13661,17565
54,8466,10927,12278,13919,17963
55,8775,11198,12555,14242,18455
56,9096,11520,12890,14636,19074
57,9428,11898,13268,15087,19751
58,9801,12290,13712,15600,20531
59,10203,12706,14188,16167,21350
60,10628,13142,14703,16758,22224
61,11062,13598,15229,17376,23158
62,11529,14070,15769,18022,24122
63,11986,14511,16307,18687,25119
64,12446,14946,16840,19358,26017
65,12863,15357,17379,20009,26904
66,13255,15767,17918,20670,27797
67,13642,16163,18433,21289,28671
68,13991,16520,18921,21868,29492
69,14300,16850,19377,22398,30255
70,14575,17138,19786,22857,30948
71,14809,17398,20155,23271,31572
72,15016,17634,20494,23620,32068
73,15182,17836,20772,23911,32490
74,15308,18010,20988,24159,32888
75,15398,18154,21162,24345,33241
76,15463,18269,21280,24474,33546
77,15501,18349,21362,24535,33777
78,15506,18400,21394,24549,33921
79,15489,18414,21364,24507,34004
80,15446,18387,21288,24442,34028
81,15380,18319,21176,24328,33983
82,15286,18212,21008,24163,33872
83,15164,18074,20809,23958,33684
84,15017,17898,20585,23688,33405
85,14848,17682,20323,23406,33035
86,14659,17432,20029,23068,32583
87,14451,17159,19691,22710,32093
88,14227,16864,19332,22337,31578
89,13990,16550,18959,21938,31012
90,13733,16223,18572,21521,30412
91,13460,15889,18163,21088,29797
92,13174,15545,17741,20651,29167
93,12881,15190,17314,20193,28522
94,12583,14823,16890,19720,27832
95,12282,14445,16462,19232,27083
96,11979,14066,16036,18740,26290
97,11675,13693,15606,18240,25491
98,11360,13326,15174,17732,24675
99,11052,12964,14745,17212,23846
100,10754,12611,14316,16678,22982
