TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,3622650,4447820,4649252,4928489,7438853
2,3331401,4082636,4230087,4507473,6750353
3,2997339,3702805,3882475,4142175,6125614
4,2673823,3376885,3567612,3763982,5558729
5,2385770,3058566,3252897,3443081,5044336
6,2132817,2780092,2975859,3162069,4558693
7,1915491,2558021,2716605,2904782,4075955
8,1724970,2332060,2473441,2681112,3644745
9,1536523,2120500,2269782,2451050,3259523
10,1369081,1932122,2073982,2240275,2915344
11,1016360,1431256,1598484,1779860,2573859
12,858489,1216224,1362349,1518924,2194845
13,729048,1038202,1170126,1306508,1877165
14,617488,885477,1000779,1117588,1591376
15,524324,748783,849753,954282,1353142
16,446775,637467,724627,815491,1154486
17,381603,545879,621360,699549,983856
18,328525,470356,536317,603779,848360
19,286390,409202,468192,526851,746535
20,253402,361901,418077,472738,670171
21,228124,326273,378710,429716,611905
22,208626,298029,347920,395345,567598
23,192919,276108,323789,369515,535535
24,181547,258720,305793,350427,512851
25,172492,245677,292763,336765,496727
26,166513,236322,283059,327128,485423
27,164293,230538,276833,321068,478569
28,167813,233153,275326,320300,478364
29,175666,245614,287290,333433,485445
30,186951,264362,309935,361234,516182
31,199189,286249,337547,396566,567544
32,214374,310706,368933,435192,623794
33,231034,338076,402663,477629,688853
34,251616,370655,443818,530394,773094
35,275607,412550,495795,593462,870833
36,303294,459517,554526,667622,981680
37,335582,512509,620642,751366,1112313
38,371090,571616,694907,843920,1252537
39,408241,635102,774062,941392,1390146
40,445986,698144,847241,1025546,1520988
41,482649,756963,918265,1107929,1643213
42,518224,814510,986057,1187618,1755906
43,554622,868951,1050478,1257936,1852424
44,587865,921179,1107280,1318851,1928061
45,621178,969115,1156443,1369592,1985936
46,652276,1013165,1201298,1412945,2034056
47,682795,1053146,1240983,1449965,2074846
48,711155,1088293,1278686,1476484,2105604
49,737402,1120759,1313366,1496352,2121809
50,760162,1148751,1342981,1512266,2130399
51,779099,1174378,1365644,1524422,2131561
52,794551,1196184,1383173,1535308,2124468
53,806094,1214709,1398517,1540547,2112144
54,813547,1229973,1411422,1543014,2096083
55,816808,1242693,1420979,1544024,2078842
56,815904,1251083,1430105,1542337,2064436
57,810198,1254499,1436498,1541542,2054608
58,801599,1253873,1437836,1540252,2047188
59,789781,1248923,1437468,1539857,2041216
60,774895,1240901,1435269,1541221,2035068
61,757133,1229531,1431935,1542939,2031650
62,736678,1214739,1426266,1544076,2027312
63,713768,1196790,1419211,1545443,2019864
64,688708,1176928,1410242,1546762,2016028
65,663245,1154338,1399263,1548347,2015558
66,637725,1129082,1386053,1549998,2012816
67,612012,1101710,1370776,1551927,2008823
68,586445,1073228,1351706,1553385,2008184
69,562004,1043514,1329823,1553223,2012512
70,539350,1013472,1304953,1552208,2016605
71,518337,981855,1278293,1549118,2022642
72,498844,949387,1248966,1542903,2027570
73,480762,916467,1217771,1534173,2031338
74,463903,883890,1185102,1522089,2033214
75,448115,851159,1150980,1503742,2027752
76,433328,819019,1114449,1480440,2018887
77,419917,787934,1077128,1452518,2006840
78,406971,757558,1040347,1421206,1991604
79,394618,728701,1002580,1384233,1969834
80,382825,700713,964585,1342995,1947791
81,371564,674120,926565,1298864,1924837
82,360879,648486,889411,1253415,1904284
83,350765,623876,851868,1206244,1884722
84,341181,600239,814536,1157173,1862988
85,331712,577362,778613,1106753,1838428
86,322410,555051,743290,1055653,1808792
87,313316,533262,709390,1004572,1773620
88,304447,512499,677083,953724,1732744
89,295798,492387,646109,903769,1685757
90,287367,472617,615812,854353,1634863
91,279155,453759,586559,806541,1578311
92,271032,435638,558316,760256,1518708
93,262979,418044,531060,715289,1456517
94,255052,400832,505043,672151,1391581
95,247292,383918,480240,632265,1326300
96,239694,367520,456677,595229,1259972
97,232297,351540,433769,560627,1191395
98,224900,336125,411552,528196,1120107
99,217471,321072,390150,498187,1050660
100,209998,306425,369709,469664,981320
