TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,1889552,2788666,2935990,3184042,4232374
2,1829864,2626257,2759435,3014588,3937473
3,1772108,2459392,2589169,2824859,3663121
4,1716217,2314597,2432405,2659431,3407883
5,1662135,2179965,2284790,2497130,3170431
6,1609798,2048309,2145543,2333353,2949524
7,1559150,1932711,2020582,2163787,2755438
8,1510134,1833512,1899639,2016167,2592065
9,1462696,1730500,1788942,1894261,2439881
10,1411861,1623683,1674882,1781735,2298662
11,1227242,1455311,1523479,1636524,2034120
12,1145394,1339492,1402304,1505197,1858632
13,1062989,1230380,1287903,1381445,1693231
14,985542,1129946,1182138,1266498,1541403
15,909597,1035598,1084107,1158324,1401927
16,838685,949814,995257,1060470,1274360
17,772645,872013,914613,972514,1160559
18,713550,801822,842422,894140,1057847
19,659326,738796,777831,824480,967047
20,610124,682507,720394,762431,886150
21,566186,632491,669348,707510,813542
22,526678,588686,624348,658848,749468
23,491253,550198,584465,615807,693589
24,459480,516567,549598,577901,645688
25,431460,487857,519152,545207,605772
26,407713,463653,493546,517456,573684
27,388652,444224,472793,494827,547749
28,373652,428727,456527,477089,527447
29,363125,417266,444244,463765,511299
30,355559,409209,435608,454192,499813
31,350948,404091,430004,448070,492468
32,349187,402031,427483,445185,489087
33,350636,402663,427880,445328,489467
34,353229,405380,430545,447776,492410
35,358274,410839,435651,453579,498493
36,364901,417879,442317,461166,507412
37,373327,426318,450722,470365,518470
38,382552,436209,460205,480820,532183
39,393002,447056,470912,492333,547367
40,404303,458935,482219,505007,564788
41,415995,471570,494385,518689,585593
42,428457,484357,506711,533048,606707
43,441447,497187,519459,548070,628140
44,455261,510115,532375,563139,649557
45,469571,523124,545279,578312,670739
46,483788,536375,558197,593584,691246
47,497480,549272,570830,608869,711358
48,510681,561917,583106,624269,730598
49,522419,573744,594859,639292,749861
50,534006,584995,606281,654015,768322
51,544507,595652,617272,668564,785329
52,554612,605546,627849,682155,800669
53,563774,614441,637622,694355,814645
54,572694,622294,646643,705742,828152
55,581427,629068,654561,715305,840434
56,589298,634924,661478,723619,851961
57,596024,639936,667058,731121,862010
58,601084,643676,671527,737479,869895
59,605144,646427,674777,742841,876245
60,607968,648089,677097,746613,880285
61,609788,648860,678259,748671,881250
62,610712,648812,678654,749022,881753
63,610852,648098,677753,748027,882072
64,609612,646350,676090,746306,879899
65,606952,643261,673488,743623,875733
66,603251,639009,669720,739515,870571
67,598240,633660,665066,734032,864699
68,592307,627321,659423,727103,857636
69,585587,619984,652859,719119,849121
70,578050,611679,645194,710326,839007
71,569716,602506,636540,700467,827974
72,560229,592620,626743,689781,816235
73,549884,582182,616237,678542,804400
74,538608,571042,604975,667053,792237
75,526719,559474,593123,655084,779988
76,514180,547366,580799,642367,767605
77,500876,534858,568227,628924,754854
78,487361,522004,555314,615089,741593
79,473450,508787,541998,600561,727528
80,459421,495361,528347,585614,712352
81,445322,481634,514322,570305,695595
82,431188,467651,499969,554882,678088
83,417023,453601,485538,539163,659257
84,403142,439539,470782,523426,640518
85,389522,425710,456019,507158,621724
86,376186,411993,441344,490832,602849
87,363156,398521,426892,474481,584218
88,350356,385309,412584,458240,566199
89,338069,372507,398477,442426,548876
90,325893,359981,384693,426695,532005
91,313887,347694,371094,411331,515463
92,302358,335625,357926,396314,498261
93,291343,323777,345023,381421,481082
94,280806,312241,332364,366660,463476
95,270551,300912,319992,352249,445386
96,260669,289833,307831,338172,426824
97,251220,279170,295930,324345,407862
98,242020,268771,284292,310795,389286
99,233044,258699,273005,297628,371280
100,224307,248720,262081,284878,354029
