TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,468089,715190,984678,1347824,2536432
2,450203,660516,890880,1204108,2185637
3,425721,608702,804047,1075574,1883358
4,402569,563373,729240,961629,1622884
5,380680,523767,665140,852784,1398436
6,359980,485191,605766,761754,1205028
7,340406,454525,552962,675474,1038370
8,320736,418953,502587,597338,894763
9,300385,392014,450328,530642,771014
10,281224,362293,408099,479825,667221
11,254318,329778,389849,463164,663413
12,234721,301036,352919,414759,580678
13,215945,274495,318941,371456,509254
14,198285,249833,287841,332458,447594
15,181347,226958,259571,297638,394705
16,165263,205751,234118,266835,349390
17,150491,186520,211194,239809,309662
18,137105,169238,190687,216265,276232
19,124856,153745,172747,195593,248245
20,113882,139878,157135,177460,224805
21,103992,127533,143402,161462,204326
22,95331,116650,131273,147472,186140
23,87625,107197,120508,135248,170411
24,80748,98763,110889,124416,156294
25,74573,91252,102423,114838,143631
26,68987,84649,94865,106246,132410
27,64053,78665,88151,98683,122755
28,59780,73324,82177,91836,114019
29,56026,68576,76838,85771,106676
30,52636,64415,72053,80475,100307
31,49679,60881,67810,75799,94649
32,47166,57846,64122,71640,89665
33,44926,55145,60949,67966,85227
34,42915,52729,58228,64776,81321
35,41196,50614,55845,61996,77747
36,39738,48801,53707,59526,74432
37,38407,47144,51838,57272,71638
38,37186,45593,50164,55186,68886
39,36118,44194,48592,53275,66105
40,35138,42881,47083,51517,63285
41,34230,41652,45674,49891,60731
42,33312,40480,44375,48358,58496
43,32447,39336,43143,46914,56370
44,31622,38275,41989,45583,54549
45,30897,37271,40878,44317,53009
46,30251,36315,39864,43180,51591
47,29642,35473,38913,42148,50216
48,29055,34679,38020,41204,49051
49,28528,33948,37201,40333,47900
50,28091,33258,36445,39550,46831
51,27706,32622,35759,38844,45873
52,27345,32042,35156,38218,45010
53,27044,31521,34605,37655,44256
54,26801,31099,34122,37157,43550
55,26602,30732,33688,36694,42946
56,26433,30407,33282,36285,42468
57,26302,30141,32911,35912,42059
58,26166,29910,32585,35580,41716
59,26020,29696,32266,35269,41449
60,25865,29497,31982,34992,41279
61,25720,29317,31699,34741,41172
62,25585,29167,31437,34525,41102
63,25450,29018,31210,34330,41078
64,25334,28870,31013,34141,41058
65,25178,28724,30825,33994,40995
66,25006,28583,30653,33844,40938
67,24834,28434,30483,33684,40897
68,24656,28298,30317,33530,40842
69,24456,28156,30157,33355,40797
70,24254,28015,30000,33175,40713
71,24045,27861,29847,32972,40593
72,23843,27697,29684,32763,40454
73,23630,27530,29502,32542,40306
74,23407,27350,29289,32312,40173
75,23184,27167,29074,32076,40033
76,22962,26970,28871,31825,39867
77,22737,26750,28654,31570,39662
78,22518,26516,28426,31305,39449
79,22305,26274,28190,31055,39211
80,22091,26018,27941,30780,38935
81,21878,25744,27686,30481,38611
82,21664,25459,27412,30160,38244
83,21447,25175,27130,29813,37844
84,21227,24881,26829,29448,37411
85,20999,24585,26508,29057,36952
86,20764,24274,26165,28664,36481
87,20524,23964,25817,28254,35968
88,20279,23647,25456,27837,35428
89,20031,23327,25081,27413,34883
90,19789,23004,24693,26967,34322
91,19558,22677,24304,26513,33747
92,19315,22342,23906,26059,33144
93,19068,22000,23514,25603,32516
94,18819,21653,23131,25141,31859
95,18567,21291,22743,24672,31177
96,18314,20928,22353,24200,30470
97,18061,20571,21959,23722,29754
98,17807,20212,21560,23243,29043
99,17553,19847,21157,22762,28339
100,17289,19487,20754,22291,27644
