TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,333402,642004,775527,1184635,2373482
2,316915,590035,707878,1046406,2054642
3,301474,545860,648536,917170,1778727
4,289027,504016,597736,802433,1527231
5,277116,463530,546152,700495,1290332
6,265492,429978,496436,610138,1099985
7,254349,396000,450735,547238,945208
8,243699,362109,407942,493583,812208
9,233517,331302,370053,446861,697922
10,220910,301505,334143,399903,599718
11,196514,280424,317056,386161,583635
12,181189,255363,287262,345291,509307
13,166329,231922,260029,308754,445119
14,152487,209907,235253,276432,389676
15,139586,189570,212353,247987,341917
16,127207,170850,191242,222611,300439
17,115911,153970,172564,200388,265663
18,105662,138863,156141,180684,236703
19,96341,125428,141548,163319,211909
20,87853,113769,128765,147878,190782
21,80271,103446,117443,134312,173010
22,73472,94361,107476,122533,158032
23,67317,86302,98706,112143,144896
24,61872,79184,90885,103137,133127
25,57028,72982,83981,95224,122931
26,52586,67505,77755,88201,113976
27,48582,62669,72282,81838,105912
28,45074,58421,67357,76221,98780
29,42142,54585,62924,71109,92424
30,39662,51201,58951,66634,86712
31,37611,48214,55459,62653,81550
32,35974,45575,52471,59111,76865
33,34578,43287,49853,56046,72668
34,33305,41333,47491,53308,68917
35,32128,39669,45471,50845,65577
36,31157,38233,43783,48714,62747
37,30262,36937,42214,46803,60065
38,29392,35776,40722,45088,57397
39,28545,34726,39336,43491,54940
40,27744,33704,38025,42028,52609
41,26973,32731,36817,40679,50311
42,26240,31819,35690,39388,48073
43,25596,30980,34632,38191,46075
44,24958,30195,33659,37050,44350
45,24335,29424,32740,35981,42782
46,23816,28679,31900,35007,41385
47,23347,27981,31103,34155,40176
48,22936,27312,30382,33399,39100
49,22526,26727,29733,32708,38140
50,22171,26200,29153,32089,37286
51,21851,25747,28655,31515,36545
52,21526,25363,28190,30984,35931
53,21232,25040,27764,30508,35435
54,20978,24771,27407,30097,35058
55,20782,24526,27088,29773,34788
56,20620,24330,26804,29491,34603
57,20478,24169,26557,29237,34496
58,20375,24022,26349,29015,34458
59,20318,23889,26180,28821,34474
60,20283,23761,26025,28686,34563
61,20251,23678,25885,28584,34710
62,20228,23593,25758,28500,34882
63,20186,23512,25632,28435,35057
64,20144,23436,25523,28374,35235
65,20100,23363,25431,28325,35385
66,20029,23301,25343,28263,35484
67,19965,23256,25262,28193,35530
68,19894,23202,25178,28087,35551
69,19830,23125,25091,27975,35568
70,19760,23034,24996,27849,35590
71,19681,22935,24886,27720,35594
72,19596,22808,24772,27598,35574
73,19517,22655,24650,27454,35538
74,19426,22492,24512,27297,35473
75,19313,22323,24363,27112,35373
76,19184,22147,24201,26921,35223
77,19045,21961,24029,26728,35011
78,18892,21764,23847,26528,34785
79,18726,21562,23660,26324,34546
80,18550,21353,23455,26078,34268
81,18372,21124,23245,25803,33953
82,18179,20891,23016,25502,33620
83,17974,20652,22776,25187,33276
84,17768,20407,22509,24860,32921
85,17563,20161,22222,24513,32554
86,17356,19908,21928,24165,32193
87,17142,19639,21629,23811,31827
88,16918,19366,21328,23454,31449
89,16681,19090,21013,23079,31048
90,16442,18809,20686,22696,30616
91,16200,18519,20350,22309,30145
92,15957,18229,20008,21914,29636
93,15715,17949,19659,21511,29091
94,15475,17667,19308,21108,28511
95,15236,17387,18956,20690,27900
96,15000,17103,18600,20261,27272
97,14763,16820,18243,19833,26637
98,14529,16532,17881,19397,25980
99,14297,16239,17519,18964,25299
100,14068,15944,17161,18542,24612
