TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,293916,442812,564415,918938,1601397
2,273595,409259,511244,806985,1381765
3,254721,379837,463676,708693,1186054
4,237187,349315,424098,632489,1007207
5,220895,324994,384322,575715,857009
6,206159,300818,348127,508335,742810
7,195143,273429,315419,441408,644541
8,184649,254747,289220,391092,559370
9,174722,235573,264215,345154,485509
10,165329,217459,239971,304807,422714
11,149412,198970,228645,293969,415041
12,136772,181209,207015,261416,363614
13,124745,164547,187304,232656,318796
14,113558,149091,169140,207388,280035
15,103442,134955,152566,185014,246813
16,94161,121964,137581,164970,217915
17,85499,110233,124221,147575,193154
18,77876,99841,112436,132464,172305
19,70992,90647,101840,119094,154485
20,64899,82412,92539,107583,139047
21,59444,75121,84292,97621,125821
22,54566,68659,77089,89043,114423
23,50115,62943,70717,81460,104551
24,46110,57918,65112,74800,95774
25,42507,53465,60114,69096,88227
26,39327,49579,55665,64016,81603
27,36504,46123,51690,59443,75774
28,34006,43020,48153,55348,70684
29,31836,40257,44979,51722,66193
30,30022,37824,42178,48508,62138
31,28479,35702,39772,45657,58492
32,27175,33911,37727,43156,55244
33,26095,32374,35941,40985,52461
34,25177,31044,34393,39070,50014
35,24338,29882,33046,37367,47822
36,23595,28899,31874,35863,45946
37,22963,28024,30823,34466,44237
38,22340,27225,29837,33215,42562
39,21746,26447,28979,32128,40992
40,21163,25734,28153,31097,39549
41,20615,25048,27393,30126,38165
42,20079,24418,26661,29200,36857
43,19599,23817,25968,28351,35587
44,19136,23242,25299,27550,34424
45,18696,22699,24683,26777,33335
46,18277,22169,24098,26103,32365
47,17905,21681,23569,25499,31461
48,17585,21252,23074,24967,30593
49,17289,20877,22639,24485,29802
50,16998,20541,22250,24061,29115
51,16740,20234,21895,23676,28480
52,16496,19951,21558,23360,27938
53,16263,19699,21245,23072,27449
54,16036,19477,20983,22806,27038
55,15820,19283,20755,22568,26704
56,15618,19098,20560,22368,26436
57,15446,18926,20379,22204,26221
58,15274,18763,20222,22068,26056
59,15129,18625,20067,21946,25920
60,14997,18494,19923,21843,25822
61,14871,18387,19785,21759,25767
62,14767,18284,19647,21691,25756
63,14672,18195,19520,21627,25797
64,14599,18115,19401,21581,25882
65,14550,18041,19293,21546,25992
66,14507,17968,19208,21501,26102
67,14463,17886,19124,21454,26230
68,14413,17796,19046,21397,26363
69,14361,17696,18966,21331,26486
70,14323,17594,18878,21250,26583
71,14297,17497,18780,21158,26673
72,14277,17400,18686,21057,26735
73,14255,17296,18595,20953,26776
74,14231,17187,18494,20847,26792
75,14206,17073,18381,20741,26772
76,14179,16953,18253,20633,26714
77,14144,16834,18126,20518,26621
78,14099,16713,17993,20379,26504
79,14041,16578,17851,20227,26358
80,13967,16438,17707,20056,26184
81,13879,16282,17562,19867,25977
82,13778,16119,17410,19669,25728
83,13664,15957,17253,19456,25443
84,13543,15795,17087,19229,25126
85,13410,15633,16915,18993,24781
86,13277,15468,16727,18748,24401
87,13145,15299,16529,18491,23984
88,13011,15127,16323,18221,23554
89,12875,14946,16108,17949,23120
90,12725,14759,15889,17675,22684
91,12564,14559,15667,17394,22256
92,12399,14349,15430,17102,21827
93,12233,14136,15187,16791,21378
94,12068,13919,14947,16474,20913
95,11905,13696,14707,16153,20450
96,11744,13469,14464,15832,19988
97,11584,13238,14218,15507,19521
98,11425,13003,13968,15182,19048
99,11263,12765,13717,14862,18582
100,11093,12529,13463,14548,18122
