TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,283485,325367,327080,372767,550013
2,278920,322813,324695,359731,520377
3,274708,320133,322210,350934,491339
4,261655,317381,320040,345386,486543
5,245733,312516,316798,334704,465852
6,226221,301778,314280,335354,446138
7,201026,265351,310279,332883,430668
8,160456,226676,245686,271087,383895
9,142275,176480,181473,216410,281808
10,113799,138635,151106,177188,224724
11,153461,190257,200306,217678,275754
12,149588,186649,197325,213847,268412
13,146711,184099,195594,211792,263705
14,145114,182718,195063,211539,262167
15,144644,182468,196100,212963,262826
16,145658,183477,198037,216282,265536
17,148263,186189,201386,221377,271970
18,152840,190847,206210,227764,280601
19,160194,198317,215126,239053,293949
20,169939,210100,229084,255438,315780
21,183312,226470,247547,277515,346326
22,199526,246878,270012,306386,386071
23,219685,270829,298595,342725,437859
24,242284,298451,332427,386053,500511
25,267785,330529,372355,435397,574583
26,294656,366498,418257,491436,662056
27,323977,406057,469208,554362,762881
28,356563,449415,525598,625676,882124
29,390429,496715,587247,704053,1011444
30,426878,547990,652928,791105,1162387
31,464552,604403,723505,888367,1327505
32,505065,663346,798725,994582,1499840
33,547093,725811,878924,1109130,1680927
34,589038,790713,963974,1226687,1869433
35,631908,857779,1051328,1347788,2065427
36,674259,926572,1145023,1472048,2272930
37,715964,994954,1240507,1596240,2473519
38,756439,1065650,1335075,1720267,2673315
39,796356,1136759,1428284,1837604,2857937
40,834790,1205917,1521121,1950209,3021714
41,871056,1273922,1612401,2055219,3160804
42,906509,1339630,1698904,2149993,3282979
43,940837,1403472,1776035,2233571,3386081
44,973898,1464780,1845975,2306993,3474842
45,1004738,1519274,1903113,2378373,3544737
46,1032985,1568635,1951274,2440235,3588442
47,1057846,1612345,1994965,2493583,3605629
48,1081374,1651029,2033504,2535107,3600851
49,1102769,1682962,2066401,2566323,3584815
50,1121701,1709867,2093720,2585512,3569022
51,1139204,1728873,2116064,2594458,3550142
52,1154432,1742476,2134568,2589892,3527998
53,1167245,1750632,2148351,2579732,3513965
54,1175561,1752496,2156868,2573688,3492755
55,1179246,1750165,2159823,2563390,3472246
56,1178201,1740756,2154246,2550543,3448340
57,1171826,1725942,2142709,2536261,3428667
58,1160581,1709696,2128408,2527904,3419054
59,1144603,1687263,2109518,2519363,3416633
60,1124259,1660388,2085977,2512479,3409028
61,1100706,1628179,2058100,2505319,3396273
62,1073578,1592751,2029186,2497331,3379406
63,1043206,1554060,1999465,2490958,3366201
64,1011507,1515102,1966871,2481494,3355120
65,978615,1475766,1934747,2465836,3338811
66,945575,1433831,1900334,2446994,3323702
67,912946,1391253,1863816,2423751,3316116
68,879692,1347893,1826160,2395841,3313542
69,846019,1303900,1786913,2367067,3309817
70,812047,1258136,1747293,2336751,3303935
71,777415,1212200,1706141,2299677,3296545
72,742963,1167352,1663311,2261897,3290709
73,708821,1122793,1618493,2219966,3272103
74,676230,1080154,1572777,2172993,3248551
75,645137,1038065,1526726,2125183,3210054
76,615471,997893,1480484,2072747,3169192
77,587449,959115,1434883,2017110,3123499
78,560789,919422,1388566,1956966,3070145
79,535420,880581,1342561,1892887,3003184
80,511205,842274,1297232,1825263,2934052
81,488174,805311,1252621,1757145,2863055
82,466265,769554,1208697,1687372,2786183
83,445414,734796,1162523,1616612,2695321
84,425566,700378,1116228,1547197,2597912
85,406724,666741,1068122,1480162,2498778
86,388835,634015,1019970,1415635,2400443
87,371845,602463,972552,1352782,2300822
88,355706,571771,924552,1292604,2200999
89,340345,542547,876829,1233539,2101964
90,325638,514841,829446,1177243,1998725
91,311558,488284,782550,1119675,1897623
92,298071,462751,736031,1060890,1796716
93,285154,438277,689970,1000513,1700465
94,272778,414596,645045,940843,1605312
95,260865,391603,601298,882020,1512645
96,249142,369132,560134,824438,1420112
97,237907,347277,520676,767343,1325343
98,227145,326375,483327,711475,1228546
99,216851,306441,447549,657129,1134513
100,206778,287449,413543,604874,1043691
