TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,1497158,1580058,1841012,2135460,2877975
2,1430783,1500037,1725403,1978043,2680854
3,1352734,1423106,1634652,1847324,2485340
4,1276750,1351539,1542629,1727545,2303988
5,1204846,1285683,1452622,1619535,2136886
6,1136725,1223037,1366392,1516382,2002359
7,1072455,1156741,1282874,1435755,1876312
8,1011819,1088283,1199418,1346432,1758209
9,917087,1011196,1092166,1238144,1629867
10,784348,877201,951246,1082890,1345052
11,696098,782571,858107,936211,1133049
12,659203,742435,809763,879183,1051315
13,627472,709525,770224,832898,984599
14,603141,684146,739114,796261,932348
15,584883,665084,715645,768940,892859
16,571122,651781,699438,749520,865336
17,562528,643556,689795,737200,845885
18,558110,640503,685980,731171,834867
19,558044,642353,687810,730796,830828
20,562676,649110,696059,737610,833450
21,574651,663306,712300,752921,848484
22,594525,686201,737463,780623,879796
23,623667,717759,773929,820681,926952
24,660046,758205,820806,872856,989468
25,707061,808780,879302,938624,1065957
26,764027,869634,948395,1016321,1157416
27,829247,939869,1027171,1104706,1261777
28,900380,1018102,1115778,1203960,1381143
29,978508,1105339,1211754,1312809,1515833
30,1058929,1197868,1315290,1430405,1659320
31,1142385,1296675,1424407,1556212,1812969
32,1226406,1395937,1538973,1687679,1979294
33,1315654,1497623,1656568,1823684,2149920
34,1403697,1597870,1773767,1962695,2321370
35,1490422,1696909,1888990,2099011,2488157
36,1576928,1793536,2000409,2234042,2650298
37,1659071,1888222,2107265,2365093,2811526
38,1740367,1979564,2208848,2490449,2967403
39,1819027,2066439,2304947,2611308,3120267
40,1894761,2149867,2394699,2721807,3271424
41,1963159,2227711,2476825,2825194,3417396
42,2024302,2298880,2551284,2917670,3552751
43,2077429,2366686,2619163,2999577,3683751
44,2125495,2428635,2680124,3073145,3799348
45,2168624,2483003,2732178,3135253,3907915
46,2206493,2529566,2776857,3188420,4005698
47,2238447,2568238,2815170,3232524,4094862
48,2263818,2599714,2846532,3266680,4169180
49,2282961,2620193,2871726,3290486,4223716
50,2295478,2635415,2888296,3304577,4266344
51,2300476,2645090,2898771,3309066,4295335
52,2297663,2650512,2902507,3305425,4309005
53,2285950,2650220,2899589,3294317,4315636
54,2266903,2645621,2889745,3274719,4313206
55,2241634,2635652,2875464,3251518,4306737
56,2211619,2620189,2855107,3219431,4288363
57,2177929,2597224,2828405,3181709,4260405
58,2137901,2566300,2798267,3140321,4222933
59,2092332,2531331,2761869,3094386,4176029
60,2043771,2490717,2719884,3046850,4119623
61,1993206,2445381,2673557,2996658,4055192
62,1940911,2395914,2623894,2944352,3984823
63,1886938,2341560,2568743,2892930,3901547
64,1831325,2283936,2508878,2835369,3815909
65,1774307,2224349,2446864,2771988,3725183
66,1716376,2162285,2381776,2702505,3629866
67,1658238,2098526,2313498,2629128,3533996
68,1600507,2033464,2243336,2554316,3435408
69,1543274,1965602,2171161,2477281,3333841
70,1486363,1897805,2097867,2398988,3230111
71,1430514,1830310,2023007,2320672,3124287
72,1375915,1762142,1947160,2240782,3016540
73,1322004,1692259,1872512,2158394,2906571
74,1269171,1622260,1799639,2076407,2794499
75,1217811,1552950,1726160,1994768,2680954
76,1167946,1484681,1653865,1914867,2566621
77,1119540,1417066,1583233,1836635,2453013
78,1072253,1351884,1513370,1759951,2340850
79,1025887,1287919,1444318,1682378,2229747
80,980187,1225223,1376078,1604877,2121723
81,935274,1163833,1310129,1527413,2014660
82,891343,1103869,1245775,1449036,1908521
83,848572,1045666,1182709,1370159,1805683
84,807021,988734,1121003,1294243,1707234
85,765994,933022,1060667,1221866,1614103
86,726111,879622,1001133,1152482,1522691
87,686968,828604,944131,1086052,1433210
88,648022,778947,889043,1021540,1346907
89,609706,732256,835605,959855,1264329
90,572908,687331,784399,900490,1185296
91,537766,643924,735544,843576,1109480
92,504270,602731,688374,789365,1036981
93,472590,564232,643589,738162,966757
94,442540,527602,600380,688328,900246
95,413943,492727,559463,640338,836974
96,386766,459515,520685,594604,777186
97,360982,428384,483818,551339,720714
98,336496,398831,448946,510157,666161
99,313292,370783,416222,472032,614252
100,291094,344528,385748,436151,565027
