TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,18658,20331,22139,23393,27138
2,18028,20334,21802,22930,27549
3,17550,19897,21444,22421,26778
4,17200,19552,20894,22150,27164
5,16866,19362,20739,21752,27112
6,16942,19316,20848,22065,26575
7,17969,20070,21786,22944,25797
8,19683,21502,23313,24416,28004
9,21498,24208,25432,27043,30559
10,24903,27999,29680,31267,34557
11,35135,40193,43364,46313,53969
12,39002,44913,48511,51932,60832
13,43610,50526,54649,58675,68858
14,49108,57190,62032,66807,78441
15,55615,65144,70823,76479,89726
16,63356,74550,81229,88028,103110
17,72507,85621,93476,101665,119254
18,83113,98430,107645,117691,138767
19,95262,113142,123933,136276,161527
20,109076,129684,142570,157605,187641
21,124305,147950,163113,181274,216875
22,140627,167700,185470,207195,249314
23,157925,188926,209072,234971,284614
24,175960,210884,233684,264309,322079
25,194584,233773,259143,294299,361551
26,213630,256812,285156,324955,401719
27,232473,279828,310796,355882,441907
28,251408,302810,336318,386443,482012
29,270103,325287,361289,416502,520416
30,288294,346825,384009,445088,558231
31,305643,367093,406146,472580,593972
32,322236,386317,427097,498264,626697
33,338030,403856,446729,521938,658954
34,352761,420112,464221,543203,690520
35,366518,434617,480238,562742,720959
36,378948,447770,494544,580683,749889
37,389947,459666,507559,597059,775936
38,399404,470403,519268,611272,798786
39,407137,479810,529305,623289,818263
40,413466,487466,537342,632704,835828
41,418560,493623,543997,640917,852803
42,422492,498421,549289,647050,867402
43,425710,501453,553349,651157,879197
44,428030,503291,556328,653791,887597
45,429447,504360,558363,655699,892943
46,429743,504441,559222,656381,896820
47,429006,503841,559068,655354,898708
48,427498,502211,557946,652970,897529
49,425386,499837,556007,649644,895968
50,422563,496518,553303,645636,894387
51,419134,492844,549654,640530,893124
52,415117,488529,545150,635285,890136
53,410528,483859,539657,629619,884942
54,405387,478872,533605,623500,877560
55,399817,473427,527104,616804,868339
56,393951,467417,520481,609077,857429
57,387771,460972,513275,600042,845354
58,381354,454128,505850,590490,832575
59,374715,446793,498179,581218,819123
60,367868,439393,489987,571466,804889
61,360912,431775,481590,561435,789738
62,353858,423891,472827,551868,774393
63,346475,415876,463657,541900,758646
64,339013,407644,454093,531275,742438
65,331641,399310,444167,520315,725717
66,324359,390925,434384,509381,708532
67,317174,382277,424654,498090,691007
68,310006,373394,414811,486720,673193
69,302804,364506,404719,475397,654687
70,295564,355640,394574,464107,635589
71,288419,346648,384332,452636,616259
72,281214,337468,374062,440813,597426
73,274171,328255,363884,428866,578291
74,267225,319102,353674,416829,558912
75,260221,310028,343647,404850,539412
76,253034,301122,333772,393119,520216
77,245820,292386,324080,381844,501520
78,238631,283822,314525,370772,483437
79,231723,275560,305269,359698,465950
80,225084,267616,296341,349001,449032
81,218699,259898,287617,338456,432420
82,212527,252500,279183,327875,416202
83,206562,245268,271136,317760,400756
84,200884,238289,263397,308213,386042
85,195494,231493,255998,298986,372027
86,190326,224937,248864,289983,358676
87,185380,218641,241892,281289,345918
88,180584,212605,235163,272765,333757
89,175970,206760,228638,264279,322181
90,171473,201166,222376,255778,311018
91,167108,195920,216376,247598,300154
92,162959,190953,210664,239789,289585
93,158871,186112,205171,232269,279686
94,154894,181440,199891,225143,270230
95,151161,176978,194665,218262,261316
96,147706,172681,189527,211624,252856
97,144436,168517,184508,205272,244492
98,141323,164454,179588,199152,236197
99,138247,160432,174763,193242,228318
100,135153,156424,170076,187631,220926
