TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,1261405,1498292,1626920,1855767,2498010
2,1262823,1506789,1619047,1848943,2483968
3,1264244,1511006,1611241,1847545,2470053
4,1264424,1517408,1608091,1847691,2456266
5,1262394,1514726,1602780,1839104,2425700
6,1260379,1513769,1600292,1835031,2391030
7,1258374,1511075,1603627,1835058,2363564
8,1256384,1505755,1601172,1828608,2336523
9,1254404,1503051,1599921,1831753,2310616
10,1263200,1506391,1597816,1834902,2285970
11,1253449,1471417,1571435,1784740,2238262
12,1248514,1462951,1561345,1770179,2204607
13,1242284,1452808,1549853,1754151,2169684
14,1234721,1440896,1537265,1736443,2133621
15,1225568,1427007,1523099,1717907,2095831
16,1214830,1411969,1507671,1697468,2057140
17,1203054,1395596,1490833,1675369,2017229
18,1190274,1378239,1472437,1651226,1976508
19,1176524,1359892,1453081,1625637,1935054
20,1161842,1340623,1432164,1598348,1892736
21,1145928,1319904,1409733,1569599,1849704
22,1128515,1298136,1385954,1538748,1805698
23,1110100,1275968,1361600,1507288,1761255
24,1090952,1253177,1336250,1475461,1717188
25,1071121,1229987,1310246,1443075,1672946
26,1051050,1206337,1283851,1410639,1628950
27,1030513,1181791,1257440,1377957,1584727
28,1009616,1157301,1230134,1345301,1539915
29,988421,1132371,1202445,1312941,1496051
30,967233,1107294,1174718,1281284,1453790
31,946099,1082053,1147187,1249588,1412836
32,925168,1057323,1119941,1218281,1372793
33,904688,1032850,1093226,1187787,1334248
34,884397,1008880,1066752,1157642,1296496
35,864597,985365,1040839,1127476,1259630
36,845382,961861,1015219,1098235,1224089
37,826384,938790,990090,1069582,1189822
38,807609,915857,965373,1041749,1156270
39,789329,893395,941065,1014379,1123375
40,771508,871029,917295,987437,1091405
41,753791,849276,894158,961089,1060317
42,736302,827959,871571,935675,1030291
43,718838,807141,849239,911027,1001432
44,701437,786816,827461,886965,974030
45,684471,766804,806261,863485,947824
46,667676,747435,785492,840611,922552
47,651320,728763,765299,818429,898467
48,635347,710385,745782,796881,875245
49,620024,692761,726820,775883,853194
50,605145,675588,708183,755199,831736
51,590557,658871,690047,735169,810986
52,576261,642341,672280,715745,790965
53,562288,626130,655045,696667,771236
54,548715,610408,638425,677990,752118
55,535458,595137,622245,659765,733716
56,522599,580370,606705,642082,715793
57,510314,565904,591611,624947,698682
58,498391,551880,576915,608328,682442
59,486582,538243,562544,592304,666966
60,474904,525113,548601,576932,652126
61,463568,512200,535062,562116,637798
62,452608,499633,521940,547792,623823
63,442125,487329,509011,533896,610137
64,432015,475475,496485,520433,596715
65,422046,464089,484317,507452,583502
66,412213,452919,472527,494868,570503
67,402456,442175,461075,482664,557717
68,392922,431783,449873,470856,545284
69,383666,421501,439088,459322,532854
70,374575,411508,428621,448241,520580
71,365717,401828,418464,437561,508465
72,357140,392462,408721,427169,496500
73,348748,383445,399242,417091,484632
74,340374,374621,389900,407461,472739
75,332321,366080,380871,398199,460973
76,324516,357889,372075,389217,449460
77,316833,349983,363451,380572,438113
78,309388,342249,355085,372227,426959
79,302238,334712,346973,364139,416057
80,295356,327341,339160,356206,405410
81,288682,320229,331558,348355,395112
82,282177,313286,324210,340648,385224
83,275857,306518,317233,333080,375604
84,269775,299867,310493,325720,366068
85,263920,293347,303976,318620,356856
86,258287,287018,297608,311774,348019
87,252827,280848,291449,305163,339541
88,247565,274865,285437,298778,331373
89,242423,269133,279554,292625,323526
90,237491,263545,273842,286605,316026
91,232732,258027,268276,280773,308769
92,228088,252653,262830,275184,301774
93,223598,247404,257535,269797,295153
94,219454,242273,252489,264573,288979
95,215416,237254,247545,259484,283167
96,211421,232316,242702,254536,277621
97,207451,227505,238013,249712,272326
98,203522,222833,233471,245001,267254
99,199600,218249,229058,240422,262398
100,195694,213791,224762,235987,257742
