TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,412040,514245,630285,844131,1893149
2,393804,489163,598402,790499,1706833
3,376374,468696,567460,740138,1513990
4,359717,444642,537070,691802,1347752
5,343777,422650,502629,650586,1222396
6,328171,401594,473357,610693,1122536
7,312238,389691,447012,577102,1077384
8,299042,368526,423510,537904,1032288
9,286671,346720,399614,503981,956277
10,273690,330206,377114,468922,886953
11,236896,285659,330762,399491,647324
12,219283,264908,305959,366391,572867
13,203120,245795,283386,336270,508937
14,188371,228340,262755,309340,454454
15,175439,212429,244142,285454,407975
16,163874,198037,227499,264069,368147
17,153772,185499,212776,245226,333752
18,144772,174331,199803,228622,303611
19,136844,164727,188515,214081,277241
20,129731,156427,178606,201331,254687
21,123976,149297,170079,190535,235434
22,119124,143304,162723,181609,219026
23,115033,138438,156563,174345,206319
24,111625,134560,151714,168585,197256
25,109139,131735,148294,164518,190606
26,107519,129944,146155,161891,186487
27,106993,129254,145247,160689,184879
28,107546,129725,145450,160812,185295
29,109161,131462,146763,162093,187150
30,111562,134066,149068,164259,189998
31,114787,137526,152158,167397,194004
32,118790,141607,155958,171350,199281
33,123252,146273,160318,175990,205353
34,128187,151383,165265,181081,212241
35,133182,157089,170592,186748,219950
36,138403,163192,176279,192989,228377
37,143647,169225,182230,199456,237278
38,149070,175245,188265,206095,246379
39,154488,181079,194326,213011,255720
40,160043,186878,200495,220081,265288
41,164935,192462,206376,226993,274952
42,169522,197728,212131,233752,284556
43,173950,202535,217508,240371,294072
44,177917,206917,222502,246719,303702
45,181425,210811,227197,252765,313265
46,184419,214289,231571,258625,322643
47,187089,217456,235549,264149,331579
48,188972,220124,239067,269157,340159
49,190502,222437,242169,273648,348561
50,191798,224374,244711,277644,357205
51,192691,225713,246845,280993,365099
52,193182,226736,248514,284000,372316
53,193330,227260,249639,286806,378965
54,193132,227372,250241,289178,384749
55,192682,226953,250612,290768,389584
56,191992,226310,250706,291700,393429
57,190936,225370,250275,292328,396727
58,189551,224095,249426,292565,399560
59,187792,222573,248052,292323,401749
60,185668,220557,246112,291530,403097
61,183253,218221,243945,289984,403369
62,180625,215566,241356,287735,402774
63,177723,212679,238489,284957,401170
64,174758,209686,235234,281818,398470
65,171769,206494,231559,278341,395062
66,168621,203035,227537,274440,390741
67,165221,199279,223412,270102,385981
68,161627,195312,219086,265394,380579
69,157872,191145,214500,260356,374564
70,154043,186870,209729,255016,367898
71,150149,182536,204985,249534,360863
72,146195,178059,200071,243661,353164
73,142210,173553,195047,237470,344984
74,138185,169000,190009,231168,336370
75,134100,164386,184761,224889,327364
76,129945,159623,179350,218474,317998
77,125798,154829,173970,211779,308385
78,121547,150041,168631,204964,298578
79,117388,145214,163345,197958,288606
80,113326,140457,158146,190956,278439
81,109360,135689,152947,184125,268273
82,105479,130990,147799,177439,258151
83,101726,126348,142789,170819,248110
84,98073,121807,137890,164257,238171
85,94500,117329,133122,157775,228354
86,91072,112942,128416,151405,218676
87,87794,108725,123640,145197,209163
88,84690,104578,118970,139180,199813
89,81730,100543,114426,133342,190650
90,78865,96602,109959,127691,181686
91,76060,92735,105544,122199,172901
92,73310,88958,101289,116913,164459
93,70587,85317,97113,111825,156290
94,67936,81826,93029,106930,148459
95,65345,78472,89101,102105,141010
96,62824,75258,85338,97468,133977
97,60382,72142,81685,93035,127113
98,58081,69148,78133,88754,120423
99,55846,66259,74673,84690,113917
100,53697,63472,71323,80784,107627
