TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,208360,260283,299996,353167,686466
2,212057,262029,303237,356240,664389
3,213187,261888,305657,361712,643322
4,214199,265708,308701,365052,635785
5,211921,267842,313833,369356,623421
6,220656,275425,320095,369226,609471
7,236309,284813,328258,373007,592525
8,254434,294219,336350,373633,552316
9,267826,306735,341492,383607,521275
10,294016,328393,352074,391133,491449
11,289374,359634,404894,460164,640160
12,302866,377144,424659,482782,657399
13,317986,396896,446596,508474,678336
14,335244,419179,471581,537257,703764
15,354430,444203,499652,569363,732876
16,375806,472283,530635,604882,766214
17,399188,502903,564498,644639,804681
18,423544,536303,601449,688398,848055
19,449044,572946,642101,736707,898445
20,476257,612519,686895,789594,956482
21,504231,654086,735245,847282,1023364
22,534114,698074,786292,909575,1095957
23,566269,744278,839489,976598,1176200
24,601192,792253,894705,1045319,1260344
25,638719,841983,951720,1116023,1345382
26,679535,892666,1010363,1187422,1432764
27,721433,946116,1069795,1259534,1521915
28,763984,999964,1129267,1330210,1610847
29,806707,1054364,1189088,1401041,1697348
30,849792,1108600,1249136,1469414,1781678
31,891133,1161248,1307340,1535475,1865092
32,931575,1211711,1363089,1598370,1943306
33,970509,1258972,1416934,1657274,2018173
34,1007127,1303109,1466526,1710914,2088568
35,1041390,1342780,1511174,1758797,2153365
36,1073681,1378909,1551012,1801787,2211965
37,1102161,1411292,1587245,1839780,2263826
38,1128195,1439128,1618801,1874164,2311918
39,1150780,1461591,1645326,1904521,2357583
40,1169225,1479173,1666264,1929623,2400202
41,1183366,1492489,1681957,1950723,2439472
42,1192978,1500424,1692326,1965283,2476185
43,1198910,1503938,1699063,1974511,2509832
44,1202234,1503517,1701341,1978245,2539672
45,1202381,1498541,1698290,1976642,2565302
46,1199400,1490615,1691310,1970116,2584978
47,1194004,1478506,1679404,1958218,2596654
48,1186053,1463377,1663303,1942312,2601019
49,1174500,1445113,1642747,1922435,2601442
50,1158833,1424242,1619332,1899974,2596776
51,1140871,1400556,1593275,1873009,2584921
52,1120605,1374641,1563306,1842339,2565095
53,1098049,1347282,1531119,1809075,2541892
54,1072600,1318824,1496820,1773540,2514269
55,1045945,1289423,1461898,1735982,2484695
56,1017963,1257720,1425985,1696603,2453519
57,988996,1224381,1388079,1655310,2419829
58,959170,1189660,1349299,1611175,2381472
59,928660,1153940,1309277,1565332,2337872
60,897945,1117665,1268591,1517610,2289117
61,867101,1080933,1227702,1468134,2235538
62,836254,1044531,1186775,1418254,2177320
63,804969,1008155,1146028,1368033,2115976
64,773306,971652,1104698,1318705,2050913
65,741773,935308,1063358,1269655,1984500
66,711116,899307,1021979,1221368,1917008
67,681129,863491,981391,1174132,1848703
68,651965,828162,941751,1127560,1779846
69,623956,793601,902800,1081202,1710690
70,596683,759729,864323,1035480,1641377
71,569897,726715,826764,990126,1573639
72,543737,694937,790140,944853,1505856
73,518245,664321,754297,900111,1438280
74,493813,634304,719397,856966,1370037
75,470235,605054,685296,815604,1302302
76,447603,576709,651986,775102,1235363
77,425805,549455,620015,736034,1169427
78,404825,523389,589031,698528,1105475
79,384589,498376,559026,662397,1043629
80,365091,474026,530017,627634,983931
81,346665,450303,502191,594174,926412
82,328927,427332,475639,561125,871095
83,311867,405017,449933,529687,817421
84,295474,383420,425480,499480,766044
85,279691,362720,402111,470457,716570
86,264327,342562,379837,442622,668761
87,249639,323263,358556,415965,622824
88,235698,304743,338152,390592,578917
89,222405,287000,318620,366232,537059
90,209831,270015,299836,343081,497259
91,197866,253754,281810,321512,459471
92,186382,238185,264652,301055,424349
93,175439,223244,248307,281790,391542
94,165021,208994,232692,263358,361520
95,155035,195394,217775,245827,333569
96,145509,182489,203691,229354,307519
97,136434,170223,190284,213681,283181
98,127798,158558,177512,198740,260530
99,119724,147543,165458,184707,239531
100,112077,137140,154035,171573,220017
