TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,100000000,100000000,100000000,100000000,100000000
2,100000000,100000000,100000000,100000000,100000000
3,100000000,100000000,100000000,100000000,100000000
4,100000000,100000000,100000000,100000000,100000000
5,100000000,100000000,100000000,100000000,100000000
6,100000000,100000000,100000000,100000000,100000000
7,100000000,100000000,100000000,100000000,100000000
8,100000000,100000000,100000000,100000000,100000000
9,100000000,100000000,100000000,100000000,100000000
10,100000000,100000000,100000000,100000000,100000000
11,100000000,100000000,100000000,100000000,100000000
12,100000000,100000000,100000000,100000000,100000000
13,100000000,100000000,100000000,100000000,100000000
14,100000000,100000000,100000000,100000000,100000000
15,100000000,100000000,100000000,100000000,100000000
16,99996247,100000000,100000000,100000000,100000000
17,99993486,100000000,100000000,100000000,100000000
18,99991719,100000000,100000000,100000000,100000000
19,99990944,100000000,100000000,100000000,100000000
20,99955222,100000000,100000000,100000000,100000000
21,99872690,100000000,100000000,100000000,100000000
22,99747354,100000000,100000000,100000000,100000000
23,99583058,100000000,100000000,100000000,100000000
24,99388153,100000000,100000000,100000000,100000000
25,99161556,100000000,100000000,100000000,100000000
26,98960953,100000000,100000000,100000000,100000000
27,98781973,100000000,100000000,100000000,100000000
28,98624660,100000000,100000000,100000000,100000000
29,98488433,100000000,100000000,100000000,100000000
30,98372454,100000000,100000000,100000000,100000000
31,98294034,100000000,100000000,100000000,100000000
32,98215011,100000000,100000000,100000000,100000000
33,98126243,100000000,100000000,100000000,100000000
34,98036353,100000000,100000000,100000000,100000000
35,97931755,100000000,100000000,100000000,100000000
36,97816806,100000000,100000000,100000000,100000000
37,97686910,100000000,100000000,100000000,100000000
38,97544589,100000000,100000000,100000000,100000000
39,97360188,100000000,100000000,100000000,100000000
40,97172198,100000000,100000000,100000000,100000000
41,97007842,100000000,100000000,100000000,100000000
42,96865737,100000000,100000000,100000000,100000000
43,96750592,100000000,100000000,100000000,100000000
44,96505862,100000000,100000000,100000000,100000000
45,96252578,100000000,100000000,100000000,100000000
46,95935171,100000000,100000000,100000000,100000000
47,95558460,100000000,100000000,100000000,100000000
48,95123100,100000000,100000000,100000000,100000000
49,94599451,100000000,100000000,100000000,100000000
50,93890356,100000000,100000000,100000000,100000000
51,92984993,100000000,100000000,100000000,100000000
52,91920731,99951220,100000000,100000000,100000000
53,90710533,99840389,100000000,100000000,100000000
54,89313922,99701459,100000000,100000000,100000000
55,87701871,99516064,100000000,100000000,100000000
56,85886365,99244165,100000000,100000000,100000000
57,83881363,98845770,99992408,100000000,100000000
58,81699970,98363131,99906807,100000000,100000000
59,79382764,97772458,99755021,100000000,100000000
60,76942063,97068659,99570050,100000000,100000000
61,74381494,96228373,99345583,100000000,100000000
62,71716389,95146945,99079232,100000000,100000000
63,68958367,93914214,98705094,100000000,100000000
64,66280341,92542351,98267883,100000000,100000000
65,63612602,91006424,97771575,100000000,100000000
66,60970537,89257394,97199687,100000000,100000000
67,58364492,87341634,96429192,100000000,100000000
68,55800395,85328813,95438754,99882160,100000000
69,53298240,83099320,94319674,99752915,100000000
70,50855417,80766640,93108292,99602292,100000000
71,48473451,78300223,91739795,99408759,100000000
72,46156441,75718639,90163546,99004360,100000000
73,43917082,73078484,88457087,98543393,100000000
74,41764679,70380377,86573952,98022523,100000000
75,39719963,67585530,84463907,97383196,100000000
76,37777446,64816257,82161574,96361404,100000000
77,35965536,62095125,79642174,95076225,100000000
78,34224002,59324960,76988595,93514204,100000000
79,32551378,56526843,74222062,91665781,100000000
80,30946130,53730534,71396703,89575420,100000000
81,29406662,50949005,68456549,87327261,99855307
82,27931328,48258496,65428571,84815600,99646870
83,26518437,45610724,62317942,82126410,99162307
84,25145913,42986219,59173305,79308984,98319976
85,23787475,40416320,55949053,76186153,97246741
86,22442937,37940186,52693647,72782524,96066687
87,21116839,35534227,49464532,69180327,94784225
88,19814757,33121788,46327856,65463493,93369741
89,18533251,30795024,43257367,61600851,91501796
90,17293238,28539773,40252380,57651079,89070260
91,16097726,26408917,37309991,53688898,86154734
92,14949201,24414203,34481619,49813223,82789540
93,13845674,22510557,31759782,45976876,79035624
94,12783894,20694688,29179414,42183574,74972171
95,11765879,18976554,26724161,38525437,70724807
96,10786209,17317524,24401024,35081197,66450805
97,9843917,15742482,22218045,31808717,61994052
98,8956976,14263875,20168008,28736981,57428622
99,8125403,12901313,18243866,25883050,52825380
100,7355799,11629979,16432711,23209775,48250293
