TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,115034,146473,157239,167789,228924
2,115928,147342,157967,169037,230615
3,116554,146298,157796,170103,232355
4,113829,145154,157789,173431,238846
5,117286,145357,159661,174231,247710
6,123062,149530,162067,178249,245734
7,134408,156453,169814,185874,243818
8,145577,164739,180219,195017,241724
9,159806,181004,193452,205525,238811
10,173901,192295,207214,218539,245372
11,184331,219592,236589,254453,303815
12,195547,232736,251083,270067,319241
13,208176,247539,267330,287406,336351
14,222128,263936,285442,306615,355155
15,238028,282175,305457,327518,375536
16,255602,302139,327307,350418,397147
17,274768,323882,351194,375203,420792
18,294778,347155,376594,401634,447012
19,315489,371690,403315,429377,475672
20,336552,396729,430795,458643,507169
21,357879,422694,459230,489130,540650
22,379766,449254,488139,520220,575407
23,401811,475738,517313,551700,610128
24,423864,502263,546174,582854,645051
25,446758,528424,574502,613053,678899
26,469024,553802,601763,642961,711504
27,491024,578001,627656,671429,743925
28,512554,600990,651903,697850,774480
29,533396,621799,674287,722677,801807
30,553362,640948,694702,745411,826637
31,571980,658542,713036,766352,850268
32,589333,674450,729977,785700,870988
33,604765,687937,744844,802993,889713
34,618539,699994,757759,817927,907412
35,630478,710509,769325,831193,923176
36,639975,719780,779503,843032,937986
37,646937,727259,787928,852829,951182
38,651964,732946,794758,860620,961976
39,655644,737212,800109,867047,971775
40,658136,739942,804115,871809,980856
41,659703,741338,806700,875329,989327
42,660062,740774,807902,877172,996916
43,658851,738971,807698,877403,1003958
44,656428,735904,806194,876390,1009036
45,652758,731886,803373,874184,1011764
46,648412,726806,799628,870427,1011747
47,643297,721056,795129,865553,1009373
48,637762,714615,789920,859739,1006285
49,631857,707490,784161,852756,1002428
50,625399,699971,777520,844822,997536
51,618483,692325,770074,835960,991632
52,611123,684461,761194,826409,985188
53,603246,676289,751525,816184,977837
54,595388,667767,741139,805910,968867
55,587282,658944,729955,795112,958989
56,579163,649799,718222,783693,947789
57,570761,640206,706366,772537,936279
58,562656,630529,694151,760955,924474
59,554453,620842,681484,749331,912040
60,546085,610974,668883,737207,899001
61,537321,600939,656380,724696,884823
62,528138,590994,644069,712322,870119
63,518927,580912,631934,699933,854971
64,509677,570816,619933,687508,839850
65,500381,560486,608015,674913,825495
66,491033,550313,596161,662355,811983
67,481661,540113,584385,649868,798890
68,472237,529847,572444,637407,785891
69,462615,519799,560379,624985,772662
70,453328,509771,548597,612589,759136
71,444146,499383,537139,600296,744963
72,435071,488851,525879,587802,730512
73,426159,478476,514781,575532,715805
74,417233,468118,503995,563253,700869
75,408270,457791,493305,551024,685733
76,399235,447736,482842,538843,670495
77,390371,437918,472294,526404,655245
78,381295,428030,461947,514184,639999
79,372226,418107,451779,501924,624666
80,363158,408319,441668,489712,609025
81,354174,398690,431384,477496,593539
82,345307,389017,421363,465431,578041
83,336309,379478,411421,453543,562244
84,327347,369974,401342,441771,546293
85,318540,360696,391268,430132,530371
86,309752,351475,381234,418465,514372
87,301058,342447,371115,406825,498141
88,292514,333510,361110,395176,481533
89,284153,324523,351083,383524,464916
90,275638,315421,341258,372031,448862
91,267121,306408,331453,360695,433120
92,258625,297531,321714,349569,417568
93,250213,288681,312069,338524,402438
94,241940,279996,302558,327639,387674
95,233828,271305,293248,316938,373322
96,225879,262530,284032,306443,359377
97,218087,253800,274929,296122,345829
98,210314,245245,265973,286012,332566
99,202697,236959,257086,276161,319673
100,195268,228760,248361,266575,307167
