TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,2948267,3569681,3882909,4677617,6596839
2,2944538,3504369,3830296,4550158,6303380
3,2899741,3440656,3782416,4433391,6023041
4,2856713,3373211,3749453,4312302,5755233
5,2848237,3309372,3680960,4175127,5510492
6,2843942,3245165,3655553,4099813,5315116
7,2811474,3191136,3548467,3981806,5126899
8,2780618,3150793,3494646,3864050,4947411
9,2749660,3125509,3429995,3776665,4775841
10,2711935,3100733,3358869,3723561,4650023
11,2503255,2892956,3157223,3510271,4322371
12,2436306,2816918,3072235,3399541,4144405
13,2370151,2742267,2988591,3293190,3978967
14,2306787,2670633,2906035,3191000,3823071
15,2244721,2602131,2826202,3093994,3676351
16,2185357,2538136,2750537,3003158,3539944
17,2128776,2477982,2678593,2917473,3414819
18,2075239,2422224,2613141,2838901,3302108
19,2022958,2371401,2552892,2767684,3200826
20,1979305,2323328,2498284,2701446,3111295
21,1944204,2279802,2448946,2639800,3028812
22,1914472,2241780,2405136,2587317,2957738
23,1890856,2210240,2369055,2546618,2901256
24,1872266,2186027,2341259,2514093,2860341
25,1856295,2168677,2321909,2489374,2835668
26,1847937,2158175,2309488,2473559,2822309
27,1845033,2154537,2303956,2465450,2814613
28,1849761,2158245,2304066,2464030,2812731
29,1859346,2167862,2309481,2467188,2820036
30,1873788,2183596,2320982,2475837,2837106
31,1889972,2204381,2337728,2489451,2864456
32,1910571,2227877,2359869,2508801,2899864
33,1932563,2255652,2386059,2532326,2943152
34,1960031,2285215,2415660,2561026,2993260
35,1990591,2316931,2446846,2594466,3050314
36,2021606,2349288,2479345,2632044,3112840
37,2051397,2382682,2512364,2670577,3178371
38,2079356,2415488,2545724,2708842,3245106
39,2107012,2446513,2578120,2747741,3311990
40,2127326,2477136,2609050,2788579,3378465
41,2141355,2505426,2639051,2830779,3448735
42,2153016,2530814,2668076,2869039,3522194
43,2159706,2553802,2694362,2902285,3595850
44,2163336,2573337,2717254,2933318,3663693
45,2165424,2589825,2735084,2961721,3728480
46,2164289,2602176,2749800,2986695,3790466
47,2161577,2609938,2760095,3007969,3848080
48,2158164,2612678,2766058,3025963,3904764
49,2155779,2611610,2767798,3041214,3955133
50,2152883,2606740,2766126,3052314,3995766
51,2147115,2597802,2761316,3062292,4026344
52,2138407,2584470,2752151,3068892,4046620
53,2126442,2567150,2739048,3070888,4056870
54,2106703,2546792,2722923,3068339,4061104
55,2083363,2524351,2703982,3060656,4058717
56,2056796,2499258,2682710,3046073,4049613
57,2028444,2471093,2657884,3026214,4033836
58,1999732,2441339,2629498,3003110,4011444
59,1970278,2408548,2598305,2975490,3982677
60,1940052,2372664,2563241,2942738,3946602
61,1907496,2333627,2525079,2904470,3901914
62,1872511,2293114,2485020,2862930,3847679
63,1836786,2250494,2442369,2820444,3786896
64,1800004,2205650,2397708,2773353,3721118
65,1762740,2158936,2352193,2723321,3650652
66,1724984,2111021,2304916,2670513,3575818
67,1686166,2061861,2256053,2615239,3497463
68,1645547,2011339,2205555,2556659,3417507
69,1603596,1959842,2153081,2497255,3336542
70,1560878,1907181,2099089,2435456,3253591
71,1518293,1854465,2043850,2370814,3168605
72,1476533,1802033,1988090,2304357,3081935
73,1435094,1749136,1931649,2238335,2995579
74,1393742,1696288,1875108,2171097,2909992
75,1352434,1642631,1817428,2102981,2822370
76,1311650,1588843,1760408,2035363,2732759
77,1270684,1534916,1702743,1969009,2641523
78,1229809,1480602,1644931,1902390,2549020
79,1188766,1426887,1586979,1835590,2455573
80,1148246,1373914,1529921,1768655,2361311
81,1106647,1321524,1472937,1702128,2266588
82,1065304,1269650,1416092,1636980,2171810
83,1024036,1218151,1359984,1572104,2078001
84,982758,1168318,1303907,1508610,1986495
85,941680,1119272,1248457,1445939,1898632
86,900928,1071107,1194134,1384829,1812296
87,860820,1024102,1140936,1324601,1727593
88,821605,978410,1089509,1266754,1645434
89,783092,933997,1039611,1209481,1564777
90,745303,890768,991558,1153448,1485768
91,708694,848685,944710,1098716,1407738
92,672935,807953,899041,1044978,1331993
93,638364,768587,854766,992328,1258552
94,605342,730570,812140,940708,1187714
95,573698,693956,771144,891223,1120387
96,543225,658365,730634,843392,1056684
97,514212,623755,691833,797168,996311
98,486298,590872,654479,753003,938985
99,460017,559167,618924,710363,884590
100,434991,528765,584929,669542,833194
