TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,117294,141864,143562,154631,279513
2,118397,138133,141679,149083,269937
3,113856,134620,139782,147644,260688
4,109488,132445,138003,144069,251280
5,105289,128552,135684,141451,238995
6,101235,124777,133403,139094,227365
7,96829,120150,131738,137836,216430
8,92220,108679,127329,135024,201762
9,70728,87423,95744,104241,147983
10,52174,63826,70325,79378,98729
11,49034,60856,65325,69521,96499
12,46276,57472,61854,66032,89838
13,44247,54974,59381,63508,84899
14,42926,53214,57515,61707,81102
15,41996,51934,56282,60637,78369
16,41467,51220,55611,60305,77232
17,41396,51054,55564,60616,77175
18,41686,51388,56138,61624,78248
19,42319,52402,57294,63326,80699
20,43765,54438,59891,66381,85788
21,46249,57872,63973,71183,94031
22,49864,62665,69644,77811,104805
23,54526,69092,77491,87482,119677
24,60700,77158,87648,100033,140280
25,68120,86964,100149,115687,166662
26,76991,98926,115166,135192,199673
27,87357,112766,132564,158652,238809
28,98728,128298,152629,186662,285340
29,110978,145733,175321,219859,341006
30,124052,164572,200127,258017,404826
31,138146,185283,227900,301049,477412
32,153687,207782,258558,348757,558679
33,169112,230859,290232,399829,644718
34,184100,254275,323806,453503,736645
35,199499,278439,358389,508562,834511
36,214910,302614,393008,563388,929788
37,229805,326452,427484,617174,1024216
38,244189,350093,460799,667855,1114700
39,258065,372400,492583,716030,1196900
40,271382,393447,521538,761644,1266286
41,284033,413357,548702,801289,1325977
42,296324,432502,572248,834985,1379375
43,308137,450850,593700,863238,1425730
44,318468,468984,612796,885751,1456248
45,326794,485365,629933,903631,1472385
46,333882,499024,644999,917113,1483063
47,339696,510804,658296,924799,1483290
48,344443,521007,670408,926894,1476866
49,348027,529347,680955,923673,1460419
50,350409,537302,690750,917307,1444053
51,351582,544148,698397,910311,1426751
52,351530,548952,702503,901975,1409302
53,350392,552059,704718,892123,1391266
54,348429,553042,704632,883105,1374324
55,345653,552467,702495,876308,1355408
56,342249,550728,700612,871263,1335516
57,337827,546667,697381,867960,1317510
58,332894,539919,693186,865185,1302099
59,327481,532245,688266,861899,1289197
60,321581,523102,682950,858985,1278439
61,314800,512309,676767,857977,1269527
62,307132,500185,670297,858511,1262568
63,299101,487503,662204,858456,1254336
64,291218,474295,654093,857667,1246993
65,283870,461120,644982,856662,1240576
66,276455,448082,635576,854575,1237174
67,268947,434988,625677,853281,1235413
68,261074,421872,614562,852144,1235020
69,252881,408790,602431,851422,1234934
70,244413,394744,589891,851564,1234956
71,235717,380189,577029,851187,1236812
72,227049,365550,564623,848459,1233990
73,218297,350855,551794,844834,1230961
74,209495,336480,539151,839506,1229139
75,200674,322290,526559,830443,1226626
76,191835,308361,513409,817625,1223473
77,183165,294864,499726,802375,1216557
78,174670,281952,485655,785343,1206481
79,166362,269315,471794,766171,1193819
80,158291,256999,457679,745618,1178407
81,150480,244998,443632,723386,1162761
82,142959,233239,429662,700237,1145408
83,135850,221822,416068,676937,1127201
84,129137,210753,402343,654771,1108184
85,122799,200039,388509,632810,1088362
86,116810,189726,374246,611217,1065976
87,111149,179802,359913,588701,1042333
88,105849,169994,345173,565309,1016776
89,100885,160634,330246,540914,988652
90,96232,151896,314330,516501,956862
91,91870,143624,297776,491137,920990
92,87638,135914,280846,466245,887728
93,83460,128596,264167,443371,855028
94,79349,121582,247328,421586,820060
95,75438,114985,230575,400186,784958
96,71694,108632,214044,379581,750212
97,68007,102678,197966,359846,716579
98,64387,97039,182664,340190,683337
99,60814,91523,168119,320061,650304
100,57408,86277,154024,299318,619027
