TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,3509445,5011665,6280698,8268567,13069350
2,3334011,4634173,5704651,7298254,11191218
3,3167411,4269696,5183406,6416728,9583380
4,2988924,3925129,4710021,5647669,8206881
5,2818617,3635786,4260998,4993507,7028385
6,2666924,3346285,3881140,4410680,6040007
7,2525351,3089477,3549623,3986330,5198717
8,2391410,2859893,3188240,3559310,4515438
9,2263279,2655117,2893458,3163640,3932261
10,2140734,2440562,2608619,2803019,3424402
11,1795167,2184866,2472460,2794523,3547755
12,1647024,1988555,2236237,2505449,3139860
13,1507953,1809789,2022696,2246811,2783926
14,1380281,1646937,1830624,2020124,2477608
15,1258665,1497749,1658380,1819723,2211946
16,1150136,1362098,1503864,1646078,1987519
17,1051426,1238979,1364674,1494401,1798601
18,959603,1127530,1239250,1357975,1639143
19,873112,1027449,1127363,1237800,1504024
20,793816,936979,1026710,1130403,1385022
21,721226,854962,937383,1036553,1278309
22,656760,780783,857280,952180,1182510
23,599729,714418,784930,875047,1091528
24,549590,655118,720306,805451,1007716
25,504863,602476,662576,742301,930416
26,465208,555291,610918,684696,858450
27,429925,514063,564443,632406,792066
28,399308,477687,523607,585053,732498
29,373279,446484,487243,543505,679670
30,350390,418605,455527,506680,632879
31,329904,393125,427333,474809,592446
32,311604,370027,402412,447418,557023
33,295616,349500,380614,424151,526286
34,281215,331671,361327,403604,499954
35,269343,316560,344457,385779,477139
36,258996,303308,330017,369684,455905
37,249928,292271,317892,355751,435979
38,242760,283156,307755,344136,417322
39,237612,275410,299738,333955,400146
40,233678,269159,293568,325768,385549
41,230874,264624,289020,319306,373821
42,228765,261836,286010,314649,364689
43,227591,260541,284565,312291,359638
44,227537,260705,284437,311632,357750
45,228867,261993,285708,312770,358103
46,231373,264483,288475,315714,361419
47,235328,268175,292613,320345,366880
48,240357,273199,297841,326647,373622
49,246568,279397,304665,334188,381416
50,253691,287058,312837,342989,390465
51,261570,295987,322206,353026,401106
52,270055,305857,332664,364262,413898
53,279145,316824,344082,376543,428228
54,288751,328532,356513,389615,443460
55,298914,340874,369571,403761,459495
56,308781,353840,383448,418533,476846
57,318811,367016,397605,433843,495401
58,328652,380299,412002,449689,515500
59,338350,393872,426113,466746,536650
60,348097,407336,440130,484163,557806
61,357911,420368,453726,500823,579029
62,367770,432553,466984,516975,600415
63,377125,443797,479880,532628,621257
64,385726,454232,492208,547719,641535
65,393868,463805,503991,562053,661648
66,401205,472885,514929,575208,680576
67,407433,481205,525088,587450,698263
68,412473,488625,534350,598259,714634
69,416705,495218,542793,607750,729762
70,420172,501052,550202,615827,743150
71,423181,506154,556575,622647,754365
72,425696,510233,561785,628151,763244
73,427667,512819,565912,632562,771046
74,428939,514258,568985,636251,776531
75,429120,514524,571342,638907,781209
76,428071,513906,572372,640741,784692
77,425711,512314,572350,641285,786326
78,422283,509452,571705,640675,784896
79,418003,505381,570318,638566,780921
80,412721,499948,568284,635398,776372
81,406235,493518,565361,631521,770941
82,398423,485924,561635,627210,764371
83,389388,477313,556681,622138,756960
84,379124,467551,550607,616725,749399
85,367690,456849,543258,610828,740725
86,355611,445285,534336,604111,731366
87,343084,433037,523995,596625,721506
88,330279,419724,513014,588855,711194
89,317140,405716,501464,581065,700360
90,303743,390613,489644,573235,689236
91,289895,374742,477403,564701,678273
92,275761,358434,463985,555817,667457
93,261466,341685,449920,546291,656075
94,247325,324767,435484,536153,644510
95,233498,307531,420491,525138,632575
96,220072,290322,404181,513725,620219
97,207166,273196,387181,502102,607931
98,194703,256636,368866,490415,596266
99,182567,240357,350250,478453,584541
100,170850,224497,331347,466422,572672
