TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,774979,1147115,1631202,3086271,8952159
2,693347,1000235,1404921,2529130,6917027
3,620316,877764,1211556,2072649,5375863
4,554976,774072,1045288,1698626,4214117
5,505956,678728,901838,1392155,3304304
6,471463,594845,778076,1142073,2591605
7,420608,518894,671297,945620,2033907
8,372564,457556,579171,781975,1598679
9,330051,403716,496553,646589,1250697
10,292289,349552,421064,530618,964595
11,250496,318177,386158,503878,868787
12,216534,275404,331492,421303,693214
13,185450,237581,284174,353269,556752
14,157934,204168,243128,296629,449900
15,133779,174767,207360,249272,364829
16,114092,149543,177042,209893,296924
17,97941,128427,151267,177158,242557
18,84354,110740,129572,150016,199179
19,72790,95540,111276,127621,166216
20,62904,82600,95839,109115,141287
21,54446,71703,82917,93853,122453
22,47304,62360,71921,81373,108216
23,41256,54445,62628,71098,97447
24,36113,47665,54843,62594,88483
25,31738,41892,48308,55547,80960
26,28069,36993,42819,49546,74370
27,24974,32860,38196,44373,68467
28,22430,29385,34249,39964,63114
29,20311,26435,30862,36192,58099
30,18492,23981,27927,32855,53501
31,16859,21896,25383,29984,49302
32,15570,20122,23216,27447,45491
33,14527,18622,21382,25247,41993
34,13686,17363,19817,23376,38902
35,13019,16302,18510,21798,36290
36,12350,15404,17373,20452,34036
37,11654,14571,16407,19271,32136
38,11029,13801,15563,18262,30530
39,10488,13148,14826,17410,28855
40,10031,12600,14200,16666,27123
41,9643,12132,13666,16019,25331
42,9327,11752,13243,15438,23512
43,9065,11434,12913,14926,21761
44,8859,11205,12639,14475,20279
45,8701,11030,12420,14084,19033
46,8577,10909,12245,13779,18058
47,8487,10826,12115,13560,17330
48,8442,10777,12026,13408,16828
49,8436,10770,11989,13323,16530
50,8491,10795,12020,13337,16445
51,8649,10866,12113,13408,16495
52,8817,10980,12241,13547,16650
53,9045,11147,12416,13755,16921
54,9308,11365,12657,14023,17301
55,9599,11639,12954,14354,17757
56,9917,11938,13297,14737,18334
57,10281,12284,13668,15195,19000
58,10659,12676,14074,15683,19729
59,11045,13095,14532,16193,20502
60,11430,13510,15011,16750,21296
61,11820,13923,15498,17341,22123
62,12176,14336,15980,17932,22977
63,12515,14740,16453,18530,23796
64,12832,15122,16920,19125,24593
65,13129,15485,17371,19721,25372
66,13403,15835,17799,20307,26115
67,13661,16175,18213,20880,26843
68,13877,16491,18618,21426,27524
69,14066,16782,18997,21934,28167
70,14236,17038,19347,22393,28646
71,14386,17259,19658,22794,29089
72,14527,17448,19929,23150,29496
73,14651,17606,20163,23443,29885
74,14748,17732,20341,23678,30195
75,14833,17830,20477,23855,30484
76,14893,17903,20567,23986,30645
77,14918,17951,20615,24073,30706
78,14922,17960,20624,24124,30718
79,14913,17927,20575,24125,30702
80,14899,17863,20492,24060,30659
81,14880,17769,20383,23934,30578
82,14849,17648,20229,23758,30439
83,14794,17497,20039,23532,30238
84,14717,17321,19813,23261,29982
85,14622,17126,19553,22936,29674
86,14509,16901,19264,22574,29334
87,14377,16653,18945,22175,28921
88,14225,16380,18602,21750,28448
89,14052,16093,18238,21303,27931
90,13856,15793,17852,20843,27368
91,13635,15485,17459,20372,26790
92,13391,15164,17062,19902,26197
93,13126,14832,16652,19419,25583
94,12843,14496,16235,18925,24942
95,12545,14153,15817,18419,24257
96,12245,13808,15397,17906,23594
97,11945,13455,14980,17388,22939
98,11656,13102,14558,16861,22260
99,11368,12755,14139,16326,21556
100,11078,12415,13720,15796,20818
