TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,198805,233293,247577,326429,668397
2,204806,236195,254116,323816,644032
3,204490,239512,258298,318235,658562
4,203639,241337,262486,324569,692568
5,202439,245250,265802,321396,673529
6,201246,245255,271198,327653,685779
7,198375,245381,275395,334638,705211
8,184886,240620,277850,333685,689885
9,155796,203600,227070,286452,603453
10,121401,151261,180895,230279,367981
11,109820,138376,155160,183083,298804
12,105568,133884,150742,176340,280740
13,102121,130379,147035,170870,267132
14,99426,127684,144444,167022,255568
15,97758,125862,142786,164816,248458
16,96778,124813,142107,163891,243852
17,96290,124555,142179,163772,240767
18,96654,124980,143136,164430,238963
19,97606,126044,144843,165928,237805
20,99738,129072,148782,169950,238617
21,103584,134787,155175,176758,246028
22,109297,142943,164946,187673,258318
23,116952,153988,178117,203564,277485
24,126311,167818,194992,223702,303189
25,138221,184140,214904,248104,336145
26,151796,202878,238030,276246,375576
27,167130,223967,263568,307121,419404
28,183767,247159,291094,340447,467059
29,201939,273299,321453,376729,520607
30,220866,300599,353110,414502,578778
31,240592,328682,385760,453262,638588
32,261344,356939,418651,492320,703475
33,281969,385414,452236,532283,766547
34,302504,413865,484821,571395,829751
35,321723,441799,516483,607296,881569
36,340235,468727,546144,641191,929467
37,358437,494266,574136,672869,973856
38,374866,518382,599438,702304,1014802
39,390955,541444,622804,728637,1057373
40,406547,561264,643759,749852,1101704
41,421133,578863,662773,767889,1146199
42,434319,594655,679577,782604,1189434
43,446173,608654,693905,794286,1231628
44,456623,620773,705650,803570,1272628
45,465556,630993,714505,811095,1309426
46,473041,638886,720564,816262,1342760
47,478989,644535,724762,820485,1374776
48,482272,647621,727967,823831,1401617
49,483874,649045,729562,826581,1420873
50,483406,648205,729720,828688,1432823
51,481302,645661,728847,829178,1443033
52,477038,641508,727310,828786,1448361
53,471700,635595,724945,826980,1451910
54,465481,628597,721635,824340,1453679
55,458443,620321,716696,820301,1453670
56,450628,610967,711273,815006,1451131
57,441983,600828,704576,809154,1445809
58,432303,589963,695772,802982,1437009
59,422057,578361,685035,797055,1424326
60,411347,566453,673763,790727,1408114
61,400218,554199,661953,783841,1389497
62,388872,540788,649375,775453,1369470
63,377803,526740,635930,765758,1348097
64,366958,512718,621658,755123,1325442
65,356334,498629,606769,742891,1301578
66,345931,484303,591333,729300,1275605
67,335747,469948,575386,713917,1247306
68,325756,455748,559013,696861,1218355
69,316028,441629,542327,678779,1189058
70,306493,428075,525559,659710,1159697
71,297143,414669,508466,640154,1129976
72,288046,401461,490984,620397,1099392
73,279193,388352,473274,600369,1069101
74,270561,375268,455890,579764,1039126
75,262085,362290,438967,559239,1009501
76,253741,349311,422027,538979,979488
77,245405,336395,405358,518821,948982
78,237251,323753,389550,498179,917486
79,229320,311460,374533,477762,884753
80,221340,299510,359948,457745,851189
81,213335,287700,345691,437921,817420
82,205327,276545,331634,418470,783851
83,197436,265866,318052,399545,750858
84,189676,255436,305147,381047,717702
85,182000,245215,292690,363157,684569
86,174433,235483,280521,346182,652097
87,167045,226086,268787,330104,620680
88,159844,216911,257503,314861,590328
89,152802,208004,246600,300251,561030
90,145958,199409,236000,286270,532774
91,139321,191020,225638,272799,505547
92,132860,182872,215521,259782,478937
93,126640,174988,205945,247163,452621
94,120663,167272,196678,234959,426713
95,114923,159732,187657,223211,401549
96,109423,152482,178906,211810,377235
97,104233,145509,170440,200840,353883
98,99340,138727,162214,190376,331723
99,94809,132146,154176,180199,310990
100,90652,125843,146267,170430,291559
