TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,115181,129872,139492,145715,161929
2,115869,129522,138723,144755,159764
3,116518,128981,137665,143793,158875
4,116762,128407,136549,142786,158550
5,116862,127835,135220,142135,157671
6,116407,127171,133904,141325,155418
7,115736,126622,132872,139480,153156
8,115066,126199,131704,138153,151855
9,114402,125496,130536,137133,150677
10,113783,124944,129438,136418,149584
11,111747,121404,126781,132678,144987
12,110702,119943,125087,131076,143097
13,109489,118376,123343,129419,141159
14,108116,116715,121541,127687,139132
15,106632,114977,119678,125895,136982
16,105048,113153,117771,123993,134760
17,103441,111295,115819,121988,132568
18,101831,109402,113818,119969,130337
19,100187,107457,111793,117883,127989
20,98488,105489,109734,115758,125614
21,96739,103439,107641,113533,123216
22,94938,101368,105490,111288,120778
23,93093,99294,103361,109066,118338
24,91239,97238,101274,106825,115975
25,89410,95196,99217,104604,113706
26,87560,93201,97192,102385,111489
27,85712,91269,95177,100205,109348
28,83873,89388,93201,98084,107202
29,82054,87565,91270,95974,105109
30,80272,85804,89405,93894,103006
31,78556,84089,87585,91847,100946
32,76946,82459,85855,89851,98868
33,75431,80888,84159,87889,96830
34,73994,79368,82498,85984,94832
35,72598,77904,80883,84148,92901
36,71243,76487,79305,82406,91006
37,69889,75077,77775,80744,89080
38,68524,73683,76282,79131,87212
39,67160,72313,74819,77592,85456
40,65815,70944,73390,76113,83755
41,64482,69636,71998,74686,82094
42,63158,68348,70648,73297,80492
43,61836,67080,69319,71951,78930
44,60551,65821,68022,70674,77469
45,59263,64579,66755,69435,76044
46,58012,63353,65504,68224,74651
47,56786,62136,64289,67057,73291
48,55593,60940,63105,65910,71947
49,54453,59770,61953,64794,70601
50,53366,58636,60804,63687,69273
51,52281,57530,59672,62603,67954
52,51197,56435,58548,61513,66693
53,50118,55347,57433,60445,65486
54,49040,54269,56340,59406,64319
55,47988,53198,55269,58361,63178
56,46963,52145,54226,57320,62072
57,45966,51108,53210,56294,61011
58,44999,50087,52225,55274,59975
59,44069,49076,51261,54250,58952
60,43179,48100,50318,53228,57935
61,42329,47139,49397,52232,56922
62,41506,46201,48486,51275,55904
63,40708,45283,47593,50346,54912
64,39932,44398,46709,49426,53927
65,39193,43536,45835,48516,52962
66,38472,42696,44977,47621,52008
67,37770,41876,44128,46741,51073
68,37085,41079,43299,45869,50159
69,36406,40297,42490,45004,49265
70,35733,39520,41699,44155,48388
71,35082,38761,40924,43324,47518
72,34462,38020,40165,42526,46651
73,33852,37297,39421,41745,45785
74,33260,36595,38698,40964,44945
75,32676,35901,37990,40192,44114
76,32100,35220,37290,39425,43290
77,31533,34560,36596,38674,42488
78,30978,33914,35907,37947,41699
79,30431,33281,35223,37246,40918
80,29894,32657,34547,36553,40148
81,29362,32038,33880,35883,39387
82,28842,31433,33231,35217,38636
83,28335,30837,32591,34559,37890
84,27841,30258,31957,33905,37150
85,27354,29690,31332,33259,36418
86,26879,29128,30717,32622,35698
87,26415,28586,30112,31983,34982
88,25964,28054,29515,31350,34276
89,25525,27533,28936,30727,33588
90,25104,27019,28375,30123,32909
91,24704,26516,27831,29529,32232
92,24315,26030,27306,28934,31565
93,23940,25558,26796,28348,30915
94,23575,25095,26292,27783,30268
95,23212,24643,25796,27233,29635
96,22851,24206,25313,26702,29014
97,22495,23781,24846,26182,28407
98,22141,23370,24394,25667,27826
99,21785,22978,23952,25161,27255
100,21429,22596,23521,24681,26698
