TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,177161,196936,218346,250902,319788
2,174044,195634,214703,245488,309648
3,171168,193338,212634,241768,302343
4,168728,191731,210523,236851,296102
5,165975,190484,207701,232624,292018
6,160992,188655,204896,229392,293668
7,154773,184610,200157,223283,295236
8,151381,179514,196627,215845,276343
9,146764,172576,187629,199945,247282
10,141324,167529,180043,189236,221416
11,147427,170459,186008,202773,238574
12,146078,169661,185143,201001,234747
13,145223,169330,184701,199804,231892
14,144955,169420,184683,199098,229704
15,145147,169897,185036,198966,228126
16,145827,170758,185941,199349,226992
17,147106,172129,187386,200157,226087
18,149014,174064,189378,201589,225449
19,151548,176551,191747,203699,225851
20,154796,179669,194864,206951,227804
21,158633,183423,198711,211094,231621
22,162593,187862,203312,215972,236681
23,166952,193070,208703,221672,242981
24,171676,198932,214735,227826,250131
25,177167,205250,221229,234483,258269
26,183172,211971,228199,241522,267050
27,189436,218929,235325,248918,276210
28,195952,226115,242565,256373,286208
29,202645,233367,249868,263936,296390
30,209491,240679,257009,271569,306644
31,216249,247810,263957,279139,317126
32,223035,254677,270684,286685,327499
33,229451,261211,277251,294055,337820
34,235244,267467,283557,301238,348336
35,240913,273444,289525,308237,358833
36,246099,279018,294957,315186,369314
37,250767,284088,299901,322062,379789
38,254972,288608,304423,328497,390178
39,258291,292719,308715,334467,400558
40,260518,296477,312551,339965,410579
41,262341,299678,315933,345373,419747
42,264274,302391,318899,350236,428234
43,266158,304615,321274,354684,435883
44,267707,306324,323218,358462,443066
45,268649,307745,324803,361595,449011
46,269289,308722,325960,364170,454381
47,269563,309420,326628,366025,459282
48,269470,309742,326905,367476,462959
49,268943,309579,326626,368242,465916
50,268070,309023,325956,368205,467943
51,267029,308264,324871,367663,469018
52,265574,307071,323352,366717,469132
53,264055,305658,321580,365539,468291
54,262508,303942,319528,363883,466430
55,260651,301983,317410,361844,463787
56,258927,299835,315087,359146,460593
57,256993,297363,312482,355763,456832
58,254759,294644,309752,352155,452541
59,252490,291654,306699,348297,447682
60,250490,288510,303537,344211,442645
61,248294,285197,300286,339812,437382
62,245554,281757,296792,335467,432075
63,242383,278172,293082,331030,426595
64,239203,274507,289359,326951,420652
65,236156,270573,285416,322910,414268
66,232893,266583,281303,318682,407463
67,229549,262377,277143,314120,400084
68,226122,258061,272901,309230,392372
69,222584,253697,268635,304002,384589
70,219023,249328,264388,298818,376751
71,215426,244876,260188,293545,368955
72,211748,240501,255939,288209,361367
73,207963,236043,251546,282677,353809
74,204072,231532,247045,277264,346320
75,199985,226961,242384,271714,338777
76,195646,222346,237758,266169,331148
77,191328,217791,233206,260788,323571
78,186986,213309,228598,255327,316098
79,182611,208851,224085,249951,308818
80,178346,204382,219572,244628,301371
81,174259,199988,215022,239178,293948
82,170353,195692,210490,233580,286569
83,166593,191468,206032,227901,279377
84,162806,187256,201554,222148,272440
85,159133,183197,197157,216366,265562
86,155694,179159,192832,210682,258746
87,152299,175216,188500,205207,252069
88,148939,171332,184164,199969,245525
89,145569,167545,179921,194987,239114
90,142127,163730,175722,190105,232833
91,138627,159924,171546,185299,226630
92,135129,156096,167422,180454,220407
93,131701,152304,163420,175719,214282
94,128354,148647,159465,171050,208259
95,125097,145079,155611,166540,202525
96,121884,141607,151736,162138,196900
97,118883,138194,147884,157833,191399
98,116036,134838,144088,153698,186028
99,113350,131580,140352,149627,180615
100,110682,128381,136684,145651,175317
