TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,1032822,1196659,1285095,1465699,2055726
2,1025706,1185205,1264878,1449737,1998457
3,1018641,1173880,1246656,1433477,1936471
4,1011621,1161220,1230283,1415244,1878163
5,1004653,1152853,1217895,1397248,1821842
6,997731,1142894,1209043,1379487,1767433
7,990149,1133619,1201188,1362317,1714866
8,981567,1124039,1190039,1347787,1673939
9,972890,1115625,1174522,1327258,1643699
10,964266,1102899,1159716,1306952,1614010
11,938983,1073693,1138530,1272813,1582038
12,924999,1057116,1119962,1249650,1536539
13,910030,1039643,1101183,1225861,1491945
14,894129,1021326,1082009,1201157,1448818
15,877355,1002553,1062243,1174811,1407042
16,859767,983436,1041918,1148004,1366563
17,841621,963741,1021040,1120910,1327106
18,823087,943478,999631,1093382,1288022
19,804026,922854,977618,1065490,1250140
20,784298,901761,955280,1037585,1213176
21,763966,880250,932823,1009961,1176722
22,743346,858646,909981,982542,1140799
23,722940,836811,886550,955220,1105555
24,702640,814730,863004,928403,1071384
25,682503,792662,839357,902402,1038613
26,662601,770711,816260,876687,1006977
27,642801,749022,793735,851563,976885
28,623725,728045,772231,827291,948084
29,605333,707811,751129,803844,920554
30,587989,688066,730622,780852,894760
31,571352,668915,710881,758346,869766
32,555275,650202,691577,736703,845669
33,539916,632181,672821,715721,822401
34,525154,615027,654621,695600,800067
35,511057,598527,637040,676797,778427
36,497597,582299,620119,658630,757344
37,484639,566747,603583,641063,736930
38,472093,551684,587472,624160,717508
39,460240,536848,572062,607825,698246
40,448860,522624,557286,592083,679035
41,438061,508867,542815,576695,660290
42,427674,495554,528694,561651,642152
43,417406,482765,515061,546857,624823
44,407244,470528,501813,532521,608228
45,397467,458723,489071,518703,592485
46,388060,447541,476572,505316,577735
47,379094,436698,464550,492235,563714
48,370351,426243,452837,479395,550600
49,361894,415944,441569,467034,538078
50,353597,405820,430540,455245,526180
51,345479,395890,419647,443775,514993
52,337408,386260,409046,432500,504246
53,329431,376797,398749,421642,494317
54,321648,367477,388773,411019,484778
55,314096,358273,378938,400721,475736
56,306648,349278,369154,390875,467239
57,299217,340324,359602,381232,459267
58,292000,331459,350323,371872,451835
59,284770,322834,341222,362779,444814
60,277652,314228,332210,353912,438142
61,270571,305767,323294,345121,431696
62,263501,297290,314599,336426,425368
63,256450,288976,306079,328013,418992
64,249609,280752,297773,319820,412572
65,242783,272556,289560,311800,406202
66,235990,264376,281504,304004,399820
67,229201,256341,273474,296491,393471
68,222510,248381,265509,289036,386965
69,215836,240630,257725,281532,380377
70,209190,233076,250113,273987,373611
71,202694,225718,242614,266503,366501
72,196330,218494,235253,259157,359172
73,190089,211457,227939,251880,351428
74,183973,204533,220662,244790,343440
75,177888,197721,213562,237823,334918
76,171896,191044,206647,230770,326035
77,166100,184497,199883,223792,316829
78,160361,178177,193231,216842,307316
79,154795,172036,186643,209950,297665
80,149404,166075,180218,203194,287966
81,144127,160314,173982,196604,278247
82,139021,154787,168016,190115,268614
83,134085,149431,162175,183722,258902
84,129288,144213,156470,177386,249127
85,124657,139152,150928,171149,239219
86,120212,134286,145541,165016,229237
87,115959,129593,140317,158960,219280
88,111839,125055,135248,153073,209404
89,107858,120653,130337,147403,199832
90,104011,116375,125574,141880,190426
91,100319,112232,120954,136516,181320
92,96774,108225,116504,131313,172516
93,93410,104393,112237,126232,163932
94,90171,100709,108132,121276,155524
95,87051,97157,104170,116429,147582
96,84077,93742,100349,111759,140077
97,81193,90482,96647,107271,132916
98,78404,87324,93067,102946,126114
99,75722,84275,89645,98779,119711
100,73158,81320,86342,94725,113678
