TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,822946,1001238,1102393,1260533,1522983
2,836847,997044,1096019,1250437,1510111
3,852328,995527,1089689,1237423,1497348
4,868124,993328,1084650,1227629,1484693
5,874211,992280,1081002,1218030,1472145
6,879016,989451,1074171,1213275,1459703
7,883496,984533,1070158,1206363,1447368
8,888058,983462,1064141,1199014,1435136
9,889552,981254,1057379,1192281,1423007
10,884670,978564,1051587,1187736,1410982
11,861277,965782,1044190,1163669,1380209
12,860525,959864,1036049,1151946,1361546
13,858377,953438,1027623,1140091,1342303
14,854684,946490,1018723,1127836,1322526
15,849431,938923,1009461,1114984,1302908
16,843113,930732,999832,1101521,1283320
17,835872,921876,989853,1087243,1263474
18,827741,912463,979380,1072395,1243391
19,818820,902328,968275,1057051,1222991
20,809308,891506,956517,1041151,1201966
21,799513,879898,944014,1024690,1180279
22,789261,867653,930810,1007706,1157983
23,778540,854877,917097,990535,1135343
24,767387,841748,902894,973024,1112790
25,755625,827873,888263,955550,1090511
26,743413,813997,873294,937850,1068247
27,730574,799862,857773,919847,1046017
28,717424,785718,841746,901601,1024115
29,703911,771264,825405,883299,1002033
30,690193,756587,808554,864375,979875
31,676058,741662,791746,845206,957537
32,661575,726801,774868,825901,935254
33,647103,711889,757454,806241,912994
34,632780,696726,739952,786559,890770
35,618512,681434,722314,767059,868635
36,603939,666004,704530,747698,845995
37,589326,650505,686795,728609,823114
38,574699,634892,669093,709659,800080
39,560023,619398,651508,690799,777276
40,545293,604043,634186,672063,754932
41,530803,588831,617203,653439,733160
42,516761,573663,600524,634937,711645
43,502691,558584,584065,616887,690237
44,488502,543682,567772,599213,669092
45,474303,529070,551818,581767,648533
46,460052,514418,536144,564877,628641
47,446574,500008,520896,548511,609136
48,433803,485754,506072,532603,590010
49,421382,471688,491571,517010,571516
50,409157,457909,477638,501915,553889
51,397013,444475,463968,487455,536970
52,385184,431123,450596,473426,520775
53,373543,418091,437712,459758,505431
54,362095,405454,425165,446735,490773
55,351086,393192,412986,434136,476510
56,340682,381260,401106,421933,463071
57,330646,369561,389494,409996,450294
58,320958,358329,378193,398348,438156
59,311517,347275,367207,387024,426409
60,302321,336490,356500,375983,415038
61,293216,325987,346147,365224,403880
62,284162,315788,336022,354735,393216
63,275443,305887,326038,344578,383140
64,267046,296161,316283,334675,373376
65,258975,286691,306728,324861,363873
66,251176,277539,297389,315214,354648
67,243404,268510,288215,305732,345817
68,235695,259827,279289,296421,337248
69,228217,251418,270594,287350,328831
70,220829,243258,262068,278469,320390
71,213786,235283,253786,269695,312012
72,206951,227592,245742,261101,303626
73,200319,220087,237933,252744,295232
74,193858,212803,230316,244572,286857
75,187488,205763,222844,236548,278511
76,181324,199036,215570,228752,270175
77,175307,192593,208494,221191,262035
78,169437,186242,201637,213835,253839
79,163797,180209,195014,206660,245776
80,158392,174409,188573,199750,237861
81,153177,168821,182295,193092,230159
82,148173,163460,176223,186664,222651
83,143371,158293,170403,180403,215288
84,138767,153334,164801,174379,208095
85,134342,148549,159442,168657,201027
86,130112,143950,154262,163140,193983
87,126005,139590,149325,157832,187102
88,122047,135358,144579,152733,180463
89,118222,131294,140011,147830,174043
90,114617,127390,135642,143114,167904
91,111156,123639,131428,138605,162032
92,107855,120058,127403,134297,156253
93,104701,116632,123541,130187,150738
94,101714,113328,119849,126202,145452
95,98876,110140,116329,122388,140386
96,96127,107043,112961,118699,135530
97,93531,104070,109715,115161,130820
98,91056,101247,106578,111790,126403
99,88656,98494,103559,108581,122199
100,86328,95838,100671,105500,118192
