TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,7539449,13123994,15877397,23474977,52778379
2,7438091,12981492,15685332,23169066,52225412
3,7338323,12860755,15542130,22978977,51680304
4,7240114,12741171,15411166,22860748,51142927
5,7143437,12622725,15323451,22743133,50613158
6,7048269,12506918,15298963,22632021,50090873
7,6954579,12411940,15274653,22490770,49575950
8,6862346,12252131,15250522,22363371,49068273
9,6771544,12037163,15226569,22236700,48567723
10,6682147,11828738,15202792,22110750,48231675
11,6627038,11914725,14969983,21964748,50621273
12,6534290,11810920,14864375,21810830,50629055
13,6442468,11707205,14757042,21662799,50618425
14,6351585,11594808,14645974,21515303,50589641
15,6261633,11476806,14534353,21355312,50542977
16,6170477,11357497,14420226,21173799,50478728
17,6078280,11238764,14299729,20979682,50397208
18,5984498,11111240,14173276,20776684,50298746
19,5890789,10983517,14041405,20560693,50183940
20,5796746,10859323,13902264,20350062,50055841
21,5702521,10720109,13754647,20131124,49906636
22,5608265,10571530,13597077,19910907,49698464
23,5511346,10410693,13431387,19688235,49431887
24,5412075,10238807,13260462,19447811,49106793
25,5312772,10052295,13086154,19199509,48629669
26,5213530,9852125,12911651,18942109,48002642
27,5114440,9641972,12728478,18679633,47234955
28,5016427,9425490,12535881,18399987,46363424
29,4920672,9202152,12330224,18098133,45458814
30,4825540,8969710,12116757,17773921,44527392
31,4730945,8725739,11893909,17427464,43559313
32,4633172,8475907,11667984,17058505,42562959
33,4532194,8228413,11432275,16675745,41557633
34,4428273,7989620,11186120,16280940,40544833
35,4321606,7751113,10928614,15880667,39516280
36,4212541,7507368,10656470,15479103,38462824
37,4099802,7260624,10380054,15068354,37371463
38,3984116,7022275,10096225,14647901,36207750
39,3864943,6792147,9808214,14218996,34981647
40,3744369,6558792,9512454,13767620,33701194
41,3621548,6332237,9208538,13314731,32405159
42,3495737,6110445,8903692,12850149,31105935
43,3369276,5890552,8597836,12376943,29809394
44,3242887,5675696,8290334,11905205,28520430
45,3115663,5466407,7982282,11441481,27295756
46,2988065,5260427,7673497,10982161,26131303
47,2860542,5057036,7369172,10517220,25021824
48,2733526,4855690,7071712,10054855,23949035
49,2607428,4660902,6780139,9604513,22879660
50,2482656,4469517,6492369,9167953,21815541
51,2359136,4281966,6213793,8742318,20760677
52,2239091,4097491,5937480,8325765,19716449
53,2123539,3912559,5665840,7916132,18686593
54,2014556,3728202,5405940,7514562,17674552
55,1910942,3548429,5157286,7126510,16699025
56,1813053,3377891,4915677,6748606,15744971
57,1720155,3211639,4678377,6382429,14841829
58,1631617,3048816,4447483,6031628,13998072
59,1547260,2886357,4221390,5698896,13209525
60,1466429,2729470,4002839,5380393,12472056
61,1390103,2582299,3792166,5075050,11771433
62,1318333,2438689,3589261,4785934,11093902
63,1250765,2300460,3394433,4510245,10450246
64,1186987,2165898,3207233,4248340,9838027
65,1126778,2036807,3027287,3997718,9257240
66,1069927,1914001,2857060,3757691,8706799
67,1016238,1798010,2695528,3528558,8185605
68,965170,1689046,2538962,3310941,7692544
69,916500,1585734,2389859,3104387,7230798
70,870846,1487241,2247455,2907702,6782854
71,827280,1393745,2111463,2721836,6351289
72,785618,1304877,1982402,2546720,5942962
73,745535,1221278,1860145,2381501,5556901
74,706523,1142629,1742500,2226370,5192158
75,668963,1068576,1629429,2078055,4844491
76,632615,998830,1522797,1939125,4519372
77,597409,933718,1421559,1810013,4208476
78,563891,873477,1325758,1689718,3913069
79,531988,816661,1235464,1574690,3632739
80,501506,762820,1151521,1465571,3369100
81,472167,711452,1072840,1362634,3117992
82,444018,664050,998871,1266854,2883663
83,417060,620202,928358,1175384,2660370
84,391450,579534,862867,1090097,2448544
85,367314,541517,800800,1008086,2247951
86,344576,505996,742689,931695,2058564
87,322949,472486,687382,861247,1878904
88,302472,441043,635794,795841,1713092
89,283257,411480,587243,734974,1559305
90,265145,383866,542369,678387,1420208
91,248163,357969,500600,625650,1294359
92,232270,333827,461713,576733,1180319
93,217393,311205,425490,531210,1073773
94,203311,289951,391898,488895,974554
95,190050,270148,360823,450154,882974
96,177632,251291,331945,414186,798505
97,166221,233479,305333,380443,720518
98,155447,216511,280754,348661,648297
99,145241,200859,258104,319493,581932
100,135560,186428,237064,292718,522173
